heldout_run,model,split,rmse_ns,mae_ns,n_endpoint_rows
44,ml_proxy,train,0.7966302778664306,0.4904847842317694,95140
44,ml_proxy,heldout,0.7394194912546825,0.5647853088044533,308
45,ml_proxy,train,0.7999659678739164,0.48824812361814146,92354
45,ml_proxy,heldout,0.815396998801571,0.5752973475976737,3094
46,ml_proxy,train,0.8131963270806224,0.4950241556848916,95424
46,ml_proxy,heldout,0.5452993724058832,0.43213622209562724,24
47,ml_proxy,train,0.8065145845511278,0.49317006864669993,95128
47,ml_proxy,heldout,0.6538524082726243,0.5013433754354809,320
48,ml_proxy,train,0.8180104105877645,0.508120321062914,93538
48,ml_proxy,heldout,0.7696366858082255,0.5512484574285569,1910
49,ml_proxy,train,0.8058106229799975,0.4889531110720197,93376
49,ml_proxy,heldout,0.8612755225341805,0.5574028983097551,2072
50,ml_proxy,train,0.8039858323289287,0.4952738261578038,93190
50,ml_proxy,heldout,1.1164075696715805,0.5936925713932762,2258
51,ml_proxy,train,0.7997764998420013,0.4922891520409429,94368
51,ml_proxy,heldout,1.0631595933864226,0.5866397640421507,1080
52,ml_proxy,train,0.8031018380272105,0.49399730443496154,94930
52,ml_proxy,heldout,0.9255860896009875,0.5933174234804576,518
53,ml_proxy,train,0.8074433266944541,0.4904973545449237,93498
53,ml_proxy,heldout,1.1245115188624024,0.6066549010134543,1950
54,ml_proxy,train,0.7995132032288664,0.4894963314022148,93554
54,ml_proxy,heldout,0.9173530894534233,0.6061404843824634,1894
55,ml_proxy,train,0.7944559876917712,0.4950081107664598,94146
55,ml_proxy,heldout,0.7409234330105203,0.5618571013243854,1302
56,ml_proxy,train,0.805826334836259,0.49510759286024725,92612
56,ml_proxy,heldout,1.0202413442837748,0.598373710148255,2836
57,ml_proxy,train,0.8044138223291504,0.4822644818707136,93330
57,ml_proxy,heldout,0.7112599927880255,0.5271794784463754,2118
58,ml_proxy,train,0.798698710903335,0.48619839432334,93468
58,ml_proxy,heldout,0.8725624702961543,0.562282754694236,1980
59,ml_proxy,train,0.8457391614157057,0.5076745045686362,79824
59,ml_proxy,heldout,0.8487734891327571,0.4791046898903161,15624
60,ml_proxy,train,0.82393070932085,0.5059655411807986,81136
60,ml_proxy,heldout,0.7418621650640631,0.4841663598655527,14312
61,ml_proxy,train,0.7836327079208065,0.4896145712879182,79548
61,ml_proxy,heldout,0.9659075719836473,0.5467575179355753,15900
62,ml_proxy,train,0.8404075533938837,0.4953276405981528,80540
62,ml_proxy,heldout,0.8477309349294148,0.46680594644658147,14908
63,ml_proxy,train,0.8230659551169274,0.49477629447896176,86948
63,ml_proxy,heldout,0.8000605313514223,0.47334389018863016,8500
65,ml_proxy,train,0.8187024521576723,0.5059217422482438,92908
65,ml_proxy,heldout,0.7460834291507361,0.5196780205328894,2540
