heldout_run,candidate,sign,train_auc,train_ap,selected,n_train,n_test
58,any_early_peak,1,0.4919735599622286,0.4961257305723995,,,
58,any_early_peak,-1,0.5080264400377715,0.5040551528648114,,,
58,b2_early_peak,1,0.5,0.5,,,
58,b2_early_peak,-1,0.5,0.5,,,
58,early_peak_count,1,0.49018686005380396,0.49187806836025566,,,
58,early_peak_count,-1,0.5098131399461963,0.5049920109639683,,,
58,downstream_early_count,1,0.4843558428542258,0.4907743235058358,,,
58,downstream_early_count,-1,0.5156441571457743,0.5080902154365862,,,
58,early_low_area_count,1,0.4948788699942308,0.4947899110397931,,,
58,early_low_area_count,-1,0.5051211300057691,0.5025167209004082,,,
58,max_p02_score,1,0.5266698677908943,0.5105565841412422,,,
58,max_p02_score,-1,0.4733301322091056,0.4725215306765332,,,
58,ds_max_p02_score,1,0.5296534225724734,0.5111664938233224,,,
58,ds_max_p02_score,-1,0.47034657742752667,0.4715699434429097,,,
58,__selected__,1,0.5296534225724734,0.5111664938233224,ds_max_p02_score,4236.0,74.0
59,any_early_peak,1,0.492816091954023,0.49651795889081163,,,
59,any_early_peak,-1,0.507183908045977,0.50362567495824,,,
59,b2_early_peak,1,0.5,0.5,,,
59,b2_early_peak,-1,0.5,0.5,,,
59,early_peak_count,1,0.49070600475624254,0.4916687833895448,,,
59,early_peak_count,-1,0.5092939952437575,0.5046529429824165,,,
59,downstream_early_count,1,0.4842596446029859,0.4906021659294906,,,
59,downstream_early_count,-1,0.5157403553970141,0.5081291978842288,,,
59,early_low_area_count,1,0.4946389879772758,0.49469725861519004,,,
59,early_low_area_count,-1,0.5053610120227243,0.5026536680649909,,,
59,max_p02_score,1,0.5283344893645132,0.511521191097272,,,
59,max_p02_score,-1,0.4716655106354869,0.47156124696684265,,,
59,ds_max_p02_score,1,0.5295945633505087,0.5113545550583307,,,
59,ds_max_p02_score,-1,0.47040543664949136,0.47230149480080685,,,
59,__selected__,1,0.5283344893645132,0.511521191097272,max_p02_score,3480.0,830.0
60,any_early_peak,1,0.49247249565720896,0.49636568904084827,,,
60,any_early_peak,-1,0.5075275043427909,0.5038000225777914,,,
60,b2_early_peak,1,0.49999999999999994,0.5,,,
60,b2_early_peak,-1,0.5,0.5,,,
60,early_peak_count,1,0.49108994413801166,0.4929465852521424,,,
60,early_peak_count,-1,0.5089100558619883,0.5045537222031663,,,
60,downstream_early_count,1,0.4862871408794349,0.491910577823529,,,
60,downstream_early_count,-1,0.5137128591205651,0.5070703561528304,,,
60,early_low_area_count,1,0.4945720561308875,0.4951287983030774,,,
60,early_low_area_count,-1,0.5054279438691125,0.5027184614425377,,,
60,max_p02_score,1,0.5279735754455362,0.5109273740106852,,,
60,max_p02_score,-1,0.4720264245544637,0.4709498111797224,,,
60,ds_max_p02_score,1,0.5325039588885808,0.5126571488544777,,,
60,ds_max_p02_score,-1,0.4674960411114192,0.46930558587481697,,,
60,__selected__,1,0.5325039588885808,0.5126571488544777,ds_max_p02_score,3454.0,856.0
61,any_early_peak,1,0.49192506459948326,0.49609729423900256,,,
61,any_early_peak,-1,0.5080749354005167,0.5040804743864562,,,
61,b2_early_peak,1,0.5,0.5,,,
61,b2_early_peak,-1,0.5,0.5,,,
61,early_peak_count,1,0.49024706381160327,0.49227689963140037,,,
61,early_peak_count,-1,0.5097529361883968,0.5049989562055079,,,
61,downstream_early_count,1,0.4852197383971316,0.4911825092496034,,,
61,downstream_early_count,-1,0.5147802616028684,0.5076606062250887,,,
61,early_low_area_count,1,0.4954623870760972,0.49545703879155634,,,
61,early_low_area_count,-1,0.5045376129239028,0.5022328264320686,,,
61,max_p02_score,1,0.5212554417135722,0.5077957581842489,,,
61,max_p02_score,-1,0.47874455828642776,0.4764615866634246,,,
61,ds_max_p02_score,1,0.5248866587878667,0.508220068498966,,,
61,ds_max_p02_score,-1,0.47511334121213333,0.4738904786748027,,,
61,__selected__,1,0.5248866587878667,0.508220068498966,ds_max_p02_score,3096.0,1214.0
