candidate,sign,roc_auc,average_precision
ds_max_p02_score,1,0.529655632775448,0.5111458273134339
max_p02_score,1,0.5265551972696099,0.5105008375454658
downstream_early_count,-1,0.5153250682328367,0.5079259388979053
early_peak_count,-1,0.509604922454121,0.5048875545603774
any_early_peak,-1,0.5078886310904872,0.5039847091381768
early_low_area_count,-1,0.5051989384208742,0.5025699477787604
b2_early_peak,1,0.5,0.5
b2_early_peak,-1,0.5,0.5
early_low_area_count,1,0.49480106157912584,0.49488538654253295
any_early_peak,1,0.4921113689095128,0.49619114579671425
early_peak_count,1,0.4903950775458789,0.4920845934702098
downstream_early_count,1,0.4846749317671632,0.49099288049805545
max_p02_score,-1,0.4734448027303902,0.4725968527388871
ds_max_p02_score,-1,0.470344367224552,0.471577561583297
