heldout_run,model,alpha,cv_rmse_pp,max_depth,min_samples_leaf,n_train_runs
54,traditional_weighted_logit_ridge,100.0,11.9538376247994,,,
54,extra_trees_rate,,1.2969934682329576,2.0,2.0,
54,extra_trees_rate,,0.9805575595939466,2.0,4.0,
54,extra_trees_rate,,0.9224155088496548,3.0,2.0,
54,extra_trees_rate,,0.9803865121852912,3.0,4.0,
54,selected,100.0,,3.0,2.0,20.0
55,traditional_weighted_logit_ridge,0.01,12.087096163079163,,,
55,traditional_weighted_logit_ridge,0.1,12.086406413371824,,,
55,traditional_weighted_logit_ridge,1.0,12.079554955412084,,,
55,traditional_weighted_logit_ridge,10.0,12.015197871025574,,,
55,traditional_weighted_logit_ridge,100.0,11.558289630269961,,,
55,extra_trees_rate,,1.2413221037727973,2.0,2.0,
55,extra_trees_rate,,0.9676178467729342,2.0,4.0,
55,extra_trees_rate,,0.9313994901892211,3.0,2.0,
55,extra_trees_rate,,0.9551994018185875,3.0,4.0,
55,selected,100.0,,3.0,2.0,20.0
56,traditional_weighted_logit_ridge,0.01,11.551383145146337,,,
56,traditional_weighted_logit_ridge,0.1,11.549546635953629,,,
56,traditional_weighted_logit_ridge,1.0,11.531346857566113,,,
56,traditional_weighted_logit_ridge,10.0,11.364177258308853,,,
56,traditional_weighted_logit_ridge,100.0,10.358141729363082,,,
56,extra_trees_rate,,1.260812846210637,2.0,2.0,
56,extra_trees_rate,,0.9268908725522313,2.0,4.0,
56,extra_trees_rate,,0.9539486519736733,3.0,2.0,
56,extra_trees_rate,,0.9103289541303836,3.0,4.0,
56,selected,100.0,,3.0,4.0,20.0
57,traditional_weighted_logit_ridge,0.01,12.072561266911604,,,
57,traditional_weighted_logit_ridge,0.1,12.072143017673552,,,
57,traditional_weighted_logit_ridge,1.0,12.067975579015718,,,
57,traditional_weighted_logit_ridge,10.0,12.027817612333193,,,
57,traditional_weighted_logit_ridge,100.0,11.72325998010634,,,
57,extra_trees_rate,,1.2356455029545472,2.0,2.0,
57,extra_trees_rate,,1.2144332650404925,2.0,4.0,
57,extra_trees_rate,,1.0127508699349446,3.0,2.0,
57,extra_trees_rate,,1.2044749209631584,3.0,4.0,
57,selected,100.0,,3.0,2.0,20.0
58,traditional_weighted_logit_ridge,0.01,16.07141772990073,,,
58,traditional_weighted_logit_ridge,0.1,15.921082068266745,,,
58,traditional_weighted_logit_ridge,1.0,14.68216965187108,,,
58,traditional_weighted_logit_ridge,10.0,12.282236012092392,,,
58,traditional_weighted_logit_ridge,100.0,11.8368698099513,,,
58,extra_trees_rate,,1.2285598473632797,2.0,2.0,
58,extra_trees_rate,,1.0530326615862424,2.0,4.0,
58,extra_trees_rate,,0.9138212289937074,3.0,2.0,
58,extra_trees_rate,,1.0291539879649856,3.0,4.0,
58,selected,100.0,,3.0,2.0,20.0
59,traditional_weighted_logit_ridge,0.01,12.181751931417876,,,
59,traditional_weighted_logit_ridge,0.1,12.181263518836085,,,
59,traditional_weighted_logit_ridge,1.0,12.17638502195281,,,
59,traditional_weighted_logit_ridge,10.0,12.129138854031625,,,
59,traditional_weighted_logit_ridge,100.0,11.794067478197286,,,
59,extra_trees_rate,,1.2816546458986684,2.0,2.0,
59,extra_trees_rate,,0.9636372954781912,2.0,4.0,
59,extra_trees_rate,,1.0002999772211596,3.0,2.0,
59,extra_trees_rate,,0.9382163314569134,3.0,4.0,
59,selected,100.0,,3.0,4.0,20.0
60,traditional_weighted_logit_ridge,0.01,12.171795029170353,,,
60,traditional_weighted_logit_ridge,0.1,12.171329535278574,,,
60,traditional_weighted_logit_ridge,1.0,12.166728346839438,,,
60,traditional_weighted_logit_ridge,10.0,12.124231935406911,,,
60,traditional_weighted_logit_ridge,100.0,11.827265653960348,,,
60,extra_trees_rate,,1.2204714782945425,2.0,2.0,
60,extra_trees_rate,,1.0488465594192613,2.0,4.0,
60,extra_trees_rate,,0.8618869055026954,3.0,2.0,
60,extra_trees_rate,,1.025981076201726,3.0,4.0,
60,selected,100.0,,3.0,2.0,20.0
61,traditional_weighted_logit_ridge,0.01,12.139943758128403,,,
61,traditional_weighted_logit_ridge,0.1,12.13948905878577,,,
61,traditional_weighted_logit_ridge,1.0,12.135165889296303,,,
61,traditional_weighted_logit_ridge,10.0,12.104123967714111,,,
61,traditional_weighted_logit_ridge,100.0,11.943228955779412,,,
61,extra_trees_rate,,1.2442619727662378,2.0,2.0,
61,extra_trees_rate,,1.0540638149604356,2.0,4.0,
61,extra_trees_rate,,0.9320609870205356,3.0,2.0,
61,extra_trees_rate,,1.0263393748575842,3.0,4.0,
61,selected,100.0,,3.0,2.0,20.0
62,traditional_weighted_logit_ridge,0.01,31.197511987445957,,,
62,traditional_weighted_logit_ridge,0.1,31.165555141506644,,,
62,traditional_weighted_logit_ridge,1.0,30.81225953321141,,,
62,traditional_weighted_logit_ridge,10.0,25.142529100249213,,,
62,traditional_weighted_logit_ridge,100.0,12.006820488697677,,,
62,extra_trees_rate,,1.2681730837350953,2.0,2.0,
62,extra_trees_rate,,1.0312385542982239,2.0,4.0,
62,extra_trees_rate,,0.9108298066588577,3.0,2.0,
62,extra_trees_rate,,1.0106552851099146,3.0,4.0,
62,selected,100.0,,3.0,2.0,20.0
63,traditional_weighted_logit_ridge,0.01,23.05509137603681,,,
63,traditional_weighted_logit_ridge,0.1,23.017187015465513,,,
63,traditional_weighted_logit_ridge,1.0,22.603376266901854,,,
63,traditional_weighted_logit_ridge,10.0,16.887620200801482,,,
63,traditional_weighted_logit_ridge,100.0,11.855210017433746,,,
63,extra_trees_rate,,1.056549389142362,2.0,2.0,
63,extra_trees_rate,,0.9905798348963123,2.0,4.0,
63,extra_trees_rate,,0.7803286079034238,3.0,2.0,
63,extra_trees_rate,,0.9581447038831516,3.0,4.0,
63,selected,100.0,,3.0,2.0,20.0
65,traditional_weighted_logit_ridge,0.01,12.170542139477886,,,
65,traditional_weighted_logit_ridge,0.1,12.170077349248002,,,
65,traditional_weighted_logit_ridge,1.0,12.165455979410895,,,
65,traditional_weighted_logit_ridge,10.0,12.121666466309113,,,
65,traditional_weighted_logit_ridge,100.0,11.805797811346993,,,
65,extra_trees_rate,,1.1075827610967377,2.0,2.0,
65,extra_trees_rate,,1.034073603502341,2.0,4.0,
65,extra_trees_rate,,0.8265125633282997,3.0,2.0,
65,extra_trees_rate,,1.0097411257765885,3.0,4.0,
65,selected,100.0,,3.0,2.0,20.0
