run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
53,B2-B6,B4-B6,14.653304775681194,True,False
53,B2-B6,B4-B8,20.526381570560513,True,False
53,B2-B6,B6-B8,8.246831775563953,True,False
53,B2-B8,B4-B6,10.727857529199323,True,False
53,B2-B8,B4-B8,15.48430037201017,True,False
53,B2-B8,B6-B8,9.923983351722088,True,False
53,B4-B6,B4-B8,1.9585488211688986,False,False
53,B4-B6,B6-B8,-0.6227861859202073,False,False
53,B4-B8,B6-B8,1.1738173435125794,False,False
54,B2-B4,B2-B6,1768.6717531467998,True,True
54,B2-B4,B2-B8,2073.957731246561,True,True
54,B2-B4,B4-B6,-65.11604851327206,True,False
54,B2-B4,B4-B8,38.41955302880507,True,False
54,B2-B4,B6-B8,37.2390420271028,True,False
54,B2-B6,B2-B8,1936.1767770916256,True,True
54,B2-B6,B4-B6,34.56255900093556,True,False
54,B2-B6,B4-B8,39.80213168293155,True,False
54,B2-B6,B6-B8,33.7642965529462,True,False
54,B2-B8,B4-B6,0.8411130399498229,True,False
54,B2-B8,B4-B8,50.93888318782215,True,False
54,B2-B8,B6-B8,45.397982961069545,True,False
54,B4-B6,B4-B8,1.0802953011151901,False,False
54,B4-B6,B6-B8,-0.8195681849224149,False,False
54,B4-B8,B6-B8,11.700859865038476,False,False
55,B2-B4,B2-B6,1487.9325231430987,True,True
55,B2-B4,B2-B8,1450.1037613861074,True,True
55,B2-B4,B4-B6,5.229655435071487,True,False
55,B2-B4,B4-B8,-0.3356494619545184,True,False
55,B2-B4,B6-B8,-0.2806661759344994,True,False
55,B2-B6,B2-B8,1645.5975530929181,True,True
55,B2-B6,B4-B6,9.404882005467508,True,False
55,B2-B6,B4-B8,0.8846028454100189,True,False
55,B2-B6,B6-B8,0.09743747125696932,True,False
55,B2-B8,B4-B6,1.1652690213445163,True,False
55,B2-B8,B4-B8,2.5106624952341656,True,False
55,B2-B8,B6-B8,2.4819794516983387,True,False
55,B4-B6,B4-B8,1.196691978869855,False,False
55,B4-B6,B6-B8,-0.7769627128891775,False,False
55,B4-B8,B6-B8,1.5901580007987797,False,False
56,B2-B4,B2-B6,1465.9239059735335,True,True
56,B2-B4,B2-B8,1521.194645984716,True,True
56,B2-B4,B4-B6,-13.186923775145614,True,False
56,B2-B4,B4-B8,-12.374255176118584,True,False
56,B2-B4,B6-B8,-17.099291911192733,True,False
56,B2-B6,B2-B8,1464.7224179164884,True,True
56,B2-B6,B4-B6,27.67192097592613,True,False
56,B2-B6,B4-B8,-12.374064107719533,True,False
56,B2-B6,B6-B8,-18.420790606432096,True,False
56,B2-B8,B4-B6,3.772281791617629,True,False
56,B2-B8,B4-B8,45.71971877615389,True,False
56,B2-B8,B6-B8,41.67228713529952,True,False
56,B4-B6,B4-B8,0.10745752119335038,False,False
56,B4-B6,B6-B8,-2.8804956251703615,False,False
56,B4-B8,B6-B8,59.78240069298367,False,False
57,B2-B4,B2-B6,1047.681142909107,True,True
57,B2-B4,B2-B8,1244.3909057017277,True,True
57,B2-B4,B4-B6,-2.638551743817611,True,False
57,B2-B4,B4-B8,5.904262914214738,True,False
57,B2-B4,B6-B8,-1.4031393003890322,True,False
57,B2-B6,B2-B8,1135.280513081351,True,True
57,B2-B6,B4-B6,4.556983974993244,True,False
57,B2-B6,B4-B8,5.820883634545225,True,False
57,B2-B6,B6-B8,-3.0393464971722204,True,False
57,B2-B8,B4-B6,7.22402293493426,True,False
57,B2-B8,B4-B8,10.1270598233536,True,False
57,B2-B8,B6-B8,0.721332939994975,True,False
57,B4-B6,B4-B8,1.5348848896218246,False,False
57,B4-B6,B6-B8,-1.066899368923814,False,False
57,B4-B8,B6-B8,2.692150042586137,False,False
58,B2-B4,B2-B6,719.6225781153173,True,True
58,B2-B4,B2-B8,477.58100160096643,True,True
58,B2-B4,B4-B6,2.402834961074726,True,False
58,B2-B4,B4-B8,-151.22084416197575,True,False
58,B2-B4,B6-B8,4.3612906575302235,True,False
58,B2-B6,B2-B8,554.4075932995961,True,True
58,B2-B6,B4-B6,17.097050392192834,True,False
58,B2-B6,B4-B8,26.323824719665442,True,False
58,B2-B6,B6-B8,6.497247554597988,True,False
58,B2-B8,B4-B6,20.5880169235643,True,False
58,B2-B8,B4-B8,233.81124855590514,True,False
58,B2-B8,B6-B8,8.297936725978023,True,False
58,B4-B6,B4-B8,25.251248185775307,False,False
58,B4-B6,B6-B8,1.0060228482601703,False,False
58,B4-B8,B6-B8,2.8409335040410575,False,False
59,B2-B4,B2-B6,166.06535996341333,True,True
59,B2-B4,B2-B8,160.36132710770144,True,True
59,B2-B4,B4-B6,0.7496075614345837,True,False
59,B2-B4,B4-B8,-0.5319844783652953,True,False
59,B2-B4,B6-B8,-0.03571648876719309,True,False
59,B2-B6,B2-B8,192.37982312437367,True,True
59,B2-B6,B4-B6,29.80476576727172,True,False
59,B2-B6,B4-B8,19.613777162036005,True,False
59,B2-B6,B6-B8,-0.6015318798099027,True,False
59,B2-B8,B4-B6,19.418707842716227,True,False
59,B2-B8,B4-B8,44.33207488375208,True,False
59,B2-B8,B6-B8,13.276439648432643,True,False
59,B4-B6,B4-B8,19.55641767292774,False,False
59,B4-B6,B6-B8,-0.9584042013065002,False,False
59,B4-B8,B6-B8,13.243267609774911,False,False
60,B2-B4,B2-B6,81.6386318548122,True,True
60,B2-B4,B2-B8,70.27447896448045,True,True
60,B2-B4,B4-B6,-3.5055230233763304,True,False
60,B2-B4,B4-B8,-2.109173587438881,True,False
60,B2-B4,B6-B8,0.10147606108227271,True,False
60,B2-B6,B2-B8,109.96374005414452,True,True
60,B2-B6,B4-B6,36.720093801790526,True,False
60,B2-B6,B4-B8,40.0077937846225,True,False
60,B2-B6,B6-B8,-0.5214036208195242,True,False
60,B2-B8,B4-B6,39.848689123621675,True,False
60,B2-B8,B4-B8,81.5350459419649,True,False
60,B2-B8,B6-B8,28.74109906809352,True,False
60,B4-B6,B4-B8,41.590312219143584,False,False
