covariance_metric,rate_or_topology_metric,spearman_rho,spearman_ci_low,spearman_ci_high,n_runs
raw_b2_containing_mean_abs_cov_ns2,target_rate,0.1263157894736842,-0.31306634482167595,0.6204764426986777,20
raw_b2_containing_mean_abs_cov_ns2,pred_traditional_rate,0.4285714285714286,0.030614351595603675,0.7825818763708755,20
raw_b2_containing_mean_abs_cov_ns2,pred_ml_rate,0.29172932330827067,-0.25466961118453085,0.7396069458170477,20
raw_b2_containing_mean_abs_cov_ns2,resid_traditional_rate_pp,-0.2902255639097744,-0.659726807817132,0.17803256324207467,20
raw_b2_containing_mean_abs_cov_ns2,resid_ml_rate_pp,0.19248120300751878,-0.25231499445676275,0.5559025542892733,20
raw_b2_containing_mean_abs_cov_ns2,b_downstream_frac,-0.8481203007518796,-0.9621526894956942,-0.48095599393019733,20
raw_b2_containing_mean_abs_cov_ns2,b2_share,0.7233082706766917,0.337810882508577,0.9376481062226347,20
raw_downstream_mean_abs_cov_ns2,target_rate,-0.07218045112781954,-0.47416060558491624,0.3484655987609031,20
raw_downstream_mean_abs_cov_ns2,pred_traditional_rate,-0.37293233082706767,-0.7466513320516343,0.03290248932096035,20
raw_downstream_mean_abs_cov_ns2,pred_ml_rate,-0.32481203007518794,-0.6011778115501519,0.041137990219890466,20
raw_downstream_mean_abs_cov_ns2,resid_traditional_rate_pp,0.3654135338345864,-0.06142672947324989,0.7137708649468892,20
raw_downstream_mean_abs_cov_ns2,resid_ml_rate_pp,0.013533834586466165,-0.4536880479306063,0.492052664176528,20
raw_downstream_mean_abs_cov_ns2,b_downstream_frac,0.4195488721804511,-0.036451069733437334,0.7470702578395614,20
raw_downstream_mean_abs_cov_ns2,b2_share,-0.34285714285714286,-0.6999836008475314,0.13626331811263315,20
raw_b2_minus_downstream_mean_abs_cov_ns2,target_rate,0.1263157894736842,-0.375975784973367,0.5665655799848368,20
raw_b2_minus_downstream_mean_abs_cov_ns2,pred_traditional_rate,0.4285714285714286,-0.023053237228123403,0.7891381600559896,20
raw_b2_minus_downstream_mean_abs_cov_ns2,pred_ml_rate,0.29172932330827067,-0.26123456272493245,0.7231823892280187,20
raw_b2_minus_downstream_mean_abs_cov_ns2,resid_traditional_rate_pp,-0.2902255639097744,-0.6713089802130897,0.18617669459253586,20
raw_b2_minus_downstream_mean_abs_cov_ns2,resid_ml_rate_pp,0.19248120300751878,-0.2612623199676736,0.5995814628781272,20
raw_b2_minus_downstream_mean_abs_cov_ns2,b_downstream_frac,-0.8481203007518796,-0.9621212121212122,-0.5426463694134808,20
raw_b2_minus_downstream_mean_abs_cov_ns2,b2_share,0.7233082706766917,0.3339853421808458,0.9240754460257656,20
