run,sample,target_setting,current_nA,is_low_current,n_matched_events,b_selected_pulses,a_selected_pulses,b_any_events,a_any_events,ab_any_given_b_successes,ab_both_given_b_successes,b_downstream_events,ab_any_given_b_downstream_successes,b_multi_events,b_pair_rows,b2_selected_events,ab_any_given_b_rate,ab_both_given_b_rate,ab_any_given_b_downstream_rate,b_multi_frac,b_downstream_frac,b_pair_rows_per_b_any,b2_share
44,sample_i_analysis,sample_i_cd2,20.0,0,4294,2038,257,1912,187,75,29,116,6,90,169,1884,0.03922594142259414,0.015167364016736401,0.05172413793103448,0.02095947834187238,0.060669456066945605,0.08838912133891214,0.9853556485355649
45,sample_i_analysis,sample_i_cd2,20.0,0,48159,24333,2578,23004,1903,903,319,1146,48,943,1786,22777,0.039254042775169536,0.013867153538515042,0.041884816753926704,0.019580971365684503,0.049817423056859676,0.07763867153538515,0.990132150930273
46,sample_i_analysis,sample_i_cd2,2.0,1,1409,687,46,661,37,19,5,10,1,8,13,659,0.028744326777609682,0.007564296520423601,0.1,0.0056777856635912,0.015128593040847202,0.019667170953101363,0.9969742813918305
47,sample_i_analysis,sample_i_cd2,2.0,1,10932,5276,487,5141,382,183,46,124,4,83,156,5097,0.035596187512157165,0.008947675549503988,0.03225806451612903,0.007592389315770216,0.02411982104648901,0.030344290993970045,0.9914413538222135
48,sample_i_analysis,sample_i_cd2,20.0,0,31663,14000,1825,13167,1315,559,196,708,28,584,1098,13026,0.04245462140198982,0.014885699096225412,0.03954802259887006,0.018444240912105614,0.05377079061289588,0.08339029391660971,0.9892914103440419
49,sample_i_analysis,sample_i_cd2,20.0,0,32316,14815,1797,13919,1304,550,196,770,27,623,1186,13761,0.039514332926215964,0.014081471370069688,0.03506493506493506,0.0192783760366382,0.05532006609670235,0.08520727063725843,0.9886486098139234
50,sample_i_analysis,sample_i_cd2,20.0,0,44797,35217,281,34251,220,164,46,854,1,691,1289,34082,0.004788181366967388,0.0013430264809786575,0.00117096018735363,0.015425140076344398,0.024933578581647253,0.037633937695249774,0.9950658374937958
51,sample_i_analysis,sample_i_cd2,20.0,0,20562,14740,67,14291,60,42,4,400,1,308,616,14196,0.002938912602337135,0.00027989643831782243,0.0025,0.014979087637389359,0.027989643831782242,0.04310405150094465,0.9933524595899517
52,sample_i_analysis,sample_i_cd2,20.0,0,10002,7152,26,6933,20,10,4,186,0,147,312,6893,0.0014423770373575653,0.0005769508149430262,0.0,0.014697060587882423,0.026828212894850715,0.04500216356555604,0.9942304918505698
53,sample_i_analysis,sample_i_cd2,20.0,0,39611,32200,47,31385,43,36,3,727,0,567,1120,31224,0.0011470447666082524,9.558706388402103e-05,0.0,0.014314205649945722,0.023163931814561094,0.035685837183367854,0.9948701609048909
54,sample_i_analysis,sample_i_cd2,20.0,0,37379,30440,59,29638,54,48,5,714,1,546,1050,29467,0.001619542479249612,0.00016870234158850126,0.0014005602240896359,0.014607132347039782,0.024090694378837978,0.03542749173358526,0.9942303799176733
55,sample_i_analysis,sample_i_cd2,20.0,0,24387,17387,68,16820,62,45,3,478,0,378,755,16714,0.00267538644470868,0.000178359096313912,0.0,0.015500061508180589,0.028418549346016647,0.04488703923900119,0.9936979785969084
56,sample_i_analysis,sample_i_cd2,20.0,0,51798,40148,387,38913,294,217,70,1050,3,854,1669,38711,0.005576542543622953,0.0017988846914912754,0.002857142857142857,0.016487123054944205,0.026983270372369132,0.042890550715699124,0.9948089327474109
57,sample_i_analysis,sample_i_cd2,20.0,0,31255,13833,1757,12925,1274,530,196,775,46,626,1220,12760,0.04100580270793037,0.01516441005802708,0.05935483870967742,0.02002879539273716,0.059961315280464215,0.09439071566731141,0.9872340425531915
58,sample_ii_analysis,sample_ii_p_enriched,20.0,0,34079,16781,171,15890,146,69,8,709,0,587,1207,15762,0.00434235368156073,0.0005034612964128383,0.0,0.017224683822882128,0.04461925739458779,0.07595972309628697,0.9919446192573946
59,sample_ii_analysis,sample_ii_p_enriched,20.0,0,42303,21377,63,13863,52,21,6,4822,4,4590,11187,13565,0.0015148236312486475,0.00043280675178532783,0.0008295313148071339,0.10850294305368413,0.34783235951814184,0.8069681887037438,0.9785039313279954
60,sample_ii_analysis,sample_ii_p_enriched,20.0,0,36065,17029,77,10139,66,20,4,4263,7,4055,10523,9872,0.0019725811223986586,0.0003945162244797317,0.0016420361247947454,0.11243587966172189,0.4204556662392741,1.0378735575500542,0.973666042015978
61,sample_ii_analysis,sample_ii_p_enriched,20.0,0,36509,18965,86,11282,68,25,8,4636,9,4424,11851,11010,0.0022159191632689238,0.0007090941322460556,0.0019413287316652286,0.12117560053685393,0.41092004963658924,1.0504343201560007,0.9758907995036341
62,sample_ii_analysis,sample_ii_p_enriched,20.0,0,37545,19089,61,11902,54,18,2,4427,7,4215,10935,11625,0.001512350865400773,0.00016803898504453034,0.001581206234470296,0.1122652816620056,0.3719542933960679,0.9187531507309696,0.9767266005713325
63,sample_ii_analysis,sample_ii_p_enriched,20.0,0,36986,18817,228,14756,200,80,12,2800,20,2616,5802,14541,0.005421523448088913,0.000813228517213337,0.007142857142857143,0.0707294652030498,0.18975332068311196,0.39319598807264844,0.985429655733261
65,sample_ii_analysis,sample_ii_p_enriched,20.0,0,38329,13038,208,11875,180,60,7,937,7,816,1513,11739,0.0050526315789473685,0.0005894736842105263,0.007470651013874066,0.021289363145399046,0.07890526315789474,0.12741052631578947,0.9885473684210526
