left,right,right_minus_left_auc,ci,bootstrap_valid
traditional_deltae_depth_ridge,ridge,-0.025487869678624597,"[-0.03229936452797705, -0.01805348704851547]",500
traditional_deltae_depth_ridge,gradient_boosted_trees,0.002303029769562648,"[-0.0002419446017719595, 0.0060857358364271585]",500
traditional_deltae_depth_ridge,mlp,0.0015589989828567186,"[-0.0013926395161644122, 0.00515934162960341]",500
traditional_deltae_depth_ridge,cnn_1d,-0.08266117241706028,"[-0.11207814309960777, -0.05294245179569432]",500
traditional_deltae_depth_ridge,support_residual_hybrid_mlp_new,0.010707732367640443,"[0.0044279666107047925, 0.018988458208983847]",500
