run,depth_idx,available_rows,low_rows,high_rows,low_threshold_residual,high_threshold_residual
31,0,26352,6588,6588,-0.13205953687429428,0.2868898808956146
31,1,376,94,94,-0.10622050426900387,0.08722303248941898
31,2,135,34,34,-0.07546859607100487,0.06851785629987717
31,3,69,18,18,-0.015973474830389023,0.06238994374871254
32,0,26720,6680,6680,-0.14885366335511208,0.28182482719421387
32,1,394,99,99,-0.11663565784692764,0.07923866249620914
32,2,122,31,31,-0.059779572300612926,0.066148541867733
32,3,69,18,18,-0.04133054241538048,0.03654082864522934
33,0,47148,11789,11789,-0.03544675558805466,0.211419478058815
33,1,332,83,83,-0.030680289026349783,0.10836632363498211
33,2,145,37,37,-0.02059883438050747,0.061336010694503784
33,3,96,24,24,-0.0124922851100564,0.048066106624901295
34,0,32958,8240,8240,0.013478629291057587,0.2742823362350464
34,1,229,58,58,-0.06302115321159363,0.11200687289237976
34,2,116,29,29,-0.045545327477157116,0.07255092076957226
34,3,70,18,18,-0.012962085427716374,0.06309189647436142
35,0,10654,2664,2664,-0.29267892986536026,-0.03807226940989494
35,1,235,59,59,-0.13288436830043793,0.06746841594576836
35,2,85,22,22,-0.053452301770448685,0.039973046630620956
35,3,47,12,12,-0.046010179445147514,0.035072023048996925
36,0,9518,2380,2380,-0.2774832397699356,0.08269124291837215
36,1,194,49,49,-0.108858622610569,0.06868257001042366
36,2,91,23,23,-0.06323952227830887,0.06049078702926636
37,0,21963,5491,5491,-0.2846475690603256,0.08741269633173943
37,1,604,151,151,-0.13874328881502151,0.06427115201950073
37,2,246,62,62,-0.06378167681396008,0.05203666165471077
37,3,117,30,30,-0.05471254512667656,0.04356642812490463
39,0,12550,3138,3138,-0.2938733249902725,0.026738592889159918
39,1,388,97,97,-0.13394613936543465,0.06650667451322079
39,2,147,37,37,-0.07190755009651184,0.03887663595378399
39,3,76,19,19,-0.05199594795703888,0.04234700836241245
40,0,12925,3232,3232,-0.30143672227859497,-0.012357506901025772
40,1,397,100,100,-0.1318071186542511,0.05784890055656433
40,2,167,42,42,-0.0794658288359642,0.033903222531080246
40,3,80,20,20,-0.053096167743206024,0.03994096349924803
41,0,14239,3560,3560,-0.29231853783130646,0.04011302441358566
41,1,462,116,116,-0.13631435483694077,0.06740006245672703
41,2,165,42,42,-0.07092699408531189,0.041210975497961044
41,3,87,22,22,-0.042630771175026894,0.0557714719325304
42,0,16287,4072,4072,-0.26124581694602966,0.19118694961071014
42,1,424,106,106,-0.12778881937265396,0.0811342429369688
42,2,172,43,43,-0.0547497421503067,0.06368796154856682
42,3,85,22,22,-0.05264856666326523,0.05101370811462402
44,0,1795,449,449,-0.29302527010440826,0.037761265411973
44,1,52,13,13,-0.13597997277975082,0.053340306505560875
45,0,21852,5463,5463,-0.27510277926921844,0.12165702134370804
45,1,590,148,148,-0.1351383440196514,0.07250531390309334
45,2,212,53,53,-0.06815866939723492,0.05749933887273073
45,3,118,30,30,-0.05088002420961857,0.04925024416297674
46,0,666,167,167,-0.26323356479406357,0.05321427062153816
47,0,5035,1259,1259,-0.25560759007930756,0.13729043304920197
47,1,45,12,12,-0.1577678620815277,0.04498584195971489
48,0,12468,3117,3117,-0.2974938526749611,-0.012462588027119637
48,1,361,91,91,-0.1498951017856598,0.055025361478328705
48,2,141,36,36,-0.07014016062021255,0.03365391492843628
48,3,65,17,17,-0.05597752705216408,0.04664761573076248
49,0,13151,3288,3288,-0.29899848997592926,0.0017798116896301508
49,1,375,94,94,-0.13617831468582153,0.05027865432202816
49,2,161,41,41,-0.068275086581707,0.05137290433049202
49,3,76,19,19,-0.06025674566626549,0.03236090298742056
50,0,33400,8351,8351,0.02377289906144142,0.3233111500740051
50,1,404,101,101,-0.085414232686162,0.10374080389738083
50,2,178,45,45,-0.02562381187453866,0.08018054440617561
50,3,103,26,26,-0.027044829912483692,0.048246193677186966
51,0,13894,3474,3474,-0.03722742572426796,0.30719906091690063
51,1,175,44,44,-0.12269134446978569,0.09135748073458672
51,2,84,21,21,-0.057660468854010105,0.0561302350834012
51,3,46,12,12,-0.022746129892766476,0.062293785624206066
52,0,6747,1687,1687,-0.03136272728443146,0.30469372868537903
52,1,86,22,22,-0.060103545896708965,0.0947332326322794
53,0,30655,7664,7664,-0.004896292230114341,0.2596324384212494
53,1,333,84,84,-0.050476767122745514,0.10002019256353378
53,2,147,37,37,-0.03395969793200493,0.07120228558778763
53,3,86,22,22,-0.021638906560838223,0.053203399293124676
54,0,28948,7238,7238,-0.004939687438309193,0.2610609829425812
54,1,316,79,79,-0.06946137920022011,0.0994524285197258
54,2,150,38,38,-0.028339161071926355,0.07132402621209621
54,3,78,20,20,-0.025120663456618786,0.05159979499876499
55,0,16357,4090,4090,-0.04342932999134064,0.2952776253223419
55,1,217,55,55,-0.12543092668056488,0.09775958955287933
55,2,93,24,24,-0.06347215920686722,0.06262584030628204
55,3,63,16,16,-0.015497013460844755,0.06055636890232563
56,0,37875,9469,9469,0.008197165559977293,0.3182215541601181
56,1,500,125,125,-0.08613741397857666,0.11140137910842896
56,2,211,53,53,-0.022181181237101555,0.07353232428431511
56,3,137,35,35,-0.029063083231449127,0.050869740545749664
57,0,12152,3038,3038,-0.29907798022031784,-0.010833967477083206
57,1,383,96,96,-0.13837503641843796,0.06719149649143219
57,2,151,38,38,-0.07406733930110931,0.043724650517106056
57,3,77,20,20,-0.03402929753065109,0.03711462393403053
58,0,15209,3803,3803,-0.26459264755249023,-0.026525596156716347
58,1,355,89,89,-0.11090964823961258,0.06808167323470116
58,2,139,35,35,-0.07364915311336517,0.03474261425435543
58,3,87,22,22,-0.04619579762220383,0.04649094119668007
59,0,9039,2260,2260,-0.3381168991327286,-0.13858995586633682
59,1,2261,566,566,-0.1374952644109726,0.012642106972634792
59,2,1434,359,359,-0.06387459114193916,0.022583147510886192
59,3,829,208,208,-0.03377635031938553,0.031072476878762245
60,0,5869,1468,1468,-0.3390304446220398,-0.12923021614551544
60,1,1934,484,484,-0.11748310923576355,0.04367028083652258
60,2,1227,307,307,-0.04674140177667141,0.04715497046709061
60,3,836,209,209,-0.015401212498545647,0.04857207555323839
61,0,6649,1663,1663,-0.3316361606121063,-0.1245851069688797
61,1,2000,500,500,-0.1169059369713068,0.03311651200056076
61,2,1397,350,350,-0.04823177307844162,0.03610214963555336
61,3,969,243,243,-0.018862450495362282,0.04380928352475166
62,0,7483,1871,1871,-0.33633220195770264,-0.13571564853191376
62,1,1955,489,489,-0.1285102367401123,0.026525044813752174
62,2,1355,339,339,-0.05592072941362858,0.030053304508328438
62,3,841,211,211,-0.02725573629140854,0.03518956899642944
63,0,11975,2994,2994,-0.31822769343852997,-0.12111712992191315
63,1,1489,373,373,-0.13697084784507751,0.02200111374258995
63,2,704,176,176,-0.06585258431732655,0.024387738201767206
63,3,397,100,100,-0.03460923954844475,0.031072476878762245
64,0,10240,2560,2560,-0.323240227997303,-0.13216402754187584
64,1,990,248,248,-0.14660602435469627,0.00988517445512116
64,2,437,110,110,-0.07862315326929092,0.012681782245635986
64,3,240,60,60,-0.04367411136627197,0.023054403718560934
65,0,10966,2742,2742,-0.3371364697813988,-0.15373894944787025
65,1,526,132,132,-0.14223025366663933,0.006594026694074273
65,2,198,50,50,-0.07677274569869041,0.0011597348493523896
65,3,78,20,20,-0.04438891727477312,0.0371014978736639
