method,family,n_events,n_runs,roc_auc,average_precision,brier,ece,purity_at_fixed_efficiency,bootstrap_valid,auc_ci,ap_ci,brier_ci,ece_ci,purity_ci,topology_bootstrap_valid,topology_auc_ci,topology_ap_ci,topology_purity_ci
traditional_deltae_depth_ridge,head_to_head,15694,33,0.9860319401207713,0.9849680550505755,0.10395821342353442,0.22500950687962715,0.9872601446995911,500,"[0.9763536403686677, 0.9940470896126792]","[0.9752645674696362, 0.9936913479889372]","[0.09462120789897359, 0.1130126023727825]","[0.20939576061806867, 0.2478221405971995]","[0.9623716401473457, 0.9976385390428212]",500,"[0.8981510593166149, 0.9888738567141019]","[0.8872332987751135, 0.9876614324438716]","[0.79894211361015, 0.993985220828321]"
ridge,head_to_head,15694,33,0.9605440704421467,0.9319205146725121,0.11690454912839532,0.22014436409766316,0.9727258639392531,500,"[0.9448374074188307, 0.973851186133716]","[0.9197815197561707, 0.9446112448295115]","[0.10624082895207416, 0.12640093485598586]","[0.19227067965651215, 0.2515183139234069]","[0.933115338882283, 0.9817049631345998]",500,"[0.8332643047277869, 0.9732666669370588]","[0.7499251286900118, 0.9454854435464282]","[0.7256721698113208, 0.9786721233726866]"
gradient_boosted_trees,head_to_head,15694,33,0.988334969890334,0.9890798321082822,0.0933818433712391,0.2191238909489155,0.9963492063492063,500,"[0.9808198555823608, 0.9947629336403925]","[0.9823392358390323, 0.995033619776163]","[0.08516110002852995, 0.10245501741902323]","[0.2066151133343915, 0.24237928829091693]","[0.986627485261033, 0.9998396508175144]",500,"[0.9202111356012338, 0.9928959038463635]","[0.9109664062284732, 0.9929851109312878]","[0.8481080316742081, 0.9991530448039299]"
mlp,head_to_head,15694,33,0.987590939103628,0.9884070785727591,0.09428072845549161,0.21567020853741425,0.9974574924519307,500,"[0.9797434736221204, 0.9942888979844644]","[0.9813951108801343, 0.9943119443556041]","[0.08559392693690776, 0.10328748436898459]","[0.20250995271240535, 0.24096502506195736]","[0.9859524165454026, 0.9992041416418413]",500,"[0.947696221262182, 0.9918255601342874]","[0.926159174941849, 0.9924322382671666]","[0.8758897058823529, 0.9986606837911328]"
cnn_1d,head_to_head,15694,33,0.903370767703711,0.8570988322505027,0.1414721174491364,0.17514980352769227,0.8449320231525105,500,"[0.8677616906578948, 0.9407932236298687]","[0.8110597428447077, 0.9101788632947523]","[0.1262527850721674, 0.1561582391455354]","[0.13825433654225694, 0.21666748091451588]","[0.7913756938663838, 0.9096741009041083]",500,"[0.8725224775224775, 0.9122218824625778]","[0.7845419061775972, 0.8736896216581821]","[0.7758795755818333, 0.8574880020028153]"
support_residual_hybrid_mlp_new,head_to_head,15694,33,0.9967396724884118,0.9963802091021033,0.0808759537739474,0.24839264163798513,0.9990450421773038,500,"[0.9941437169341416, 0.998663020418014]","[0.9939687689400738, 0.9984229695362963]","[0.07628175901239947, 0.08564513674259783]","[0.24073284162620415, 0.25887936100494746]","[0.9980920505963298, 0.9996831550031445]",500,"[0.9827107436501129, 0.9974349621066968]","[0.9746017831429745, 0.997361623221138]","[0.9745100710292836, 0.9998304002780035]"
sentinel_charge_only_ridge,sentinel,15694,33,0.9844134368640571,0.982813216651378,0.10605763783626958,0.2311615419784685,0.99147054177855,500,"[0.9752720983509335, 0.9923694344605118]","[0.9733144084083842, 0.990827380108088]","[0.0959669839117064, 0.11649132447864187]","[0.2130021087584288, 0.248098723022288]","[0.9728839398758444, 0.9949136911167198]",500,"[0.9243773906082128, 0.9858394339049525]","[0.8900443471310066, 0.984051615684572]","[0.7912087912087912, 0.9929627760049913]"
sentinel_depth_only_ridge,sentinel,15694,33,0.8058570427035247,0.7405906290537325,0.22036979024268288,0.1138179236321126,0.7454869358669833,500,"[0.7778733627308437, 0.8340529268754024]","[0.7148163360471117, 0.7721065087962737]","[0.21360389641003896, 0.22753440738864075]","[0.08303166578264387, 0.14023911650411272]","[0.7141015585558008, 0.7781262452071194]",500,"[0.5493813056869025, 0.8394431140604522]","[0.49799727082786654, 0.7720210524857716]","[0.47962136353542084, 0.7573298863979545]"
sentinel_topology_only_ridge,sentinel,15694,33,0.7884459849872862,0.8640183067111404,0.138885804646795,0.1268117972110164,0.5343673192643444,500,"[0.7376309851508737, 0.8472416672539974]","[0.825361234989281, 0.9032401332315448]","[0.11688009937509115, 0.16071391007753527]","[0.08664121011958979, 0.17077983631865376]","[0.5127770854484268, 0.9842391942013563]",500,"[0.5757488222319128, 0.7935250551207897]","[0.6330486962931068, 0.865907607445388]","[0.4854420010194422, 0.5946804983184121]"
sentinel_group_event_order_ridge,sentinel,15694,33,0.47688297125237117,0.4755498706933041,0.29526121746481754,0.16518148111370057,0.493009739239711,500,"[0.4655553813864656, 0.48703706334175084]","[0.46597149213281186, 0.4856160748852852]","[0.28163764683985903, 0.311392376026996]","[0.1392159966647315, 0.19591442314594343]","[0.4891453138655911, 0.49823115283637154]",500,"[0.4754328564744087, 0.5091473262122583]","[0.44829090710014746, 0.5267347471070433]","[0.44473386078300275, 0.5327673885350318]"
sentinel_shuffled_label_gbt,sentinel,15694,33,0.5317676818029743,0.5041107750382466,0.2702019540271623,0.10862332248927267,0.5222998835080712,500,"[0.4908225411160177, 0.5768671424902756]","[0.47806202662874675, 0.5362699834464177]","[0.25983255604126587, 0.28010897573437843]","[0.0809078972114525, 0.13661938307630161]","[0.5003324361139192, 0.5497720416818405]",500,"[0.5294448046659261, 0.5804914900356095]","[0.48051532937565183, 0.5811194471512561]","[0.45185331230283915, 0.5515467855912]"
sentinel_target_permutation_gbt,sentinel,15694,33,0.45911911847796255,0.45768608598420074,0.29287765106040486,0.13613187121447443,0.4901241314700601,500,"[0.4076445265864301, 0.5092900938927948]","[0.429354981823771, 0.4935384422008907]","[0.2752824437787225, 0.3118921358408383]","[0.10527331439711245, 0.19372428823320986]","[0.4729995268105289, 0.5144272263183364]",500,"[0.421433452884863, 0.47738726006817056]","[0.41802194987386493, 0.5019631007153831]","[0.4336637677032537, 0.5094010225654744]"
