null_variant,method,null_positive_fraction,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,ece,bootstrap_valid
global_shuffle,traditional_deltae_depth_ridge,0.5,0.5017531105639915,0.49221800278833727,0.5110246112480122,0.5008594910602551,0.48912896963418445,0.5123236972921421,0.20139548866006957,500
global_shuffle,ridge,0.5,0.5059625344916507,0.4968246332385182,0.5151924267021323,0.5052612835246141,0.49623543094350214,0.5137098373083919,0.19624690993109134,500
global_shuffle,gradient_boosted_trees,0.5,0.5042054207061784,0.49628207226975596,0.514420701229639,0.5041012867645738,0.49448777782874853,0.5139371517892292,0.22066201449265457,500
global_shuffle,mlp,0.5,0.5013039702261661,0.49189729963611434,0.5107518468231566,0.4993639293719951,0.48894059852750704,0.5103142783764287,0.22214826381243935,500
global_shuffle,cnn_1d,0.5,0.5016180810102293,0.49350662689420444,0.5104124207760103,0.5000392423280297,0.49063539174593834,0.5109805583172214,0.19061046692813116,500
global_shuffle,support_residual_hybrid_mlp_new,0.5,0.5029918680686312,0.49347244296881443,0.5121409315808426,0.5042885714213081,0.4925702074237145,0.5175609282918379,0.22901466344636484,500
within_run_shuffle,traditional_deltae_depth_ridge,0.5,0.4957910226791998,0.48741430522076834,0.5041813945484681,0.4946000189282894,0.48803678732345107,0.5015921438744856,0.2019052376087133,500
within_run_shuffle,ridge,0.5,0.5017225626548416,0.49206393601159676,0.5113070224864924,0.5036673227029365,0.4940143893425436,0.5135473975552626,0.19854078019998392,500
within_run_shuffle,gradient_boosted_trees,0.5,0.4956553759959597,0.48705481661477285,0.503818445206214,0.4954065619726908,0.4887676279478994,0.5017485722742583,0.22397538265883274,500
within_run_shuffle,mlp,0.5,0.49801384185690106,0.4895079388107025,0.5062442627906764,0.49718455049899307,0.4914536779360977,0.5044566004404389,0.2246970085556533,500
within_run_shuffle,cnn_1d,0.5,0.50009052315024,0.492013595684087,0.509243330598847,0.5001821714749246,0.49471418007555745,0.5068352291516429,0.19341408614566655,500
within_run_shuffle,support_residual_hybrid_mlp_new,0.5,0.49728419993117706,0.48856943806754416,0.5042516055417985,0.49822193827052885,0.4926707285823157,0.503777326435063,0.23143597095241814,500
within_run_depth_shuffle,traditional_deltae_depth_ridge,0.5,0.5002894743257004,0.49270036817601315,0.5074518126922771,0.4996399888318365,0.4936080851888754,0.5054139001965674,0.19910161839117793,500
within_run_depth_shuffle,ridge,0.5,0.49734640008643716,0.49026295672613374,0.5031864351887617,0.4989976416403188,0.49384033156872426,0.504160998995009,0.20057977599455507,500
within_run_depth_shuffle,gradient_boosted_trees,0.5,0.5006646971683127,0.4933423586945083,0.5076500723118486,0.501504777367198,0.49514079412369577,0.5071666556905766,0.21900533040956552,500
within_run_depth_shuffle,mlp,0.5,0.4977475667274902,0.48988582750320697,0.505299841776122,0.49628735028827,0.48920622635908617,0.5030205932704034,0.22112876591515376,500
within_run_depth_shuffle,cnn_1d,0.5,0.501332017136906,0.4931626655602745,0.5104464459940312,0.5003612097168846,0.49345723231791616,0.5084339878870575,0.19073790416529188,500
within_run_depth_shuffle,support_residual_hybrid_mlp_new,0.5,0.49649968220267926,0.48734094649886106,0.5048784154239235,0.4991212082895087,0.49179239356651555,0.5059928821297434,0.22850491449772206,500
within_support_cell_shuffle,traditional_deltae_depth_ridge,0.5,0.9658555901756171,0.9539286834660013,0.9776820495388118,0.9651214189954932,0.9527149857162531,0.9773345787145993,0.2044921116967547,500
within_support_cell_shuffle,ridge,0.5,0.9433590445172683,0.9295710927120103,0.9588445265646888,0.9206842409987518,0.9002370729033301,0.939004408905378,0.19108867402502394,500
within_support_cell_shuffle,gradient_boosted_trees,0.5,0.9577537763492566,0.9463926356855324,0.9695478106048923,0.9518439809724146,0.9329468863547412,0.9685179161873866,0.17778113196268755,500
within_support_cell_shuffle,mlp,0.5,0.9539541832357136,0.9427754766828148,0.9658746221595405,0.953539882427933,0.9392226714821321,0.9650113800801466,0.17740107320984166,500
within_support_cell_shuffle,cnn_1d,0.5,0.8835026089717083,0.8623777486486898,0.9021814936713327,0.8397393870427585,0.8129005437696607,0.8673236055629009,0.15284828702457004,500
within_support_cell_shuffle,support_residual_hybrid_mlp_new,0.5,0.960737751656672,0.950533187816468,0.97011007598659,0.9568886733577299,0.9438155344445147,0.9671117354812766,0.19855925872893493,500
