support_cell,negative_rows,positive_rows,min_class_rows,matched_cell
sample_i_analysis|0|0|0|1|0|0,883,0,0,False
sample_i_analysis|0|0|0|1|0|1,107,0,0,False
sample_i_analysis|0|0|0|1|1|0,49,0,0,False
sample_i_analysis|0|0|0|1|1|1,239,0,0,False
sample_i_analysis|0|1|0|1|0|0,1257,1,1,False
sample_i_analysis|0|1|0|1|0|1,22,0,0,False
sample_i_analysis|0|1|0|1|1|0,161,0,0,False
sample_i_analysis|0|1|0|1|1|1,26,0,0,False
sample_i_analysis|0|2|0|1|0|0,389,449,389,True
sample_i_analysis|0|2|0|1|0|1,7,1,1,False
sample_i_analysis|0|2|0|1|1|0,43,0,0,False
sample_i_analysis|0|2|0|1|1|1,1,0,0,False
sample_i_analysis|0|2|1|1|0|0,5,583,5,True
sample_i_analysis|0|2|1|1|0|1,2,16,2,False
sample_i_analysis|0|2|1|1|1|0,5,0,0,False
sample_i_analysis|0|2|1|1|1|1,1,0,0,False
sample_i_analysis|0|3|1|1|0|0,2,1977,2,False
sample_i_analysis|0|3|1|1|0|1,2,182,2,False
sample_i_analysis|0|3|1|1|1|0,4,0,0,False
sample_i_analysis|0|3|1|1|1|1,1,0,0,False
sample_i_analysis|1|0|0|0|0|0,14,0,0,False
sample_i_analysis|1|0|0|0|0|1,4,0,0,False
sample_i_analysis|1|0|0|0|1|0,1,0,0,False
sample_i_analysis|1|1|0|0|0|0,25,7,7,True
sample_i_analysis|1|1|0|0|1|0,5,0,0,False
sample_i_analysis|1|2|0|0|0|0,3,12,3,True
sample_i_analysis|1|2|0|0|0|1,2,1,1,False
sample_i_analysis|1|2|1|0|0|0,2,5,2,False
sample_i_analysis|1|2|1|0|0|1,1,1,1,False
sample_i_analysis|1|3|1|0|0|0,0,16,0,False
sample_i_analysis|1|3|1|0|0|1,0,10,0,False
sample_i_analysis|2|0|0|0|0|0,3,0,0,False
sample_i_analysis|2|0|0|0|0|1,1,0,0,False
sample_i_analysis|2|0|0|0|1|0,1,0,0,False
sample_i_analysis|2|1|0|0|0|0,7,1,1,False
sample_i_analysis|2|1|0|0|1|0,4,0,0,False
sample_i_analysis|2|2|0|0|0|0,2,6,2,False
sample_i_analysis|2|2|0|0|1|0,1,0,0,False
sample_i_analysis|2|2|1|0|0|0,0,3,0,False
sample_i_analysis|2|3|1|0|0|0,0,6,0,False
sample_i_analysis|2|3|1|0|0|1,0,2,0,False
sample_i_analysis|3|0|0|0|0|1,1,0,0,False
sample_i_analysis|3|1|0|0|0|0,2,3,2,False
sample_i_analysis|3|1|0|0|1|0,2,0,0,False
sample_i_analysis|3|2|1|0|0|1,0,1,0,False
sample_i_analysis|3|3|1|0|0|0,0,3,0,False
sample_i_analysis|3|3|1|0|0|1,0,1,0,False
sample_i_calib|0|0|0|1|0|0,814,0,0,False
sample_i_calib|0|0|0|1|0|1,129,0,0,False
sample_i_calib|0|0|0|1|1|0,50,0,0,False
sample_i_calib|0|0|0|1|1|1,219,0,0,False
sample_i_calib|0|1|0|1|0|0,868,2,2,False
