method,heldout_run,final_loss,initial_loss,epochs,train_rows,test_rows
cnn1d,58,0.5460150175624423,0.6852047840754191,18,4236,74
cnn1d,59,0.5602585843631199,0.6965974824769157,18,3480,830
cnn1d,60,0.5628819465637207,0.6979281646864754,18,3454,856
cnn1d,61,0.5792219468525478,0.686954310962132,18,3096,1214
cnn1d,62,0.5602634463991437,0.689609672342028,18,3470,840
cnn1d,63,0.5483147203922272,0.69640251994133,18,3922,388
cnn1d,65,0.5424102544784546,0.6991101304690043,18,4202,108
atom_gated_cnn,58,0.5349532961845398,0.6881808439890543,18,4236,74
atom_gated_cnn,59,0.5523868118013654,0.6916740792138236,18,3480,830
atom_gated_cnn,60,0.5550171477454049,0.6989894168717521,18,3454,856
atom_gated_cnn,61,0.5851507612637111,0.6877788731030056,18,3096,1214
atom_gated_cnn,62,0.5529651386397225,0.6924610137939453,18,3470,840
atom_gated_cnn,63,0.5365976020693779,0.6905180811882019,18,3922,388
atom_gated_cnn,65,0.5377353363566928,0.6879686911900839,18,4202,108
