method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,precision_at_top10,precision_at_top10_ci_low,precision_at_top10_ci_high,action_balanced_accuracy,action_precision,false_positive_count,false_negative_count
mlp,0.912053768013738,0.8972890430625299,0.9256586072285069,0.9118484708479694,0.8959784090151344,0.9265317932399226,0.9721577726218097,0.9448567708333333,0.9855313328912467,0.808584686774942,0.9279279279279279,112,713
gradient_boosted_trees,0.9055404525169439,0.8869399199820981,0.9216448639693458,0.9093472150105806,0.8925845283353103,0.928141935872399,0.9837587006960556,0.9700427482908842,0.9965172405408034,0.7765661252900232,0.915041782729805,122,841
ridge,0.8142516459321386,0.799838528488682,0.8283677499644531,0.8110885194394647,0.7860588560135274,0.8339875427533989,0.9211136890951276,0.8848579545454546,0.9519324079340252,0.6821345707656612,0.87776708373436,127,1243
atom_gated_cnn,0.7871357281668381,0.767289342450186,0.80391927078432,0.7865778692317065,0.7617966863309003,0.811964028035205,0.9048723897911833,0.8730554514619546,0.9348564425770308,0.671461716937355,0.8885383806519453,106,1310
cnn1d,0.7826758038554917,0.7625866555929361,0.801060835680537,0.7784815322058286,0.7528259525420482,0.8033931786135353,0.9095127610208816,0.8791768385718645,0.9288062928720549,0.6693735498839908,0.8842105263157894,110,1315
traditional_atom_rubric,0.57667303685919,0.5686287788969268,0.5820499270750419,0.5645200978822345,0.5564911651526846,0.5701237818973195,0.6334106728538283,0.5767469183359014,0.6626192813562184,0.5053364269141531,0.5485232067510548,107,2025
