method,family,window_mask,samples,causal_before_or_at_peak,window_loss_score,fraction_of_joint_loss,dominant_terms,rank_within_window
gradient_boosted_trees,ml_tree,late_tail_samples_12_17,12-13-14-15-16-17,False,0.011420001977447459,0.06334261222042084,pileup_loss_term*0.75: late overlap and broad-tail pile-up evidence; pid_loss_term*0.35: tail-over-total and noncausal PID dependence; energy_res68_term*0.18: tail charge contribution; saturation_loss_term*0.25: post-peak recovery shape,1.0
ridge,ml_linear,late_tail_samples_12_17,12-13-14-15-16-17,False,0.031584516658483545,0.09827297357205844,pileup_loss_term*0.75: late overlap and broad-tail pile-up evidence; pid_loss_term*0.35: tail-over-total and noncausal PID dependence; energy_res68_term*0.18: tail charge contribution; saturation_loss_term*0.25: post-peak recovery shape,2.0
mlp,neural_tabular,late_tail_samples_12_17,12-13-14-15-16-17,False,0.044159110225533364,0.10677720107247467,pileup_loss_term*0.75: late overlap and broad-tail pile-up evidence; pid_loss_term*0.35: tail-over-total and noncausal PID dependence; energy_res68_term*0.18: tail charge contribution; saturation_loss_term*0.25: post-peak recovery shape,3.0
traditional_joint,traditional,late_tail_samples_12_17,12-13-14-15-16-17,False,0.1055786696566516,0.27668502613513973,pileup_loss_term*0.75: late overlap and broad-tail pile-up evidence; pid_loss_term*0.35: tail-over-total and noncausal PID dependence; energy_res68_term*0.18: tail charge contribution; saturation_loss_term*0.25: post-peak recovery shape,4.0
new_residual_architecture,new_architecture,late_tail_samples_12_17,12-13-14-15-16-17,False,0.13893068015650187,0.34314761957671275,pileup_loss_term*0.75: late overlap and broad-tail pile-up evidence; pid_loss_term*0.35: tail-over-total and noncausal PID dependence; energy_res68_term*0.18: tail charge contribution; saturation_loss_term*0.25: post-peak recovery shape,5.0
1d_cnn,neural_waveform,late_tail_samples_12_17,12-13-14-15-16-17,False,0.16877853512659508,0.31757181553366326,pileup_loss_term*0.75: late overlap and broad-tail pile-up evidence; pid_loss_term*0.35: tail-over-total and noncausal PID dependence; energy_res68_term*0.18: tail charge contribution; saturation_loss_term*0.25: post-peak recovery shape,6.0
traditional_joint,traditional,peak_charge_samples_8_11,8-9-10-11,True,0.011276904000132742,0.029552848962267782,energy_res68_term*0.82: charge and energy scale; energy_bias_loss_term*0.75: calibrated energy bias; saturation_loss_term*0.6: saturation onset and hysteresis; pid_loss_term*0.45: dE/dx and charge-depth PID,1.0
gradient_boosted_trees,ml_tree,peak_charge_samples_8_11,8-9-10-11,True,0.02075134695023795,0.11510020099086997,energy_res68_term*0.82: charge and energy scale; energy_bias_loss_term*0.75: calibrated energy bias; saturation_loss_term*0.6: saturation onset and hysteresis; pid_loss_term*0.45: dE/dx and charge-depth PID,2.0
new_residual_architecture,new_architecture,peak_charge_samples_8_11,8-9-10-11,True,0.02094360833827048,0.0517290301791427,energy_res68_term*0.82: charge and energy scale; energy_bias_loss_term*0.75: calibrated energy bias; saturation_loss_term*0.6: saturation onset and hysteresis; pid_loss_term*0.45: dE/dx and charge-depth PID,3.0
ridge,ml_linear,peak_charge_samples_8_11,8-9-10-11,True,0.05153168360672644,0.16033716253964828,energy_res68_term*0.82: charge and energy scale; energy_bias_loss_term*0.75: calibrated energy bias; saturation_loss_term*0.6: saturation onset and hysteresis; pid_loss_term*0.45: dE/dx and charge-depth PID,4.0
