heldout_run,heldout_group,method,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,support_accept_fraction
44,high_20nA,ridge,652,3000,low_current_only_source_run_heldout,46 47,0.840068,0.8356005329580061,0.15523247496573703,0.1190299558019523,0.6671779141104295
44,high_20nA,gradient_boosted_trees,652,3000,low_current_only_source_run_heldout,46 47,0.9401360000000001,0.9315368572069739,0.09772486345090255,0.06855040809872927,0.6671779141104295
44,high_20nA,mlp,652,3000,low_current_only_source_run_heldout,46 47,0.9376800000000001,0.9143780044890578,0.09321086313324557,0.09585921585250161,0.6671779141104295
44,high_20nA,cnn1d,652,3000,low_current_only_source_run_heldout,46 47,0.7603200000000001,0.7896090104526279,0.20514090580601146,0.1446769223662911,0.6671779141104295
44,high_20nA,residual_tcn,652,3000,low_current_only_source_run_heldout,46 47,0.78366,0.8111851690920895,0.1914558057691014,0.13277454847313225,0.6671779141104295
44,high_20nA,shuffled_current_sentinel,652,3000,label_permuted_control,46 47,0.538722,,,,0.6671779141104295
45,high_20nA,ridge,1120,3000,low_current_only_source_run_heldout,46 47,0.776878,0.8113924071990952,0.19817980655082687,0.12578612827389443,0.4616071428571429
45,high_20nA,gradient_boosted_trees,1120,3000,low_current_only_source_run_heldout,46 47,0.9139999999999999,0.9261707715352944,0.12193718578577344,0.0849057902326214,0.4616071428571429
45,high_20nA,mlp,1120,3000,low_current_only_source_run_heldout,46 47,0.905076,0.9162969959854375,0.12067945808167603,0.10233186586656644,0.4616071428571429
45,high_20nA,cnn1d,1120,3000,low_current_only_source_run_heldout,46 47,0.75481,0.7922514301459642,0.2266755390435847,0.1315213610778072,0.4616071428571429
45,high_20nA,residual_tcn,1120,3000,low_current_only_source_run_heldout,46 47,0.6895439999999999,0.712783522175817,0.24548343140650938,0.14424064921070226,0.4616071428571429
