component,dominant_atom,secondary_fraction_delta,ci_low,ci_high,share_of_total_effect,support_fraction
topology_composition,p02_broad_late,0.02011188641536789,-0.006434313808491293,0.04726739989723811,1.0196906606327445,0.6490449393675201
baseline_pathology,s16_no_lowering,0.01979819280882515,-0.007688302265900002,0.048368661489361434,1.0037861137252293,0.4627883014979789
anomaly_taxonomy,p09_broad_late,0.019738818788022472,-0.009015553490311445,0.04785925510524278,1.000775797673999,0.530791788856305
charge_support_drift,amp_ge_4500,0.018324621962921443,0.006187981502570035,0.03338941883263605,0.9290747515826634,0.36839185226282
beam_pileup,pileup_not_supported,7.22606250221857e-06,1.8159170765953165e-06,1.5604252594281475e-05,0.0003663678430995143,0.5550447808512324
