support_choice,n_strata,trad_score_threshold,secondary_fraction_delta,ci_low,ci_high
all_matched,8,0.0,0.019723517329155435,-0.006051955657961992,0.047956723784531544
all_matched,8,0.005,0.019690963506174754,-0.006756221423353005,0.0469679612790748
all_matched,8,0.015,0.02002263335381473,-0.0070131752417744875,0.04692019363723671
all_matched,8,0.03,0.020564318958533858,-0.007055674066431919,0.04821602261183754
all_matched,8,0.06,0.020598574794684743,-0.006841565599353692,0.0488508497028275
dominant_three,3,0.0,0.01979819280882515,-0.005878297722143686,0.045608194764356486
dominant_three,3,0.005,0.019785758726327218,-0.007132104605583432,0.04670946059766007
dominant_three,3,0.015,0.020230707436312598,-0.008990481879792693,0.04684308903499778
dominant_three,3,0.03,0.02073886937436349,-0.007181246313062749,0.04865891164628595
dominant_three,3,0.06,0.02081879798434591,-0.005930282987802759,0.04891016768154918
dominant_one,1,0.0,0.018363718165286282,0.006681616145738343,0.030222204464245284
dominant_one,1,0.005,0.018363718165286282,0.006600814360104214,0.03194697080555931
dominant_one,1,0.015,0.018363718165286282,0.007364259666726902,0.031047883225959146
dominant_one,1,0.03,0.018363718165286282,0.005739022325975342,0.03237946730595052
dominant_one,1,0.06,0.018363718165286282,0.005565794478721812,0.029657904623682695
