component,atom_level,n_events,n_low,n_high,support_fraction,composition_delta,secondary_fraction_delta,ci_low,ci_high,share_of_total_effect,charge_log_shift,timing_tail_delta
topology_composition,p02_broad_late,8189,864,7325,0.6490449393675201,0.0,0.02011188641536789,-0.006434313808491293,0.04726739989723811,1.0196906606327445,0.011425315087100568,0.0
baseline_pathology,s16_no_lowering,5839,799,5040,0.4627883014979789,0.0,0.01979819280882515,-0.007688302265900002,0.048368661489361434,1.0037861137252293,0.01085189987517848,0.0
anomaly_taxonomy,p09_broad_late,6697,837,5860,0.530791788856305,0.0,0.019738818788022472,-0.009015553490311445,0.04785925510524278,1.000775797673999,0.01120575281694054,0.0
charge_support_drift,amp_ge_4500,4648,352,4296,0.36839185226282,0.0,0.018324621962921443,0.006187981502570035,0.03338941883263605,0.9290747515826634,0.012638532350247932,-0.00011444853744306528
charge_support_drift,amp_2500_4500,3423,331,3092,0.2713006261393358,0.0,0.0011882212721233364,-0.01818927344704658,0.019632610566238776,0.06024388309112086,-0.002428075552461532,-0.0005595135317372758
charge_support_drift,amp_1000_2500,4546,409,4137,0.3603075215978442,0.0,0.0002106740941106537,-0.00037229027277645453,0.0008102890030399566,0.010681365326215617,8.594276597193002e-05,7.866101286645093e-05
beam_pileup,pileup_not_supported,7003,505,6498,0.5550447808512324,-0.037168205919428106,7.22606250221857e-06,1.8159170765953165e-06,1.5604252594281475e-05,0.0003663678430995143,-0.11192268781369608,7.095028000394881e-05
baseline_pathology,s16_large_lowering,5920,255,5665,0.46920821114369504,0.0,-1.5301458867039426e-05,-0.00019070506802212802,0.0001252005683219222,-0.0007757976739990847,-0.0009093532531822096,-0.0005953010563138902
anomaly_taxonomy,p09_baseline_pathology,5920,255,5665,0.46920821114369504,0.0,-1.5301458867039426e-05,-0.00018268053683029176,0.00012172672575266008,-0.0007757976739990847,-0.0009093532531822096,-0.0005953010563138902
baseline_pathology,s16_mild_lowering,858,38,820,0.06800348735832606,0.0,-5.9374020802676284e-05,-0.00015521842564613497,6.876741179095308e-05,-0.0030103160512303354,0.00035385294176206106,0.0
topology_composition,p02_early_pathology,4428,228,4200,0.35095506063248,0.0,-0.00038836908621245716,-0.0007059983576067511,-0.0002871272067934057,-0.019690660632744616,-0.001128915523342238,-0.0005953010563138902
beam_pileup,pileup_like_high,5496,583,4913,0.4356027581834033,0.03847232380615461,-0.008608053827622407,-0.016587069208856806,0.0012338106781916926,-0.43643604150147824,0.03756366307545526,-0.00011531010731527279
beam_pileup,pileup_like_low,118,4,114,0.009352460965364191,-0.0013041178867264779,-0.02220198563645495,-0.04597787369753298,0.0015370247455223532,-1.1256605637796575,-0.06814722127987875,0.0
