metric,interpretation,heldout_rows,heldout_positive_rows,high_minus_low_median_shift,ci_low,ci_high,bootstrap_replicates
shape_distance_nominal_chi2,shape-distance stability,9745,2060,0.1171211078763008,0.103426799736917,0.1272117719985544,500
timing_residual_mean_time_sample,timing residual,9745,2060,-3.240898609161377,-3.5574350118637086,-2.870983821153641,500
energy_residual_log10_amplitude,energy calibration proxy,9745,2060,-0.0902587175369262,-0.1006792545318603,-0.0798376470804214,500
pid_residual_odd_negative_adc,PID score proxy,9745,2060,-1545.625,-1645.38125,-1424.03125,500
