quantity,value
selected Sample-II pulses with sorted proxy,125096.0
median abs sorted-baseline residual ADC,9.5
p90 abs sorted-baseline residual ADC,568.25
mean signed sorted-baseline residual ADC,-239.4857940673828
timing pairs,18098.0
