method,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_abs_gt_0p5_ns_ci_low,tail_abs_gt_0p5_ns_ci_high,bias_ns_ci_low,bias_ns_ci_high,delta_sigma68_vs_uncorrected_ns_ci_low,delta_sigma68_vs_uncorrected_ns_ci_high
mlp,18098,1.138562246206687,3.157272820392897,0.006634436267290955,0.6355398386562051,0.37352193612553874,1.0916655985651107,1.1884164238576758,0.6203272931140451,0.6567400267832424,-0.2632549201288596,0.2736179072454153,-1.910168957235967,-1.6810252054267625
gradient_boosted_trees,18098,1.2115463423737114,4.214573190721921,-0.027643195894624512,0.6679743618079346,0.40385677975466905,1.1743026464259803,1.2510141930166445,0.6535688815227771,0.6848414378286041,-0.11746418769535752,0.08839641113642636,-1.8311710464868467,-1.6355525693500828
gradient_boosted_trees_plus_sorted_proxy,18098,1.2115463423737114,4.214573190721921,-0.027643195894624512,0.6679743618079346,0.40385677975466905,1.1743026464259803,1.2510141930166445,0.6535688815227771,0.6848414378286041,-0.11746418769535752,0.08839641113642636,-1.8311710464868467,-1.6355525693500828
gradient_boosted_trees_controls_only,18098,1.2260824285543315,4.38709569456129,-0.010780236191931105,0.6695214940877445,0.4087191954912145,1.1923136834580705,1.2677651211122793,0.6587428899647659,0.6820381446942682,-0.10359698376426087,0.11555686638687032,-1.8234800717928314,-1.6155718403102832
nuisance_gated_pair_cnn,18098,1.3291250895039455,5.927816284103463,-0.412090255215037,0.6927284782848934,0.44286661509559067,1.3041503793689702,1.3571665233949726,0.6864088631429834,0.7002237136465325,-0.5013617088566623,-0.2955961015325333,-1.7096144804984057,-1.5069976073492461
one_dimensional_cnn,18098,1.3359954936117413,5.914885019334432,-0.2925713788824042,0.698972262128412,0.4478947950049729,1.3191925660234383,1.3657108994935225,0.6914569113102251,0.7075464243382062,-0.3538801133859004,-0.19399817032625719,-1.698946859677782,-1.5003120013788953
traditional_binned_median,18098,1.376928429977181,6.623366605939982,-0.44506996032176976,0.7145540943750691,0.46905735440380153,1.3411357234077432,1.4116800521943538,0.698208342449754,0.7262252999820906,-0.5684714942351466,-0.30401165732672975,-1.6636927410218978,-1.458058397518373
ridge_controls_only,18098,2.384015637081857,5.845264260753989,-0.020615705355491447,0.8262791468670572,0.6681953807050502,2.273143249931543,2.5069911086822474,0.8130877705554949,0.8394279970108255,-0.23277482068351724,0.26911531677894923,-0.7373378318669227,-0.36429758803204104
ridge_plus_sorted_proxy,18098,2.393883645711438,5.515337858573685,-0.007662719654453478,0.8238479389987844,0.6543264449110399,2.2938055844414893,2.5160345534200403,0.8148948105378451,0.8330709285838955,-0.23715898570630822,0.2938538391314342,-0.7014198347972345,-0.3874463303423994
ridge,18098,2.393883645711438,5.515337858573685,-0.007662719654453478,0.8238479389987844,0.6543264449110399,2.2938055844414893,2.5160345534200403,0.8148948105378451,0.8330709285838955,-0.23715898570630822,0.2938538391314342,-0.7014198347972345,-0.3874463303423994
uncorrected,18098,2.9427798696843372,7.7111698643645274,-3.4123731996362503,0.9226433860095038,0.8497071499613217,2.8485260656631604,3.0478103873366007,0.9172900500487702,0.9298787611123775,-3.5346974147425114,-3.3086613913926515,0.0,0.0
