stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,576,2.638474930886519,5,9.100252072746615
B4,576,3.0404569856663364,6,10.91147905258261
B6,555,3.714387589563089,6,9.620636615300944
B8,431,4.215751719821482,8,9.322242276887547
