heldout_run,n_estimators,max_depth,min_samples_leaf,max_leaf_nodes,learning_rate,selection
31,20,3,30,15,0.1,fixed preconfigured HGB
32,20,3,30,15,0.1,fixed preconfigured HGB
33,20,3,30,15,0.1,fixed preconfigured HGB
34,20,3,30,15,0.1,fixed preconfigured HGB
35,20,3,30,15,0.1,fixed preconfigured HGB
36,20,3,30,15,0.1,fixed preconfigured HGB
37,20,3,30,15,0.1,fixed preconfigured HGB
39,20,3,30,15,0.1,fixed preconfigured HGB
40,20,3,30,15,0.1,fixed preconfigured HGB
41,20,3,30,15,0.1,fixed preconfigured HGB
42,20,3,30,15,0.1,fixed preconfigured HGB
44,20,3,30,15,0.1,fixed preconfigured HGB
45,20,3,30,15,0.1,fixed preconfigured HGB
47,20,3,30,15,0.1,fixed preconfigured HGB
48,20,3,30,15,0.1,fixed preconfigured HGB
49,20,3,30,15,0.1,fixed preconfigured HGB
50,20,3,30,15,0.1,fixed preconfigured HGB
51,20,3,30,15,0.1,fixed preconfigured HGB
52,20,3,30,15,0.1,fixed preconfigured HGB
53,20,3,30,15,0.1,fixed preconfigured HGB
54,20,3,30,15,0.1,fixed preconfigured HGB
55,20,3,30,15,0.1,fixed preconfigured HGB
56,20,3,30,15,0.1,fixed preconfigured HGB
57,20,3,30,15,0.1,fixed preconfigured HGB
58,20,3,30,15,0.1,fixed preconfigured HGB
59,20,3,30,15,0.1,fixed preconfigured HGB
60,20,3,30,15,0.1,fixed preconfigured HGB
61,20,3,30,15,0.1,fixed preconfigured HGB
62,20,3,30,15,0.1,fixed preconfigured HGB
63,20,3,30,15,0.1,fixed preconfigured HGB
64,20,3,30,15,0.1,fixed preconfigured HGB
65,20,3,30,15,0.1,fixed preconfigured HGB
