run,weak_label_name,n
31,penetrating_like,155
31,terminal_b2_like,400
32,penetrating_like,138
32,terminal_b2_like,400
33,penetrating_like,187
33,terminal_b2_like,400
34,penetrating_like,145
34,terminal_b2_like,400
35,penetrating_like,115
35,terminal_b2_like,400
36,penetrating_like,107
36,terminal_b2_like,400
37,penetrating_like,290
37,terminal_b2_like,400
39,penetrating_like,189
39,terminal_b2_like,400
40,penetrating_like,214
40,terminal_b2_like,400
41,penetrating_like,208
41,terminal_b2_like,400
42,penetrating_like,214
42,terminal_b2_like,400
44,penetrating_like,27
44,terminal_b2_like,400
45,penetrating_like,279
45,terminal_b2_like,400
47,penetrating_like,22
47,terminal_b2_like,400
48,penetrating_like,172
48,terminal_b2_like,400
49,penetrating_like,198
49,terminal_b2_like,400
50,penetrating_like,206
50,terminal_b2_like,400
51,penetrating_like,100
51,terminal_b2_like,400
52,penetrating_like,50
52,terminal_b2_like,400
53,penetrating_like,180
53,terminal_b2_like,400
54,penetrating_like,176
54,terminal_b2_like,400
55,penetrating_like,120
55,terminal_b2_like,400
56,penetrating_like,265
56,terminal_b2_like,400
57,penetrating_like,200
57,terminal_b2_like,400
58,penetrating_like,200
58,terminal_b2_like,400
59,penetrating_like,400
59,terminal_b2_like,400
60,penetrating_like,400
60,terminal_b2_like,400
61,penetrating_like,400
61,terminal_b2_like,400
62,penetrating_like,400
62,terminal_b2_like,400
63,penetrating_like,400
63,terminal_b2_like,400
64,penetrating_like,400
64,terminal_b2_like,400
65,penetrating_like,249
65,terminal_b2_like,400
