candidate,sign,train_auc,heldout_run,fold
downstream_charge_fraction,1.0,1.0,31,1
downstream_charge_fraction,1.0,1.0,32,2
downstream_charge_fraction,1.0,1.0,33,3
downstream_charge_fraction,1.0,1.0,34,4
downstream_charge_fraction,1.0,1.0,35,5
downstream_charge_fraction,1.0,1.0,36,6
downstream_charge_fraction,1.0,1.0,37,7
downstream_charge_fraction,1.0,1.0,39,8
downstream_charge_fraction,1.0,1.0,40,9
downstream_charge_fraction,1.0,1.0,41,10
downstream_charge_fraction,1.0,1.0,42,11
downstream_charge_fraction,1.0,1.0,44,12
downstream_charge_fraction,1.0,1.0,45,13
downstream_charge_fraction,1.0,1.0,47,14
downstream_charge_fraction,1.0,1.0,48,15
downstream_charge_fraction,1.0,0.9999999999999999,49,16
downstream_charge_fraction,1.0,1.0,50,17
downstream_charge_fraction,1.0,1.0,51,18
downstream_charge_fraction,1.0,1.0,52,19
downstream_charge_fraction,1.0,1.0,53,20
downstream_charge_fraction,1.0,1.0,54,21
downstream_charge_fraction,1.0,1.0,55,22
downstream_charge_fraction,1.0,1.0,56,23
downstream_charge_fraction,1.0,1.0,57,24
downstream_charge_fraction,1.0,1.0,58,25
downstream_charge_fraction,1.0,0.9999999999999999,59,26
downstream_charge_fraction,1.0,0.9999999999999999,60,27
downstream_charge_fraction,1.0,1.0,61,28
downstream_charge_fraction,1.0,0.9999999999999999,62,29
downstream_charge_fraction,1.0,1.0,63,30
downstream_charge_fraction,1.0,1.0,64,31
downstream_charge_fraction,1.0,1.0,65,32
