run,group,events_total,selected_pulses,B2,B4,B6,B8,source
31,sample_i_calib,39990,27871,26948,592,237,94,direct_raw_root_uproot
32,sample_i_calib,41921,28240,27316,605,224,95,direct_raw_root_uproot
33,sample_i_calib,57173,48737,47724,559,318,136,direct_raw_root_uproot
34,sample_i_calib,39765,34118,33373,412,244,89,direct_raw_root_uproot
35,sample_i_calib,27786,11667,11029,403,163,72,direct_raw_root_uproot
36,sample_i_calib,21764,10391,9847,340,143,61,direct_raw_root_uproot
37,sample_i_calib,50513,24537,22956,997,423,161,direct_raw_root_uproot
39,sample_i_calib,30321,14218,13174,663,273,108,direct_raw_root_uproot
40,sample_i_calib,32613,14708,13575,707,310,116,direct_raw_root_uproot
41,sample_i_calib,33997,16146,14963,758,298,127,direct_raw_root_uproot
42,sample_i_calib,33972,18112,16977,711,307,117,direct_raw_root_uproot
44,sample_i_analysis,4294,2038,1884,93,44,17,direct_raw_root_uproot
45,sample_i_analysis,48181,24333,22786,969,401,177,direct_raw_root_uproot
46,sample_i_analysis,1441,687,675,7,3,2,direct_raw_root_uproot
47,sample_i_analysis,10970,5276,5116,85,50,25,direct_raw_root_uproot
48,sample_i_analysis,31713,14000,13044,599,245,112,direct_raw_root_uproot
49,sample_i_analysis,32354,14815,13779,640,281,115,direct_raw_root_uproot
50,sample_i_analysis,44804,35217,34088,659,330,140,direct_raw_root_uproot
51,sample_i_analysis,20569,14740,14200,303,177,60,direct_raw_root_uproot
52,sample_i_analysis,10005,7152,6893,148,76,35,direct_raw_root_uproot
53,sample_i_analysis,39612,32200,31225,559,296,120,direct_raw_root_uproot
54,sample_i_analysis,37413,30440,29493,536,298,113,direct_raw_root_uproot
55,sample_i_analysis,24416,17387,16735,372,199,81,direct_raw_root_uproot
56,sample_i_analysis,51823,40148,38730,825,421,172,direct_raw_root_uproot
57,sample_i_analysis,31284,13833,12774,656,273,130,direct_raw_root_uproot
58,sample_ii_analysis,34141,16781,15791,591,285,114,direct_raw_root_uproot
59,sample_ii_analysis,42303,21377,13565,4527,2366,919,direct_raw_root_uproot
60,sample_ii_analysis,36074,17029,9873,4040,2189,927,direct_raw_root_uproot
61,sample_ii_analysis,36535,18965,11015,4401,2490,1059,direct_raw_root_uproot
62,sample_ii_analysis,37584,19089,11635,4183,2342,929,direct_raw_root_uproot
63,sample_ii_analysis,37030,18817,14566,2645,1153,453,direct_raw_root_uproot
64,sample_ii_calib,35943,14630,11907,1689,763,271,direct_raw_root_uproot
65,sample_ii_analysis,38424,13038,11768,842,323,105,direct_raw_root_uproot
