stratum,value,method,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
spacing_bin,"(-0.001, 10.0]",1d_cnn,,,0.8688965782391388,0.6274509803921569,0.8,0.7352941176470589,-1.896794372520065,14.598807766393763,0.3083333333333333,0.4117647058823529,,-0.0231631385922719,0.1224724313062134,102,102
spacing_bin,"(10.0, 25.0]",1d_cnn,,,0.7127525252525252,0.7222222222222222,0.6341463414634146,0.6906565656565656,-1.2620862599654137,10.469654420085146,0.14,0.375,,-0.0220896182494532,0.1054066238418058,80,80
spacing_bin,"(25.0, 45.0]",1d_cnn,,,0.9081395348837208,0.8372093023255814,0.8780487804878049,0.8561046511627908,-5.373968570202905,7.71242663596639,0.1176470588235294,0.180722891566265,,-0.0452862721746942,0.111588151044638,83,83
spacing_bin,"(45.0, 70.0]",1d_cnn,,,0.8638095238095238,0.8857142857142857,0.8157894736842105,0.8261904761904761,-4.838355280189228,13.45416590880348,0.2719298245614035,0.123076923076923,,-0.0869187622070312,0.1079764410861041,65,65
spacing_bin,"(-0.001, 10.0]",deltaE_over_E_likelihood_template,,,0.7024221453287197,0.5882352941176471,0.7692307692307693,0.7058823529411764,3.445832235651132,21.552026752678287,0.4473684210526316,0.8137254901960784,,0.0163156064889025,0.0911640082704252,102,102
spacing_bin,"(10.0, 25.0]",deltaE_over_E_likelihood_template,,,0.6761363636363636,0.8055555555555556,0.6904761904761905,0.7550505050505051,5.024953233381906,11.07148371711724,0.3055555555555556,0.775,,0.0509738531815146,0.0835794917949142,80,80
spacing_bin,"(25.0, 45.0]",deltaE_over_E_likelihood_template,,,0.8773255813953489,0.7906976744186046,0.8947368421052632,0.8453488372093023,-0.344717537201733,10.121733626328703,0.1451612903225806,0.6265060240963856,,-0.0040961665803756,0.0844890143899252,83,83
spacing_bin,"(45.0, 70.0]",deltaE_over_E_likelihood_template,,,0.8628571428571428,0.6571428571428571,0.8518518518518519,0.7619047619047619,-3.6860410048470538,9.636280946785307,0.1571428571428571,0.4615384615384615,,-0.0633416377130094,0.125601608912528,65,65
spacing_bin,"(-0.001, 10.0]",gradient_boosted_trees,,,0.8785082660515187,0.803921568627451,0.803921568627451,0.803921568627451,-0.447812766229636,8.645624234369166,0.1379310344827586,0.4313725490196078,,0.0220773906974887,0.0830614453516578,102,102
spacing_bin,"(10.0, 25.0]",gradient_boosted_trees,,,0.8731060606060606,0.8333333333333334,0.6666666666666666,0.7462121212121212,2.092577429332647,6.361866914575928,0.0943396226415094,0.3375,,-0.0146420430535197,0.0740247773035162,80,80
spacing_bin,"(25.0, 45.0]",gradient_boosted_trees,,,0.963953488372093,0.9069767441860463,0.8666666666666667,0.8784883720930232,-1.1249182590817064,9.142831484612026,0.1031746031746031,0.2409638554216867,,-0.020849911858983,0.0904323602728353,83,83
spacing_bin,"(45.0, 70.0]",gradient_boosted_trees,,,0.8809523809523809,0.9714285714285714,0.8292682926829268,0.8690476190476191,-0.5519436789888976,9.205956313814063,0.1454545454545454,0.1538461538461538,,-0.0399773533546558,0.0892660309918503,65,65
