gallery_arm,n,runs,two_pulse_like_rate,artifact_like_rate,prior_gallery_overlap
high_ml_only,303,"44,45,48,49,50,51,52,53,54,55,56,57",0.0033003300330033004,0.9306930693069307,0.6105610561056105
matched_low_control,303,"46,47",0.0594059405940594,0.9273927392739274,0.9537953795379538
