scenario,mask,samples,method,family,joint_score,energy_res68,energy_mae,energy_bias,timing_res68_samples,timing_mae_samples,pid_auc,stress_auc,n_events,n_runs,energy_res68_ci_low,energy_res68_ci_high,timing_res68_samples_ci_low,timing_res68_samples_ci_high,pid_auc_ci_low,pid_auc_ci_high,stress_auc_ci_low,stress_auc_ci_high
nominal_s27d,pretrigger_0_3,"0,1,2,3",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.127398138999939,0.15607814788818358,0.0,0.0,0.9078566594825226,0.9271174066049717,1.0,1.0
nominal_s27d,late_tail_12_17,"12,13,14,15,16,17",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12640034484863283,0.1529942092895508,0.0,0.0,0.9058679284528643,0.9247895161358194,1.0,1.0
pid_charge_balanced_q50,peak_charge_8_11,"8,9,10,11",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.1238669562339783,0.15366704654693597,0.0,0.0,0.9071993458344034,0.924491421820202,1.0,1.0
pid_charge_balanced_q50,pretrigger_0_3,"0,1,2,3",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12734383153915405,0.1551519646644593,0.0,0.0,0.906999195113012,0.9250608682096775,0.9999999999999999,1.0
pid_charge_balanced_q50,rising_edge_4_7,"4,5,6,7",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12625158262252809,0.15514403533935547,0.0,0.0,0.9058994150405928,0.9245218478068444,1.0,1.0
nominal_s27d,causal_0_11,"0,1,2,3,4,5,6,7,8,9,10,11",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12712706089019776,0.15790668725967405,0.0,0.0,0.909375010528026,0.9264027110540537,1.0,1.0
pid_charge_balanced_q50,causal_0_11,"0,1,2,3,4,5,6,7,8,9,10,11",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12577296257019044,0.1555224776268005,0.0,0.0,0.9063735347907728,0.9247074065119235,1.0,1.0
pid_charge_balanced_q50,late_tail_12_17,"12,13,14,15,16,17",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12712137699127196,0.15740425252914428,0.0,0.0,0.9060536840582837,0.9234141243862204,1.0,1.0
pid_charge_balanced_q50,all_0_17,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12712982654571534,0.1517057533264161,0.0,0.0,0.905303263600706,0.923027141798514,1.0,1.0
nominal_s27d,all_0_17,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12768391799926757,0.15259460830688476,0.0,0.0,0.9091355007104998,0.9241069267249582,1.0,1.0
nominal_s27d,peak_charge_8_11,"8,9,10,11",traditional_charge_depth_timewalk,traditional,0.09794107260204851,0.1388751792907715,0.783085286617279,-0.6572222709655762,0.0,0.0,0.9163664097623634,1.0,2450,7,0.12618425369262698,0.15212225341796878,0.0,0.0,0.9063546426394077,0.9270080835505669,1.0,1.0
