method,stratum,n_pair_rows,n_runs,b2_amp_cut_adc,median_b2_sat_count,median_b2_sat_excess_adc,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2
raw_pair_median,all_B2_containing,34941,7,,0.0,0.0,1.8378528249084942,1.552872984126295,3.4788654466865787,282.8822144355172
raw_pair_median,B2_sat_count_gt0,6607,7,,3.0,783.5,13.291540026947844,6.561419340428439,16.78924020724057,645.7184325179134
raw_pair_median,B2_sat_count_eq0,28334,7,,0.0,0.0,1.5266320647140739,1.4212270051797957,1.6993642894273282,216.24619298399185
raw_pair_median,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,16.485442442979448,14.81673621610558,19.840278034279596,630.3166054263049
raw_pair_median,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,1.5768756427426442,1.432697807601509,1.8001659705075364,254.92874885310908
ridge_no_saturation,all_B2_containing,34941,7,,0.0,0.0,4.880884672522989,4.427262913008874,6.005816449768372,158.19804197667096
ridge_no_saturation,B2_sat_count_gt0,6607,7,,3.0,783.5,10.23207747725199,7.8266309928459545,11.844558027400963,259.1888537836368
ridge_no_saturation,B2_sat_count_eq0,28334,7,,0.0,0.0,4.454082098794133,4.211507285417693,4.89788581756613,147.21691091960292
ridge_no_saturation,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,11.614434787500333,10.874246133989423,15.025779151280766,231.94332794130537
ridge_no_saturation,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,4.508200280021285,4.2327033039277575,5.229872955246699,158.30483270171038
ridge_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,4.944897191777962,4.525392469886513,5.7548572678785,146.79336063751992
ridge_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,9.963534343015718,8.120464441510297,11.302760151067497,218.04724606741846
ridge_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,4.088228337709627,3.9076683732049893,4.481152342344106,144.3516069883959
ridge_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,11.489654694464084,10.554434865869972,13.335101679303413,184.81602262481698
ridge_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,4.347638179390001,4.1227645288616,4.782293528296396,151.96212350574677
gbt_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.8122245134706882,3.535414712378673,4.425917177686424,159.17475325725627
gbt_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,10.25026918738405,4.730391380492713,12.525643170100372,311.88937774329014
gbt_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,3.544556885833231,3.4560397847769475,3.7458408625666295,128.5919921872825
gbt_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,12.054781972446456,10.529666043348964,13.320536899374,285.3570530830409
gbt_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.53356424938742,3.3882556106524118,3.771293801963925,149.9349333103915
extra_trees_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.251720634267727,2.966162343360779,3.938749273842513,227.55755109368
extra_trees_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,12.024615105175322,5.54521405559193,14.876702122341957,465.42725964150355
extra_trees_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,2.3833997625225947,2.211124386529455,2.6767553749319672,186.7535168612227
extra_trees_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,14.42167289771404,13.089478399842246,17.798951552870783,441.25063771325136
extra_trees_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,2.73772280741487,2.583383877670374,3.0790248665511255,212.2150924169741
mlp_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.5972049978286824,3.257354221505135,4.347872552986556,250.74469969151107
mlp_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,12.868364074846966,5.520294188198254,16.663779048452145,554.9971453054115
