run,method,n,bias_median_frac,res68_abs_frac,within10_frac,res68_abs_frac_ci95,bias_median_frac_ci95,within10_frac_ci95
58,traditional_template,46900,0.02679910924101776,0.18791361561967554,0.486588486140725,"[0.18495338948173384, 0.19079788925154711]","[0.025212462693698284, 0.02890446572860487]","[0.48192910447761195, 0.4904147121535181]"
58,ml_ratio_transfer,46900,1.602028555370444e-05,0.035563027302715,0.8924946695095949,"[0.03486457924270986, 0.03633189209548889]","[1.270805357084077e-05, 1.6020285553742892e-05]","[0.88984381663113, 0.8950362473347547]"
58,observed_saturated,46900,-0.20000000000000004,0.3548387096774194,0.2622814498933902,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000007, -0.20000000000000004]","[0.2583715351812367, 0.26535341151385927]"
59,traditional_template,38404,-0.04761904761904771,0.20000000000000004,0.41948755337985627,"[0.20000000000000004, 0.20000000000000004]","[-0.047619047619047714, -0.04761904761904771]","[0.41532066972190396, 0.4236863347567962]"
59,ml_ratio_transfer,38404,1.33760433382323e-05,0.056464137196324475,0.8291584209978127,"[0.05550169430350813, 0.05733470766735944]","[1.337604333814471e-05, 1.9194470806806626e-05]","[0.8257896312884074, 0.8315344755754609]"
59,observed_saturated,38404,-0.20000000000000004,0.3548387096774194,0.2689823976669097,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000004, -0.20000000000000004]","[0.2645733517341944, 0.27372474221435267]"
60,traditional_template,28870,-0.04761904761904772,0.2,0.43578108763422235,"[0.2, 0.2]","[-0.04761904761904773, -0.047619047619047714]","[0.4301576030481469, 0.4401645306546588]"
60,ml_ratio_transfer,28870,7.739784809735167e-05,0.05505704226999342,0.8418773813647384,"[0.05407162217912459, 0.05615533786952561]","[7.739784809730186e-05, 7.739784809743282e-05]","[0.8376775199168688, 0.8454814686525806]"
60,observed_saturated,28870,-0.20000000000000004,0.3548387096774194,0.2644613785936959,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000007, -0.20000000000000004]","[0.2585027710426048, 0.27052563214409425]"
61,traditional_template,32809,-0.04816717769825355,0.20000000000000004,0.4332043036971563,"[0.2, 0.20000000000000004]","[-0.053748803653264926, -0.047619047619047734]","[0.42765628333688926, 0.43911807735682284]"
61,ml_ratio_transfer,32809,4.964516512953308e-06,0.05498519463075427,0.8465969703435033,"[0.054156209756484816, 0.05618551332994988]","[4.9645165129284254e-06, 4.964516512972732e-06]","[0.8425089152366728, 0.8507452223475266]"
61,observed_saturated,32809,-0.20000000000000004,0.3548387096774194,0.2647749093236612,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000007, -0.20000000000000004]","[0.26016946569538846, 0.2695662775457954]"
62,traditional_template,33694,-0.04761904761904774,0.20000000000000004,0.41743337092657445,"[0.20000000000000004, 0.20000000000000007]","[-0.04904574010471319, -0.04761904761904773]","[0.4123256366118597, 0.42336246809520983]"
62,ml_ratio_transfer,33694,4.227005575720686e-05,0.05408309010493927,0.8429393957381136,"[0.05308525769939101, 0.05493772139216326]","[3.4613412205739894e-05, 5.063922279240581e-05]","[0.8395827150234463, 0.8463443046239687]"
62,observed_saturated,33694,-0.20000000000000004,0.3548387096774194,0.26820798955303615,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000004, -0.20000000000000004]","[0.2630690924200154, 0.27213302071585443]"
63,traditional_template,41068,-0.04761904761904768,0.19999999999999996,0.44599201324632315,"[0.19999999999999996, 0.19999999999999998]","[-0.047619047619047686, -0.04761904761904768]","[0.4413168403623259, 0.45038107528976334]"
63,ml_ratio_transfer,41068,-0.00019194831698569615,0.04366487882084262,0.8704344014804715,"[0.04288200156001575, 0.04438034345182045]","[-0.00034168943886341967, -7.366556679719908e-05]","[0.8671703029122431, 0.873424564137528]"
63,observed_saturated,41068,-0.20000000000000004,0.3548387096774194,0.26809194506671863,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000004, -0.20000000000000004]","[0.2650177753969027, 0.2721188029609428]"
65,traditional_template,32047,-0.04761904761904765,0.19783672421972132,0.44556432739413987,"[0.19589036989734368, 0.19978374367345103]","[-0.04761904761904765, -0.047619047619047644]","[0.43963475520329515, 0.4507504602614909]"
65,ml_ratio_transfer,32047,-0.0004899479261625832,0.03507339533945842,0.8938746216494524,"[0.03428691494097451, 0.03603276830022899]","[-0.0007232374056175696, -0.0003073707868556444]","[0.8898469435516585, 0.8971565201110868]"
65,observed_saturated,32047,-0.20000000000000004,0.3548387096774194,0.2752519736636815,"[0.3548387096774194, 0.3548387096774194]","[-0.20000000000000004, -0.20000000000000004]","[0.2703739819639904, 0.2799645832683247]"
