method,stratum,level,n,timing_bias_ns,timing_sigma68_ns,saturation_mae,pileup_auc,pileup_one_minus_auc,energy_bias,energy_sigma68,pid_shift_bias,pid_shift_sigma68
1d_cnn,energy_bin,q1_low,1214,-5.003229880756082,7.7183847174521265,0.3235021314537611,0.960559629161399,0.03944037083860097,-0.26984047146084666,0.4350710510327799,-0.109370826966043,0.07777402685215581
compact_waveform_transformer,energy_bin,q1_low,1214,-3.9174810901913624,8.726499845043467,0.3474330529084236,0.8789919932574801,0.12100800674251988,-0.3870878686726096,0.5770658259554386,-0.12732824408735016,0.1631373011212168
gradient_boosted_trees,energy_bin,q1_low,1214,-1.0996582730766828,3.030163717707709,0.0008447836220080117,1.0,0.0,-0.013172693691823889,0.1693391907199753,0.0003188845587975375,0.0023334538387691697
mlp,energy_bin,q1_low,1214,-1.7854496332946446,3.8553271548891663,0.01407390526133173,1.0,0.0,0.01267710415818929,0.21097305688080703,0.003838394549402929,0.02108703588548281
phase_gate_transformer_new,energy_bin,q1_low,1214,-4.318411981605667,11.68431874944006,0.3671764169543497,0.9587020648967551,0.041297935103244865,-0.3352869374359049,0.4435543019813176,-0.1026730870284647,0.17241225467643773
ridge,energy_bin,q1_low,1214,-0.08555562061541266,3.7266332006744376,0.12373899534893543,0.9996156763590393,0.00038432364096074867,-0.13459285416235522,0.2908336134373668,0.00032533077747430323,0.0017969989363636387
traditional_cfd_template_fit,energy_bin,q1_low,1214,-0.12628787573786515,1.1034562138229462,0.2115421165178362,0.7855541508638855,0.21444584913611453,-0.13760501191777896,0.202250715368411,0.005911003304244866,0.627229248312411
1d_cnn,energy_bin,q2,1261,-2.9193579258350724,5.624570747698403,0.3111769601897379,0.913023180180133,0.08697681981986705,0.06551747990173595,0.21885433523059017,-0.07066601666601857,0.07013183429422978
compact_waveform_transformer,energy_bin,q2,1261,-2.962483845932754,7.296176877925247,0.3201597850009029,0.9034106705413953,0.09658932945860466,0.031350937074609675,0.21518117797432657,-0.07936220491621752,0.11557144658434997
gradient_boosted_trees,energy_bin,q2,1261,-0.8223345278834291,2.882189456793893,0.0006551802295290016,1.0,0.0,-0.026804656941907562,0.1540920620489205,0.0002034334028379308,0.0016290356116808605
mlp,energy_bin,q2,1261,-1.381608207495134,3.7004548789948473,0.012166084237494412,1.0,0.0,-0.011918979318985473,0.1946866905485169,0.00042005604279104266,0.016056141887289266
phase_gate_transformer_new,energy_bin,q2,1261,-3.0303549712594524,8.641858508862793,0.32075667004880487,0.9144709578937982,0.08552904210620182,0.06562745921221946,0.2059034768093191,-0.07087459707875336,0.09765887934324388
ridge,energy_bin,q2,1261,-1.0097161425848764,3.480097047841617,0.07634106727299204,0.9999973772142868,2.6227857131688737e-06,0.08697792453442603,0.19564802162442668,-0.00013384145249257986,0.0015347851579324053
traditional_cfd_template_fit,energy_bin,q2,1261,0.46087790880816115,0.8205996092164501,0.33293927497536524,0.9084805153249369,0.0915194846750631,0.07765444972199154,0.1578947492875643,-5.7566974960350514e-05,0.04859670786697281
1d_cnn,energy_bin,q3,1246,2.0751788190510627,7.904813507081308,0.19417367311545794,0.958191246678112,0.04180875332188805,0.16054898588630007,0.22434690398265483,0.024918686389199342,0.056092472221874745
compact_waveform_transformer,energy_bin,q3,1246,-3.7203668990295125,6.964433707091106,0.21872371993906467,0.9611368500270454,0.03886314997295459,0.175522368645745,0.22265010136774577,0.048805758274764466,0.09307199905020645
gradient_boosted_trees,energy_bin,q3,1246,-0.6653373290219671,2.9757458760169193,0.0008218103518372997,1.0,0.0,-0.01800958824551213,0.1675057977646548,0.00018545923128752625,0.0014861018450983072
mlp,energy_bin,q3,1246,-1.5247009476397437,4.11374688931819,0.013226108233824321,1.0,0.0,0.008302858523373743,0.22190995171997768,0.0046686188540906535,0.02055692179885972
phase_gate_transformer_new,energy_bin,q3,1246,3.182516986847469,6.3181157150300695,0.23535331145854937,0.9382657980762446,0.06173420192375545,0.13762945460685216,0.25206841701339555,0.02522551210314813,0.05743702810793163
ridge,energy_bin,q3,1246,-1.0876595707827494,3.8213364474884726,0.028109756617423837,0.9999911808282966,8.81917170336699e-06,0.054262434057357395,0.22739545401875197,0.0008029253293764292,0.0017146238786541778
