method,run,n,timing_bias_ns,timing_sigma68_ns,saturation_mae,pileup_auc,pileup_one_minus_auc,energy_bias,energy_sigma68,pid_shift_bias,pid_shift_sigma68
1d_cnn,42,567,-2.176772478847882,8.664052345009022,0.25454052064523636,0.9690626481375215,0.03093735186247848,0.09573659920610744,0.41789589128029464,-0.0019533052847220287,0.1029226457881593
1d_cnn,50,590,-4.770605122494869,8.08315042586388,0.25727931890025457,0.9820472185913082,0.01795278140869183,-0.016116188887336236,0.34626748023209675,0.020821789545276373,0.09552738671882209
1d_cnn,57,580,-2.2921244641388556,9.329573253299026,0.2584419157386526,0.9730233002291826,0.026976699770817403,0.05780927028623761,0.37707363140023087,-0.013249163815041248,0.10700886940161969
1d_cnn,58,564,-5.408268915903756,9.026868397398202,0.2388421805068577,0.9661630649582458,0.033836935041754224,0.045156687979914345,0.35458875855232574,0.012111602385928502,0.09637237012567902
1d_cnn,60,600,-0.6453093378937265,7.176194952626362,0.250184663557301,0.9103834904127398,0.0896165095872602,-0.022559620780775447,0.25488489255017144,-0.006337801812501569,0.09797144154778653
1d_cnn,62,600,-2.5729106228967265,6.373760747593277,0.2538770660960066,0.9222149793202661,0.07778502067973392,0.07649233167311298,0.25501618265491593,-0.036179773196207674,0.09451877825464204
1d_cnn,64,600,-2.532962634821148,5.957810401070748,0.2708728009740171,0.9221861664295874,0.0778138335704126,0.16037405934161342,0.2891325362864422,-0.04928913737193326,0.09385967404668627
1d_cnn,65,555,-1.6895530228157334,7.640523457805029,0.27187836534652293,0.9450041653649901,0.0549958346350099,0.1670243934851836,0.3566665129809699,-0.049952344969666024,0.09951187531536031
compact_waveform_transformer,42,567,-1.3576713645807068,9.40556465098814,0.2652739517841543,0.9639854295052519,0.0360145704947481,0.12031420993758424,0.4535714936280907,0.01131839928359758,0.15445192450555953
compact_waveform_transformer,50,590,-2.8946774801491504,10.898759890275258,0.27619707702465185,0.979236312739303,0.020763687260696995,-0.012826789732984345,0.39221135412497055,0.028342532839154187,0.12253398997735179
compact_waveform_transformer,57,580,-1.8138990941115196,9.203192555310872,0.26422660887215793,0.9688216195569137,0.031178380443086295,0.06435369883907072,0.4430115496328304,0.001572120175213962,0.1609380018658226
