method,run,n,positives,roc_auc,average_precision
ML_gradient_boosted_trees,42,1124,301,0.9999999999999999,1.0
ML_gradient_boosted_trees,50,1170,350,1.0,1.0000000000000002
ML_gradient_boosted_trees,57,1103,308,1.0,1.0
ML_gradient_boosted_trees,58,1099,282,0.9999999999999999,0.9999999999999999
ML_gradient_boosted_trees,60,1400,184,0.9999999999999999,1.0
ML_gradient_boosted_trees,62,1400,209,1.0,1.0
ML_gradient_boosted_trees,64,1321,216,0.9999874308697837,0.9999365804160324
ML_gradient_boosted_trees,65,1128,227,1.0,1.0
ML_mlp,42,1124,301,0.9993137496316451,0.9987746971288642
ML_mlp,50,1170,350,0.9999512195121951,0.9998846133693974
ML_mlp,57,1103,308,0.9998938168749489,0.9997316009239929
ML_mlp,58,1099,282,0.9999131921838242,0.9997539800778524
ML_mlp,60,1400,184,0.99861448798627,0.9947728806849105
ML_mlp,62,1400,209,0.9997710098465766,0.9987360878342173
ML_mlp,64,1321,216,0.9992835595776772,0.997182259121557
ML_mlp,65,1128,227,0.999907102729713,0.9996345717562121
ML_ridge_classifier,42,1124,301,0.9925440915861667,0.9665548169232969
ML_ridge_classifier,50,1170,350,0.9981114982578397,0.9924086802309671
ML_ridge_classifier,57,1103,308,0.9951727517765254,0.9766000064104865
ML_ridge_classifier,58,1099,282,0.9988063925275832,0.99672090088773
ML_ridge_classifier,60,1400,184,0.9872488200800915,0.9112143120371321
ML_ridge_classifier,62,1400,209,0.9919250840634904,0.9303715124855799
ML_ridge_classifier,64,1321,216,0.9869071560248031,0.8985121080735862
ML_ridge_classifier,65,1128,227,0.9955996029864027,0.9709973138608009
NN_1d_cnn,42,1124,301,0.9764212446966976,0.9424395118160052
NN_1d_cnn,50,1170,350,0.9864808362369337,0.9660931661369795
NN_1d_cnn,57,1103,308,0.9819897084048027,0.954319030757444
NN_1d_cnn,58,1099,282,0.9786496176115697,0.9601892267463665
NN_1d_cnn,60,1400,184,0.973943435354691,0.8646368837847059
NN_1d_cnn,62,1400,209,0.9580948019235173,0.8739347320707997
NN_1d_cnn,64,1321,216,0.9532386458857047,0.8473795185789669
NN_1d_cnn,65,1128,227,0.9789661022750052,0.9259460871208367
NN_residual_squeeze_cnn_new,42,1124,301,0.9859197571481049,0.9650209943722627
NN_residual_squeeze_cnn_new,50,1170,350,0.9952090592334494,0.9855935051928688
NN_residual_squeeze_cnn_new,57,1103,308,0.9900228702115494,0.9768434171576091
NN_residual_squeeze_cnn_new,58,1099,282,0.9857331354115125,0.9826905031439813
NN_residual_squeeze_cnn_new,60,1400,184,0.9805268521167049,0.9092859107678215
NN_residual_squeeze_cnn_new,62,1400,209,0.9687569048565999,0.906231301402757
NN_residual_squeeze_cnn_new,64,1321,216,0.9766842634489693,0.9063232262735027
NN_residual_squeeze_cnn_new,65,1128,227,0.9845008238521076,0.9536693439869554
traditional_fisher_gatti_all_features,42,1124,301,0.9937187907461156,0.9823368547292799
traditional_fisher_gatti_all_features,50,1170,350,0.9985156794425087,0.9960296564895095
traditional_fisher_gatti_all_features,57,1103,308,0.9967042391570694,0.9916680580384221
traditional_fisher_gatti_all_features,58,1099,282,0.9987629886194953,0.9968130301617478
traditional_fisher_gatti_all_features,60,1400,184,0.9891080878146453,0.9416989499839056
traditional_fisher_gatti_all_features,62,1400,209,0.9933472334373833,0.9553040072647738
traditional_fisher_gatti_all_features,64,1321,216,0.9883232780291603,0.9383906246631398
traditional_fisher_gatti_all_features,65,1128,227,0.9972326392114489,0.9888692610896699
traditional_gatti_waveform,42,1124,301,0.9886768689221429,0.965803532929641
traditional_gatti_waveform,50,1170,350,0.9943240418118466,0.9837990670917078
traditional_gatti_waveform,57,1103,308,0.9932982112227395,0.9862876714259791
traditional_gatti_waveform,58,1099,282,0.9939538356033577,0.9872485042974405
traditional_gatti_waveform,60,1400,184,0.9919193363844394,0.9404551566020787
traditional_gatti_waveform,62,1400,209,0.9890406116045782,0.9408507774830704
traditional_gatti_waveform,64,1321,216,0.9889014580191051,0.9347965831537588
traditional_gatti_waveform,65,1128,227,0.9943626024925805,0.9742829603972119
traditional_scalar__area_over_peak,42,1124,301,0.9735511034502246,0.936523351638868
traditional_scalar__area_over_peak,50,1170,350,0.9813763066202091,0.9542430726919731
traditional_scalar__area_over_peak,57,1103,308,0.9764763538348444,0.9427046029465265
traditional_scalar__area_over_peak,58,1099,282,0.9730027691693359,0.9488495901629149
traditional_scalar__area_over_peak,60,1400,184,0.9703634510869565,0.8596464144720539
traditional_scalar__area_over_peak,62,1400,209,0.954792522868885,0.8627883172065474
traditional_scalar__area_over_peak,64,1321,216,0.9580232947880006,0.8478255885019125
traditional_scalar__area_over_peak,65,1128,227,0.9749617409926317,0.9146025191523438
traditional_scalar__cf_ratio_s6_s8,42,1124,301,0.6674269244276874,0.6635887414836728
traditional_scalar__cf_ratio_s6_s8,50,1170,350,0.7133101045296169,0.7279513962879304
traditional_scalar__cf_ratio_s6_s8,57,1103,308,0.6822245364698195,0.6950573221431473
traditional_scalar__cf_ratio_s6_s8,58,1099,282,0.6568855959790618,0.657390913921017
traditional_scalar__cf_ratio_s6_s8,60,1400,184,0.44209677131006864,0.38923995988484233
traditional_scalar__cf_ratio_s6_s8,62,1400,209,0.3947388507908195,0.36621958338227445
traditional_scalar__cf_ratio_s6_s8,64,1321,216,0.48621794871794877,0.4343426324557938
traditional_scalar__cf_ratio_s6_s8,65,1128,227,0.5898121030475194,0.5834257460727607
traditional_scalar__cfd20_time,42,1124,301,0.7473246327551337,0.794394138879333
traditional_scalar__cfd20_time,50,1170,350,0.8398954703832753,0.8775364825325279
traditional_scalar__cfd20_time,57,1103,308,0.7353834844400884,0.7920706173537454
traditional_scalar__cfd20_time,58,1099,282,0.7962490342630449,0.83604083621977
traditional_scalar__cfd20_time,60,1400,184,0.4700371853546911,0.5094375617729906
traditional_scalar__cfd20_time,62,1400,209,0.3967314668627144,0.4464380354209896
traditional_scalar__cfd20_time,64,1321,216,0.5906443774090833,0.6289309744774713
traditional_scalar__cfd20_time,65,1128,227,0.69835278471791,0.7459877621483462
traditional_scalar__cfd50_time,42,1124,301,0.7465273712977804,0.7961132990002767
traditional_scalar__cfd50_time,50,1170,350,0.8410871080139373,0.8795094110257458
traditional_scalar__cfd50_time,57,1103,308,0.7356285224209753,0.7929176613863542
traditional_scalar__cfd50_time,58,1099,282,0.8004592133475699,0.8410198677152131
traditional_scalar__cfd50_time,60,1400,184,0.47505184496567504,0.5159229695137039
traditional_scalar__cfd50_time,62,1400,209,0.39604047903133144,0.44688475991219945
traditional_scalar__cfd50_time,64,1321,216,0.5940715602480308,0.6387227319722297
traditional_scalar__cfd50_time,65,1128,227,0.6998831450126388,0.7496061399720074
traditional_scalar__early_0_4_over_total,42,1124,301,0.5709280123363596,0.318204467478984
traditional_scalar__early_0_4_over_total,50,1170,350,0.6871759581881534,0.44975714678232465
traditional_scalar__early_0_4_over_total,57,1103,308,0.5638078902229845,0.33540862561277074
traditional_scalar__early_0_4_over_total,58,1099,282,0.5124916447476932,0.27001427240906056
traditional_scalar__early_0_4_over_total,60,1400,184,0.29086366561784893,0.09032811924609618
traditional_scalar__early_0_4_over_total,62,1400,209,0.24119492686375887,0.09571326609482714
traditional_scalar__early_0_4_over_total,64,1321,216,0.3832181163063516,0.13802566800188543
traditional_scalar__early_0_4_over_total,65,1128,227,0.4290827127958656,0.1820202063261215
traditional_scalar__fft_high_over_low,42,1124,301,0.8470590134949116,0.7781318777185103
traditional_scalar__fft_high_over_low,50,1170,350,0.8390522648083624,0.7795279207752263
traditional_scalar__fft_high_over_low,57,1103,308,0.8698031528220207,0.8193951498264973
traditional_scalar__fft_high_over_low,58,1099,282,0.8625702058213323,0.7793389031336804
traditional_scalar__fft_high_over_low,60,1400,184,0.7359526959382151,0.4964510481848434
traditional_scalar__fft_high_over_low,62,1400,209,0.6926751272502301,0.4682392965969386
traditional_scalar__fft_high_over_low,64,1321,216,0.8116515837104072,0.6356608492662299
traditional_scalar__fft_high_over_low,65,1128,227,0.8524400201440396,0.75520766888442
traditional_scalar__fft_k1_fraction,42,1124,301,0.8264795759780077,0.7215290830551783
traditional_scalar__fft_k1_fraction,50,1170,350,0.7609337979094077,0.6578173365738849
traditional_scalar__fft_k1_fraction,57,1103,308,0.8590133137302949,0.780074879982452
traditional_scalar__fft_k1_fraction,58,1099,282,0.8713421356458936,0.7734695869654771
traditional_scalar__fft_k1_fraction,60,1400,184,0.8035701516018307,0.516896134879301
traditional_scalar__fft_k1_fraction,62,1400,209,0.7820857387342871,0.5200983166043326
traditional_scalar__fft_k1_fraction,64,1321,216,0.863960113960114,0.6675639582828878
traditional_scalar__fft_k1_fraction,65,1128,227,0.8893446830980751,0.7644133258490217
traditional_scalar__fft_k2_fraction,42,1124,301,0.5130044444803268,0.2655423222496617
traditional_scalar__fft_k2_fraction,50,1170,350,0.4853693379790941,0.27563500067426466
traditional_scalar__fft_k2_fraction,57,1103,308,0.5767254757820796,0.32277094040967824
traditional_scalar__fft_k2_fraction,58,1099,282,0.6494179535925415,0.3704193206030985
traditional_scalar__fft_k2_fraction,60,1400,184,0.6256614702517164,0.20909723836321803
traditional_scalar__fft_k2_fraction,62,1400,209,0.6345638541051507,0.26919241769035746
traditional_scalar__fft_k2_fraction,64,1321,216,0.6231732864085806,0.2709797124980464
traditional_scalar__fft_k2_fraction,65,1128,227,0.6120267739711627,0.3209861088017655
traditional_scalar__final_sample,42,1124,301,0.7718742304913149,0.797662441773916
traditional_scalar__final_sample,50,1170,350,0.8490731707317074,0.8721763122157136
traditional_scalar__final_sample,57,1103,308,0.7492730539900352,0.7927261479758418
traditional_scalar__final_sample,58,1099,282,0.8049428370530483,0.8277348094847709
traditional_scalar__final_sample,60,1400,184,0.47951676916475966,0.48639294570481795
traditional_scalar__final_sample,62,1400,209,0.4055897701661987,0.43574616072040556
traditional_scalar__final_sample,64,1321,216,0.6064228255404727,0.6382921319070127
traditional_scalar__final_sample,65,1128,227,0.6994577733013245,0.7400649105956346
traditional_scalar__haar_l0_d00,42,1124,301,0.5539554260201919,0.4391229880923695
traditional_scalar__haar_l0_d00,50,1170,350,0.5050243902439024,0.3903366948107881
traditional_scalar__haar_l0_d00,57,1103,308,0.5120844564240791,0.4184844970254309
traditional_scalar__haar_l0_d00,58,1099,282,0.5173268401086834,0.37190236782268427
traditional_scalar__haar_l0_d00,60,1400,184,0.7235747103832951,0.5545652881538392
traditional_scalar__haar_l0_d00,62,1400,209,0.7349057323868406,0.5901410950943535
traditional_scalar__haar_l0_d00,64,1321,216,0.6305995475113122,0.43103851069558025
traditional_scalar__haar_l0_d00,65,1128,227,0.589227828110714,0.4201982044473181
traditional_scalar__haar_l0_d01,42,1124,301,0.6047399716618965,0.3899171393886295
traditional_scalar__haar_l0_d01,50,1170,350,0.6495940766550523,0.4570969485294998
traditional_scalar__haar_l0_d01,57,1103,308,0.6331618067467124,0.45905391532826756
traditional_scalar__haar_l0_d01,58,1099,282,0.584746130541594,0.4086705092514106
traditional_scalar__haar_l0_d01,60,1400,184,0.4236448798627003,0.1829472725272968
traditional_scalar__haar_l0_d01,62,1400,209,0.36811171505590173,0.20279780061693242
traditional_scalar__haar_l0_d01,64,1321,216,0.45088193397016924,0.202720664569431
traditional_scalar__haar_l0_d01,65,1128,227,0.5021830858517458,0.260214864955023
