method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_fisher_gatti_all_features,9745,2077,0.9949637194410602,0.9923579506643366,0.9971993412470331,0.9803957887941274,traditional_multivariate,fisher_gatti_engineered_features
traditional_gatti_waveform,9745,2077,0.9917533966795835,0.9901690181134308,0.9931238081645464,0.9683218516544622,traditional_multivariate,current_integration_gatti
traditional_scalar__matched_template_delta_chi2,9745,2077,0.9908795665269994,0.9890630063962162,0.9925322043005218,0.9654045695891997,traditional_scalar,matched_filter_template_chi2
traditional_scalar__matched_template_nominal_chi2,9745,2077,0.9883768722644539,0.9867038791558881,0.9906262671073042,0.9393400354038719,traditional_scalar,matched_filter_template_chi2
traditional_scalar__area_over_peak,9745,2077,0.9697190570445263,0.963745906009673,0.974837326122043,0.9074760421909025,traditional_scalar,traditional_scalar
traditional_scalar__positive_area,9745,2077,0.9688648483565313,0.960261216636635,0.9753820133931342,0.9366978887134603,traditional_scalar,traditional_scalar
traditional_scalar__width20,9745,2077,0.9505064723834007,0.9377897344483502,0.9619087026424427,0.9107593983817494,traditional_scalar,rise_time_width
traditional_scalar__time_variance,9745,2077,0.9250596618100873,0.9082580637287248,0.9382940752928831,0.903593506152472,traditional_scalar,mean_time_moments
traditional_scalar__width50,9745,2077,0.9219360188305781,0.9073221887570109,0.9326822273064265,0.8208934547999848,traditional_scalar,rise_time_width
traditional_scalar__haar_l0_d02,9745,2077,0.8940624883056071,0.8848295016177969,0.9084377399341749,0.6589053274300016,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d01,9745,2077,0.8930533485332184,0.8868283337261792,0.9006506970698739,0.6064122314395697,traditional_scalar,wavelet_haar
traditional_scalar__middle_5_9_over_total,9745,2077,0.8592973971075513,0.786525755371419,0.9116902314479026,0.8296318492968477,traditional_scalar,charge_comparison_psd
traditional_scalar__time_skewness,9745,2077,0.8454087907677524,0.8045763538786794,0.8748805552161546,0.8103253337796301,traditional_scalar,mean_time_moments
traditional_scalar__fft_k1_fraction,9745,2077,0.8429911123869772,0.8149865005184233,0.8652045619405901,0.6844618500932418,traditional_scalar,frequency_domain_fft
traditional_scalar__fft_high_over_low,9745,2077,0.8275274518417051,0.779043732005786,0.8560991755585761,0.7143937783242089,traditional_scalar,frequency_domain_fft
traditional_scalar__haar_l0_d06,9745,2077,0.8198604508880706,0.7806690264505068,0.8509503361000985,0.7177059584290082,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d03,9745,2077,0.8132070163092358,0.776710436231294,0.840505205055286,0.7213900624429329,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d00,9745,2077,0.8112395328119864,0.722308330269868,0.8752991148928343,0.7275518500427544,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d01,9745,2077,0.7499487644316656,0.6608556488606299,0.8207408287838788,0.7245443921418852,traditional_scalar,wavelet_haar
traditional_scalar__time_kurtosis,9745,2077,0.7426500191254339,0.6597425310586662,0.8076703944484829,0.7080600261087766,traditional_scalar,mean_time_moments
traditional_scalar__haar_l0_d07,9745,2077,0.7233831536446698,0.6890178129868553,0.7552947220982411,0.5923995701569644,traditional_scalar,wavelet_haar
traditional_scalar__haar_l3_d00,9745,2077,0.7115357761146311,0.6557207118978812,0.7657523551485285,0.5073968335398067,traditional_scalar,wavelet_haar
traditional_scalar__tail_14_17_over_total,9745,2077,0.708337069260191,0.6092696300300651,0.7921607154674669,0.7511002920470837,traditional_scalar,charge_comparison_psd
traditional_scalar__haar_l0_d03,9745,2077,0.7072789229178454,0.6161675361490313,0.7774766461620041,0.33698378315264865,traditional_scalar,wavelet_haar
traditional_scalar__tail_12_17_over_total,9745,2077,0.7036988375804857,0.5997425536437515,0.7832722154306272,0.7481049834666247,traditional_scalar,charge_comparison_psd
traditional_scalar__final_sample,9745,2077,0.69969213451145,0.5751952886984386,0.7780172106087822,0.7298257217123065,traditional_scalar,traditional_scalar
traditional_scalar__mean_time,9745,2077,0.6975817439633073,0.5866986202018606,0.7783474097308648,0.740026330382647,traditional_scalar,mean_time_moments
traditional_scalar__tail_10_17_over_total,9745,2077,0.6968147173667731,0.5940688733626185,0.776939047937143,0.7372527888630038,traditional_scalar,charge_comparison_psd
traditional_scalar__peak_sample,9745,2077,0.6949374612122888,0.5794467223478718,0.7705591177192195,0.7481143451582686,traditional_scalar,traditional_scalar
traditional_scalar__late_minus_early_asym,9745,2077,0.6915693504811748,0.578998833710698,0.7692179999410156,0.7315738729815652,traditional_scalar,charge_comparison_psd
traditional_scalar__cfd50_time,9745,2077,0.6870719852200455,0.5713390059976419,0.7708077000283131,0.7362376484693927,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__cfd20_time,9745,2077,0.6853556564695327,0.5660924766967688,0.7651587711206616,0.7329260650574555,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__zero_crossings_derivative,9745,2077,0.6846743364303225,0.6145514140099587,0.7321640223013358,0.4733089904387044,traditional_scalar,zero_crossing_derivative
traditional_scalar__haar_l0_d05,9745,2077,0.6825012827728689,0.5785454891941608,0.7532057473784903,0.48239985249586687,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d02,9745,2077,0.6444390634539956,0.5705398889175188,0.6868988974577311,0.353230528655237,traditional_scalar,wavelet_haar
traditional_scalar__max_fall_step,9745,2077,0.634116446391396,0.5306090032566368,0.7006089901872398,0.6417299227339864,traditional_scalar,zero_crossing_derivative
traditional_scalar__rise_20_80,9745,2077,0.6255597297474463,0.5642662304269962,0.694842579579983,0.4709569205630107,traditional_scalar,rise_time_width
traditional_scalar__rise_10_50,9745,2077,0.6178980344378365,0.5478585145339654,0.6896929726338039,0.4775883524445237,traditional_scalar,rise_time_width
traditional_scalar__max_rise_step,9745,2077,0.6104174844893108,0.548084591045036,0.6766876942968527,0.484804904157585,traditional_scalar,zero_crossing_derivative
traditional_scalar__fft_k2_fraction,9745,2077,0.6021835016949179,0.5621988532916457,0.6314311777343418,0.275743121710249,traditional_scalar,frequency_domain_fft
traditional_scalar__cf_ratio_s6_s8,9745,2077,0.6000601766773181,0.523816650629302,0.6634837995398051,0.5836368514025553,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d00,9745,2077,0.5781382915801125,0.5318505161701311,0.6421383618664523,0.4236492771524859,traditional_scalar,wavelet_haar
