run,event_index,stave,stave_index,amplitude_adc,z0,z1,z2,z3
31,0,B2,0,7858.5,0.09900203,-0.3353692,-0.016807407,-0.5510911
31,1,B2,0,5667.5,0.1360071,-0.40494606,-0.013886243,-0.7715663
31,2,B2,0,4843.0,-0.030839935,-0.41789502,-0.015308678,-0.8279566
31,4,B2,0,4226.0,-0.19742042,-0.44856974,0.06961791,-0.9664084
31,5,B2,0,8382.0,0.09075014,-0.33103856,-0.00038789213,-0.5349796
31,8,B2,0,1315.0,-2.211647,3.0310178,3.2873678,1.6700222
31,10,B2,0,7556.0,0.060533926,-0.3352739,-0.010813534,-0.5622405
31,12,B2,0,7100.0,-0.03330768,-0.33948454,0.0051040202,-0.5817016
31,13,B2,0,5000.5,0.09206304,-0.41319937,-0.008119285,-0.85557884
31,14,B2,0,8608.0,0.0026323348,-0.31901106,0.029099718,-0.5433253
31,15,B2,0,4782.0,-0.004078746,-0.42086303,-0.017852575,-0.84042054
31,16,B2,0,4299.0,-0.12483407,-0.44559127,0.030025735,-0.95923865
31,17,B2,0,8246.5,0.067713544,-0.3278346,0.0030995756,-0.5402718
31,18,B2,0,5993.0,0.14805183,-0.39825734,-0.020980984,-0.7260292
31,19,B2,0,2261.0,-0.276518,0.041742764,-0.6015169,-0.20683236
31,19,B4,1,1965.5,-0.2591217,0.03150507,-0.63416207,-0.20591944
31,21,B2,0,8870.0,0.18869647,-0.3489254,0.004227206,-0.534061
31,22,B8,3,1812.0,-0.12742598,-0.3923314,0.31786048,-1.0491233
31,23,B2,0,7831.0,-0.06281017,-0.32828635,0.038630992,-0.5797085
31,27,B2,0,4005.0,-0.030080482,-0.40046406,0.13094455,-0.895258
