ledger,stratum,support_axis,method,source_method,n,primary_metric,metric_ci_low,metric_ci_high,secondary_metric,secondary_ci_low,secondary_ci_high,secondary_name
pid_calibration,all_pre_action,calibration_ece,traditional_joint,traditional_charge_depth_logistic,19424,1.0,1.0,1.0,0.0001500695285046,0.0001443406530573,0.0001574048480805,pid_ece
energy_strata,adc_saturation_onset,saturation,traditional_joint,geant4_birks_lookup,106217,0.0484975857724767,0.04744534451871076,0.05114720164608243,-0.0404028613830016,-0.042046848781654364,-0.039596318937576036,bias_frac
energy_strata,pileup_or_multihit,pileup,traditional_joint,geant4_birks_lookup,27765,0.1259451554158297,0.1095536528163852,0.14222525774097294,-0.0194332312311095,-0.023165725535820362,-0.017357716617996594,bias_frac
energy_strata,pedestal_drift_proxy_high,baseline,traditional_joint,geant4_birks_lookup,166426,0.0332155477031802,0.03250552055848135,0.03443589382330298,-0.0232582648913174,-0.0248033497084547,-0.02167187106494793,bias_frac
energy_strata,late_pulse_shape,late_shape_or_stave_depth,traditional_joint,geant4_birks_lookup,15256,0.1166683814900125,0.1032258569598724,0.1314933072410294,-0.0170259586431105,-0.01962617071437729,-0.015245344773545798,bias_frac
pid_calibration,all_pre_action,calibration_ece,ridge,ML_ridge_waveform,19424,0.8513208514780879,0.8447716046752325,0.8621867257244059,0.031782305607993,0.0196914286515503,0.0572450433698484,pid_ece
energy_strata,adc_saturation_onset,saturation,ridge,ridge,106217,0.0549548576044372,0.052796272830628765,0.05926999972738509,-0.0256779618643125,-0.030184295718935,-0.01555284991348752,bias_frac
energy_strata,pileup_or_multihit,pileup,ridge,ridge,27765,0.209767852608789,0.20201715989991112,0.22389925522675086,-0.0351371621211483,-0.03936876060604339,-0.030638391942473392,bias_frac
energy_strata,pedestal_drift_proxy_high,baseline,ridge,ridge,166426,0.0958189025472328,0.09191884803046195,0.10410054645908932,-0.0394001519071795,-0.05033570123405246,-0.012708502343790735,bias_frac
energy_strata,late_pulse_shape,late_shape_or_stave_depth,ridge,ridge,15256,0.2189527439440625,0.2079532273959501,0.22728838165844087,-0.0618741111211354,-0.06629654441187906,-0.05785165993261102,bias_frac
pid_calibration,all_pre_action,calibration_ece,gradient_boosted_trees,ML_gradient_boosted_trees,19424,0.9280095148429632,0.9216148500739324,0.9352319618943888,0.0340176058994234,0.0247320205541638,0.050619263883892,pid_ece
energy_strata,adc_saturation_onset,saturation,gradient_boosted_trees,gradient_boosted_trees,106217,0.0562142558279182,0.0517199705719396,0.06268440375730644,-0.0379177478664259,-0.04095827129249905,-0.035404802267653884,bias_frac
energy_strata,pileup_or_multihit,pileup,gradient_boosted_trees,gradient_boosted_trees,27765,0.1887549968353803,0.1829821630055783,0.1980035710348969,-0.1266767286089413,-0.13777600471105897,-0.11758982625313047,bias_frac
energy_strata,pedestal_drift_proxy_high,baseline,gradient_boosted_trees,gradient_boosted_trees,166426,0.0348711595059882,0.028877817056026156,0.04781885728491325,-0.0112912017780001,-0.013936069670823913,-0.00815142819040338,bias_frac
energy_strata,late_pulse_shape,late_shape_or_stave_depth,gradient_boosted_trees,gradient_boosted_trees,15256,0.2194454229827088,0.20667145861825814,0.23512275386847895,-0.1508202227446395,-0.16219309022276995,-0.13590761134656448,bias_frac
pid_calibration,all_pre_action,calibration_ece,mlp,ML_mlp,19424,0.947092374470415,0.9407200210085076,0.9540671179653102,0.0131415734283209,0.0094019423693854,0.025260265796742,pid_ece
energy_strata,adc_saturation_onset,saturation,mlp,mlp,106217,0.5733302281479044,0.570494263691369,0.5755893637596577,-0.556395911850019,-0.5593084577289482,-0.5524854957141794,bias_frac
energy_strata,pileup_or_multihit,pileup,mlp,mlp,27765,0.6468329852809045,0.589392803644973,0.7673809515499316,-0.2409398889180828,-0.3368141897185986,-0.1992198157066367,bias_frac
energy_strata,pedestal_drift_proxy_high,baseline,mlp,mlp,166426,0.7173325775476099,0.7112696657418622,0.7230460370229627,-0.6822187611577146,-0.6947216260341251,-0.6616062492746808,bias_frac
energy_strata,late_pulse_shape,late_shape_or_stave_depth,mlp,mlp,15256,0.6502706175081052,0.5910522253305983,0.706987526627553,-0.0456019488674099,-0.22470922472417124,0.03729746112654598,bias_frac
pid_calibration,all_pre_action,calibration_ece,1d_cnn,NN_1d_cnn,19424,0.7267674024254375,0.7075822917850639,0.7484302388622134,0.1408650865120494,0.1216456313219517,0.1579793344724266,pid_ece
energy_strata,adc_saturation_onset,saturation,1d_cnn,1d_cnn,106217,0.1897611439072851,0.1809644808514061,0.19880711123036537,-0.1604770128474776,-0.16590123489801376,-0.1509249750826521,bias_frac
energy_strata,pileup_or_multihit,pileup,1d_cnn,1d_cnn,27765,0.4268211403127335,0.422897693841899,0.43316400606341016,0.0168557359076331,-0.10572977704805499,0.07174382066593057,bias_frac
energy_strata,pedestal_drift_proxy_high,baseline,1d_cnn,1d_cnn,166426,0.2737757520788408,0.26298178997286864,0.28614125304740706,-0.2060958155164708,-0.2162502377865869,-0.1891002892371267,bias_frac
energy_strata,late_pulse_shape,late_shape_or_stave_depth,1d_cnn,1d_cnn,15256,0.5186626333142256,0.4931733600526049,0.5514586392306028,0.2917908205854982,0.22447979701852694,0.32478666314911325,bias_frac
pid_calibration,all_pre_action,calibration_ece,compact_sequence_residual,NN_action_gated_residual_ensemble_new,19424,1.0,1.0,1.0,0.0018029465458181,0.0018029258029239,0.0018029642233853,pid_ece
energy_strata,adc_saturation_onset,saturation,compact_sequence_residual,physics_residual_mlp,106217,0.0387697764284218,0.03588506844063465,0.04471386133503352,-0.0127566558068103,-0.017291124016397773,-0.006481693188012452,bias_frac
energy_strata,pileup_or_multihit,pileup,compact_sequence_residual,physics_residual_mlp,27765,0.1814972322354478,0.17433938034051139,0.18523250083387616,-0.0816688707725068,-0.09523960608294,-0.05566452117404068,bias_frac
energy_strata,pedestal_drift_proxy_high,baseline,compact_sequence_residual,physics_residual_mlp,166426,0.0622024588317416,0.048004258577585286,0.08583672615163856,-0.0210706445105919,-0.025550899334769336,-0.011431777040745699,bias_frac
energy_strata,late_pulse_shape,late_shape_or_stave_depth,compact_sequence_residual,physics_residual_mlp,15256,0.1909285877964394,0.18104163734693327,0.1972579987003855,-0.075141520989042,-0.08352313116818637,-0.05864691541303765,bias_frac
