heldout_run,method,pred_bin,n,pred_mean_ns,target_mean_ns,abs_error_median_ns
42,traditional hand-shape ridge,0,1567,-5.3958397,-5.3637577005938635,1.2892655555009895
42,traditional hand-shape ridge,1,1567,-4.4890246,-3.9948685255396015,1.1263245817422955
42,traditional hand-shape ridge,2,1566,-4.032317,-4.0600923370891,1.1390219260938501
42,traditional hand-shape ridge,3,1567,-0.80263805,-1.3801651085631403,0.9820569950938278
42,traditional hand-shape ridge,4,1566,1.3740085,1.4031436238593993,0.8164152082204765
42,traditional hand-shape ridge,5,1567,1.8853551,1.96786709188129,0.7916550487279892
42,traditional hand-shape ridge,6,1566,2.257871,2.4248835701577325,0.7959236489534405
42,traditional hand-shape ridge,7,1567,2.5933585,2.6575044968465837,0.900460573673243
42,traditional hand-shape ridge,8,1566,2.8773417,3.093086947226356,0.9373872634023428
42,traditional hand-shape ridge,9,1567,3.7334893,3.254223737477499,1.4270053803920746
42,ML AE latent ridge,0,1567,-5.3324966,-5.432188666293139,1.217562737703318
42,ML AE latent ridge,1,1567,-4.5023775,-3.9371654099854583,1.2257698226571137
42,ML AE latent ridge,2,1566,-3.9887114,-3.9615885458783904,1.2173553481698036
42,ML AE latent ridge,3,1567,-0.87198097,-1.2788967636156485,1.029195037841788
42,ML AE latent ridge,4,1566,1.3745854,1.3655583200382435,0.9045459790229771
42,ML AE latent ridge,5,1567,1.8699807,1.927847736790416,0.8731121122837067
42,ML AE latent ridge,6,1566,2.2606297,2.282905529623619,0.8332871483564404
42,ML AE latent ridge,7,1567,2.6399016,2.6386669802795435,0.8723259568214417
42,ML AE latent ridge,8,1566,3.0162883,2.985361868582638,0.831154078245163
42,ML AE latent ridge,9,1567,3.5358858,3.4112042709255497,1.1337070789337105
57,traditional hand-shape ridge,0,1568,-5.3891563,-5.355886837444402,1.2929989099502563
57,traditional hand-shape ridge,1,1568,-4.4898787,-4.014132175481836,1.128139314413069
57,traditional hand-shape ridge,2,1568,-4.0355487,-4.0491079896776085,1.1192064982056564
57,traditional hand-shape ridge,3,1567,-0.80161524,-1.3803324200819298,0.982627359390257
57,traditional hand-shape ridge,4,1568,1.3774264,1.3982060286636795,0.8168552629649639
57,traditional hand-shape ridge,5,1568,1.8882569,1.9696283915032533,0.7971369698643684
57,traditional hand-shape ridge,6,1567,2.260303,2.439120471995097,0.7899059057235718
57,traditional hand-shape ridge,7,1568,2.5927973,2.6476531471884908,0.8982913681231466
57,traditional hand-shape ridge,8,1568,2.8742423,3.1029570805049054,0.9351477976888418
57,traditional hand-shape ridge,9,1568,3.724129,3.242569550312444,1.4410568986237138
57,ML AE latent ridge,0,1568,-5.527392,-5.172661443771216,1.6009966656565702
57,ML AE latent ridge,1,1568,-4.466868,-4.39949066107026,1.0084253352284414
57,ML AE latent ridge,2,1568,-3.9383101,-4.286037300316331,1.1372135829329437
57,ML AE latent ridge,3,1567,-1.2109352,-0.9151612864675674,1.1568848218917864
57,ML AE latent ridge,4,1568,1.2883645,1.1826958041757596,0.7868187664151165
57,ML AE latent ridge,5,1568,1.971552,1.8934002362834765,0.7441961909644306
57,ML AE latent ridge,6,1567,2.4042435,2.6312446163456396,0.8055756762623787
57,ML AE latent ridge,7,1568,2.707838,2.798803581997363,0.7717764358967543
57,ML AE latent ridge,8,1568,3.0484416,2.8766230758775104,0.885136061727998
57,ML AE latent ridge,9,1568,3.723808,3.391677817844787,1.5515792507827229
64,traditional hand-shape ridge,0,1524,-5.389615,-5.392318741548544,1.2933892037868446
64,traditional hand-shape ridge,1,1524,-4.4686437,-4.002039717323657,1.1432192969918304
64,traditional hand-shape ridge,2,1524,-4.0065503,-4.030742964769313,1.1318628292679733
64,traditional hand-shape ridge,3,1524,-0.80456555,-1.3115274824024983,0.983339323833583
64,traditional hand-shape ridge,4,1524,1.3593283,1.4088273105289266,0.8208301242589897
64,traditional hand-shape ridge,5,1524,1.8711715,1.9349234173212717,0.8165327893495586
64,traditional hand-shape ridge,6,1524,2.2498083,2.4522368505766425,0.7660001516342163
64,traditional hand-shape ridge,7,1524,2.58774,2.651175745617444,0.9084143737256554
64,traditional hand-shape ridge,8,1524,2.878378,3.0141287850778484,0.921485293105242
64,traditional hand-shape ridge,9,1524,3.7229996,3.2753367969218856,1.4317439682781767
64,ML AE latent ridge,0,1524,-5.418234,-5.019635572739221,1.325638122856617
64,ML AE latent ridge,1,1524,-4.5488935,-4.35207126460195,1.0355261687040311
64,ML AE latent ridge,2,1524,-3.9644377,-4.421900739099345,1.0901516377925873
64,ML AE latent ridge,3,1524,-0.61772436,-0.9775146426924111,0.9267049841582775
64,ML AE latent ridge,4,1524,1.3716494,1.358554778755242,0.8996396871209136
64,ML AE latent ridge,5,1524,1.8914183,1.9137613951540344,0.868663557805121
64,ML AE latent ridge,6,1524,2.282587,2.4907018591882553,0.8412517111897486
64,ML AE latent ridge,7,1524,2.6074858,2.842389749401416,0.7515196092426777
64,ML AE latent ridge,8,1524,2.9272316,3.0250674571933236,0.8222829513251781
64,ML AE latent ridge,9,1524,3.4689229,3.140646979440662,1.028931343376641
65,traditional hand-shape ridge,0,1568,-5.3863254,-5.364679340253557,1.2893299162387848
65,traditional hand-shape ridge,1,1567,-4.485728,-3.990494354726659,1.1332784023284859
65,traditional hand-shape ridge,2,1567,-4.029475,-4.055782186171293,1.1262409117221779
65,traditional hand-shape ridge,3,1567,-0.80404353,-1.3786406226334502,0.9758174445629066
65,traditional hand-shape ridge,4,1567,1.3723447,1.398500218752755,0.8155567657053524
65,traditional hand-shape ridge,5,1567,1.8839529,1.9587428160122853,0.7979828689098412
65,traditional hand-shape ridge,6,1567,2.258527,2.4314040536619608,0.7907629609107971
65,traditional hand-shape ridge,7,1567,2.5916016,2.658757369679138,0.8945200070738792
65,traditional hand-shape ridge,8,1567,2.8756695,3.0973130232881583,0.9292122945189476
65,traditional hand-shape ridge,9,1568,3.7246044,3.246230935858692,1.4238622905686498
65,ML AE latent ridge,0,1568,-5.3697944,-5.0214880947601,1.4589843347817641
65,ML AE latent ridge,1,1567,-4.552277,-4.235250094649165,1.0546084966659492
65,ML AE latent ridge,2,1567,-3.9723823,-4.2680418494828976,1.0917087767124087
65,ML AE latent ridge,3,1567,-0.5849141,-1.3224372551642911,0.8835860368013471
65,ML AE latent ridge,4,1567,1.3468994,1.2291285024875473,0.7911552909612709
65,ML AE latent ridge,5,1567,1.7551321,1.8054415702084925,0.7228183448314667
65,ML AE latent ridge,6,1567,2.172243,2.5811717756271815,0.8180317159891075
65,ML AE latent ridge,7,1567,2.543155,2.802700991380361,0.778038501739502
65,ML AE latent ridge,8,1567,2.9453063,3.090391517526054,0.9207120835781097
65,ML AE latent ridge,9,1568,3.7176874,3.3394563457285673,1.3308955071568533
