method,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,heldout_run
strict CFD20,3.1884502039551736,3.051360529024289,3.319056715710136,0.0,0.0,0.0,408,1224,5.677758856597346,pooled
strict traditional hand-shape ridge,1.96163950630188,1.882108769463375,2.0635730567255037,-1.2268106976532935,-1.3970896248996725,-1.0589345535858903,408,1224,4.4592300527119315,pooled
strict ML AE latent ridge,1.9650565696573254,1.8853798197803033,2.0577403336733595,-1.2233936342978482,-1.3942272352668017,-1.0523845115249055,408,1224,4.199419205517002,pooled
strict ML event-shuffled target,2.055532479166984,1.9479353685975083,2.1646611440181736,-1.1329177247881899,-1.3394384854825718,-0.9543806631772218,408,1224,4.535989578040153,pooled
