method,accepted_fraction,n,n_runs,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,coverage68,coverage90,mean_width68_frac,mean_width90_frac
topology_median,1.0,4055,32,-0.001934061542065154,0.3814019572250541,0.6698995538012035,0.19482120838471023,0.47003699136868066,0.6700369913686807,0.8959309494451295,0.8592698453432156,1.7114088694589813
topology_median,0.7499383477188656,3041,32,-0.0025532408750665483,0.3648516575305607,0.6805009780754946,0.2071686945083854,0.488983886879316,0.6626109832292009,0.8927984215718514,0.821869776220608,1.6496646222275613
topology_median,0.5001233045622688,2028,32,-0.0035985902292181068,0.344814602190681,0.7143940432512642,0.22830374753451677,0.5152859960552268,0.653353057199211,0.8915187376725838,0.7629282414472697,1.5363026906397328
topology_median,0.2500616522811344,1014,30,-1.803280431860653e-05,0.290673343131719,0.4607901741398578,0.27120315581854043,0.5927021696252466,0.6706114398422091,0.9043392504930966,0.6264353505899616,1.1869126287005458
strong_huber_transfer,1.0,4055,32,-0.014320360399836248,0.3542717727823608,0.5889118750955596,0.19580764488286068,0.49445129469790383,0.681134401972873,0.8991368680641184,0.80547486956055,1.6204711420568918
strong_huber_transfer,0.7499383477188656,3041,32,-0.0162968521452985,0.33543605312781144,0.58184327758885,0.21078592568234134,0.5235120026307136,0.6797106215060835,0.8993752055244986,0.7551034490691187,1.519908729200312
strong_huber_transfer,0.5001233045622688,2028,32,-0.011092983324658755,0.3118067360057055,0.5851700461742227,0.23964497041420119,0.5626232741617357,0.6715976331360947,0.9028599605522682,0.696140084316859,1.374158204626674
strong_huber_transfer,0.2500616522811344,1014,30,-0.015618904090783516,0.27302694641934283,0.4244844690427446,0.27613412228796846,0.6321499013806706,0.6775147928994083,0.903353057199211,0.5799804182064724,1.0597572462524847
ridge,1.0,4055,32,-0.039455957858353034,0.35906967510294197,0.5633544940362957,0.19753390875462393,0.475462392108508,0.6833538840937115,0.8986436498150432,0.7903876635427652,1.4630752198848973
ridge,0.7499383477188656,3041,32,-0.03966611883843035,0.34253597802428043,0.5530367602227162,0.21440315685629727,0.5047681683656692,0.6820124958895101,0.8987175271292338,0.7463687262541355,1.3706635731813512
ridge,0.5001233045622688,2028,32,-0.03382090070925788,0.31676346437992137,0.561551624360948,0.2411242603550296,0.5488165680473372,0.6809664694280079,0.9003944773175543,0.6947711384061891,1.2479346640477267
ridge,0.2500616522811344,1014,30,-0.030856878564531086,0.2795612878714625,0.420459472455235,0.27514792899408286,0.611439842209073,0.6775147928994083,0.9003944773175543,0.5924738673550087,1.0086340971656487
gradient_boosted_trees,1.0,4055,32,-0.04631652697055652,0.36020281751752115,0.5705086870500705,0.19852034525277434,0.481134401972873,0.6806411837237978,0.8998766954377312,0.7942975664978636,1.4718054308643937
gradient_boosted_trees,0.7499383477188656,3041,32,-0.04686742954727131,0.3378926011649786,0.5596559042100423,0.2173627096349885,0.5067412035514633,0.6790529431108188,0.9000328839197632,0.7472191953799497,1.3733695988375796
gradient_boosted_trees,0.5001233045622688,2028,32,-0.03687635539116195,0.3125423990755264,0.5760067368095488,0.2480276134122288,0.5438856015779092,0.6740631163708086,0.8979289940828402,0.6980374541809914,1.2843609601427937
gradient_boosted_trees,0.2500616522811344,1014,30,-0.03413315668446103,0.2761446424855793,0.4294925663799141,0.28402366863905326,0.6055226824457594,0.6745562130177515,0.8994082840236687,0.5913424857506598,1.006587941842468
mlp,1.0,4055,32,-0.04222104887257965,0.3850883125035192,0.6000777540887082,0.18397040690505548,0.4562268803945746,0.6771886559802712,0.8959309494451295,0.8422854602908557,1.561305200378857
