method,support_cell,n,n_runs,retained_fraction,a_topology,topology_pattern,b2_amp_bin,saturation_stratum,anomaly_stratum,baseline_bin,peak_phase_bin,q_template_bin,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,coverage68,coverage90,mean_width68_frac,mean_width90_frac,shuffled_res68_abs_frac,topology_only_res68_abs_frac,real_minus_shuffled_res68,real_minus_topology_res68,accepted_support_cell
support_gated_residual_cnn,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,-0.011464564835334333,0.2175359931873204,0.7953397452144181,0.32857142857142857,0.7428571428571429,0.7428571428571429,0.8571428571428571,0.6109549132045154,1.039588962414669,0.48686318391005445,0.2476042158897316,-0.26932719072273403,-0.030068222702411218,False
strong_huber_transfer,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,0.014403427575559966,0.23368400301464268,0.3413543510651314,0.26627218934911245,0.7218934911242604,0.6804733727810651,0.9053254437869822,0.5011089536461831,1.0530145867797758,0.5095637998717567,0.2566811569358034,-0.27587979685711406,-0.022997153921160723,False
support_gated_residual_cnn,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,-0.00734536298689374,0.23531322492222498,0.2629272401791432,0.3,0.7,0.725,0.9375,0.5437365580913025,0.8378617817642485,0.4790024187381765,0.23695368290032687,-0.24368919381595153,-0.001640457978101889,False
gradient_boosted_trees,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,-0.021782218784998378,0.2386296995801392,0.254792783402926,0.35,0.6875,0.7,0.9,0.5309572400843969,0.7817352260701214,0.4790024187381765,0.23695368290032687,-0.24037271915803732,0.00167601667981232,False
gradient_boosted_trees,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.09182733229820182,0.24295885996085698,0.2384272937021867,0.3018867924528302,0.6981132075471698,0.7358490566037735,0.9433962264150944,0.5282364410758438,0.8436769226707681,0.5294935534688164,0.2779400632226073,-0.28653469350795946,-0.034981203261750304,False
topology_median,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,0.002142541311604416,0.24776986574607446,0.8864255111544839,0.34285714285714286,0.6857142857142857,0.7428571428571429,0.8714285714285714,0.6915906706899239,1.3676839557483937,0.48686318391005445,0.2476042158897316,-0.23909331816398,0.00016564985634284768,False
strong_huber_transfer,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,0.003748950441313431,0.24802264782967268,0.2570820987890615,0.35,0.675,0.725,0.9125,0.5529574213385398,0.7972563767452042,0.4790024187381765,0.23695368290032687,-0.23097977090850383,0.01106896492934581,False
ridge,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.011310959639455139,0.2503814898611344,0.33966293125023783,0.3076923076923077,0.6804733727810651,0.6804733727810651,0.8994082840236687,0.5220622609331573,0.9774567349889494,0.5095637998717567,0.2566811569358034,-0.2591823100106223,-0.006299667074669002,False
topology_median,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,-0.004708478745013015,0.25136027013753565,0.2581060916573158,0.35,0.675,0.75,0.9375,0.5536802580577427,0.8475660349886678,0.4790024187381765,0.23695368290032687,-0.22764214860064086,0.014406587237208779,False
support_gated_residual_cnn,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,0.02320329311768354,0.2529580829899723,0.361999975545757,0.2781065088757396,0.6745562130177515,0.6863905325443787,0.8994082840236687,0.5524589531988853,1.1783955382095708,0.5095637998717567,0.2566811569358034,-0.2566057168817844,-0.0037230739458311013,False
ridge,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,-0.010393292172106822,0.2540337332697835,0.8192399818041031,0.3142857142857143,0.6571428571428571,0.7142857142857143,0.8857142857142857,0.6391191307024678,1.0000352966423096,0.48686318391005445,0.2476042158897316,-0.23282945064027094,0.006429517380051902,False
strong_huber_transfer,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,-0.030986481038186377,0.25487515068450145,0.822117803506224,0.3142857142857143,0.6571428571428571,0.7,0.8714285714285714,0.6450770258160435,1.0321660245869926,0.48686318391005445,0.2476042158897316,-0.231988033225553,0.00727093479476984,False
ridge,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|large|early_le5|extreme,80,15,0.01972872996300863,A1_A3_pair,B2_only,5000_7000,all_B_amp_lt7000,broad_saturation_like,large,early_le5,extreme,0.004861115220081671,0.2549643380204544,0.24676840981428536,0.35,0.675,0.7125,0.9375,0.5617304845650424,0.8252824720852718,0.4790024187381765,0.23695368290032687,-0.22403808071772213,0.018010655120127506,False
1d_cnn,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.05634847426034938,0.25622331664733594,0.313696746035791,0.33727810650887574,0.6686390532544378,0.6863905325443787,0.8994082840236687,0.5298067385734577,0.9117749137872111,0.5095637998717567,0.2566811569358034,-0.25334048322442076,-0.0004578402884674593,False
gradient_boosted_trees,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|quiet|rising_6_8|extreme,70,19,0.01726263871763255,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,quiet,rising_6_8,extreme,-0.03644645453629733,0.25804954337421976,0.8959891085624979,0.35714285714285715,0.6714285714285714,0.7,0.8714285714285714,0.6389151630148988,1.0223473920251838,0.48686318391005445,0.2476042158897316,-0.2288136405358347,0.010445327484488148,False
topology_median,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|quiet|rising_6_8|extreme,169,20,0.041676942046855736,A1_A3_pair,B2_only,3000_5000,all_B_amp_lt7000,broad_saturation_like,quiet,rising_6_8,extreme,-0.00012591286829513975,0.258212046768107,0.34576319968170466,0.3136094674556213,0.6568047337278107,0.6863905325443787,0.8994082840236687,0.5505743396930232,1.0489926980328228,0.5095637998717567,0.2566811569358034,-0.2513517531036497,0.0015308898323035947,False
support_gated_residual_cnn,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,-0.06043359674407506,0.26302216811226353,0.26004239629492243,0.3018867924528302,0.6037735849056604,0.6981132075471698,0.9622641509433962,0.5222772302318814,0.8984183897727916,0.5294935534688164,0.2779400632226073,-0.2664713853565529,-0.014917895110343748,False
topology_median,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|large|early_le5|extreme,53,15,0.013070283600493218,A1_A3_pair,B2_only,7000_inf,any_B_amp_ge7000,late_tail_high,large,early_le5,extreme,0.011739817049551128,0.2635908227376878,0.2634721346574149,0.2830188679245283,0.6226415094339622,0.7547169811320755,0.9622641509433962,0.5917470711648422,1.17777293418221,0.5294935534688164,0.2779400632226073,-0.26590273073112863,-0.014349240484919479,False
