run_key,events,pedestal_median_adc,pedestal_iqr_adc,noise_sigma_adc,common_mode_sigma_adc,pulse_q50_adc,pulse_q95_adc,pulse_q99_adc,pedestal_B2_adc,noise_B2_adc,pedestal_B4_adc,noise_B4_adc,pedestal_B6_adc,noise_B6_adc,pedestal_B8_adc,noise_B8_adc
31,39990,6923.0,125.5,5.1891,274.1098937988281,24.0,7771.5,9092.705000000002,6754.0,6.6716999999999995,7029.0,4.4478,6941.5,4.4478,6894.0,8.1543
32,41921,6922.0,125.5,5.9304,275.8852233886719,24.0,7651.0,9042.585000000006,6749.5,6.6716999999999995,7026.0,4.4478,6937.5,4.4478,6895.0,8.1543
33,57173,6914.5,108.0,5.1891,161.65667724609375,26.5,7380.0,8458.0,6746.0,6.6716999999999995,7016.0,4.4478,6927.0,4.4478,6899.5,8.1543
34,39765,6916.0,110.5,5.1891,152.76731872558594,27.5,7883.5,8887.0,6744.5,6.6716999999999995,7015.5,4.4478,6926.5,4.4478,6901.0,8.1543
35,27786,6920.0,107.0,5.9304,282.48431396484375,22.5,4006.4249999999956,7422.569999999992,6752.0,7.412999999999999,7017.0,4.4478,6929.0,4.4478,6902.0,7.412999999999999
36,21764,6919.5,107.5,5.9304,303.39251708984375,23.0,4896.625,8343.724999999999,6753.0,7.412999999999999,7017.0,4.4478,6929.0,4.4478,6901.5,7.412999999999999
37,50513,6921.5,106.5,5.9304,333.0718994140625,23.5,4992.0,8392.5,6754.5,7.412999999999999,7018.5,4.4478,6929.5,4.4478,6903.5,8.1543
39,30321,6922.5,106.5,5.9304,341.3274230957031,24.5,4570.424999999996,8060.5,6754.5,7.412999999999999,7019.0,4.4478,6929.5,4.4478,6905.0,8.1543
40,32613,6923.5,104.0,5.9304,336.9993591308594,25.5,4250.7249999999985,7683.990000000005,6757.0,7.412999999999999,7019.0,5.1891,6929.0,5.1891,6907.0,8.1543
41,33997,6924.0,104.0,5.9304,338.111083984375,26.0,4674.0,8132.630000000005,6756.0,8.1543,7019.5,4.4478,6930.0,5.1891,6907.0,8.1543
42,33972,6924.0,103.5,5.9304,332.6442565917969,27.0,5986.824999999997,8754.565000000002,6756.0,7.412999999999999,7019.0,5.1891,6930.0,5.1891,6907.5,8.1543
