method,family,n,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
gradient_boosted_trees,ml_tree,27631,-0.03177002745153769,0.3152282451567544,17.243231515714054,"[0.3113122316294044, 0.31998704068436734]","[-0.03547782743828129, -0.027725389581372238]","[17.05115100601924, 17.449809175795888]"
ridge,ml_linear,27631,-0.04623906175328001,0.33520562329793235,18.473233153188477,"[0.3317704575462121, 0.33917381921024176]","[-0.05005909582551726, -0.041938866159335654]","[18.28731971976264, 18.643409292639813]"
1d_cnn,neural_waveform,27631,0.017873129040054943,0.3651254615001506,20.41890695935691,"[0.33627430578913603, 0.4071065608606383]","[-0.045146730334554346, 0.107387850481282]","[18.83008863719115, 22.273071789888096]"
mlp,neural_tabular,27631,0.12377768082787037,0.5273777443210229,30.397344225764723,"[0.4181169149257877, 0.7931854576636281]","[-0.020687065146823738, 0.35327935654269843]","[22.840329312254287, 39.43797413813899]"
run_keyed_birks,traditional_run_keyed_birks,27631,-0.9898490828424481,0.9915672787042156,63.43631590695192,"[0.9915221849553457, 0.9916091613998941]","[-0.989913682825936, -0.9898016328635731]","[63.23267309729845, 63.63617586060517]"
run_gated_residual_cnn,neural_run_gated_residual_new,27631,-0.9898490828424481,0.9915672787042156,63.43631590695192,"[0.9915207266146439, 0.9916073067859561]","[-0.9899130242394727, -0.9897984812329301]","[63.223784674769966, 63.673358321038606]"
