run,eventno,stave,event_key,label_mean,label_votes,label_min,label_max,reviewer_weight,reviewer_disagreement,sources,review_secondary_sep,handscan_label,label_interval_low,label_interval_high
42,768093,B4,42:768093:B4,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,4.0,0,0.0,0.0
42,768306,B2,42:768306:B2,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,768900,B4,42:768900:B4,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,0,0.0,0.0
42,769237,B6,42:769237:B6,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,769538,B6,42:769538:B6,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,0,0.0,0.0
42,769971,B6,42:769971:B6,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,4.0,0,0.0,0.0
42,770044,B6,42:770044:B6,0.0,2,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,774490,B2,42:774490:B2,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,0,0.0,0.0
42,775995,B8,42:775995:B8,0.0,2,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,776107,B6,42:776107:B6,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,0,0.0,0.0
42,776258,B2,42:776258:B2,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,776385,B6,42:776385:B6,1.0,1,1.0,1.0,0.6,1,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,1,1.0,1.0
42,777223,B8,42:777223:B8,0.0,1,0.0,0.0,0.6,1,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,0,0.0,0.0
42,777331,B2,42:777331:B2,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,777863,B6,42:777863:B6,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,778278,B8,42:778278:B8,0.0,2,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
42,778357,B2,42:778357:B2,0.0,1,0.0,0.0,0.6,1,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,4.0,0,0.0,0.0
42,778455,B4,42:778455:B4,0.0,1,0.0,0.0,0.6,1,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,3.0,0,0.0,0.0
42,778565,B6,42:778565:B6,1.0,1,1.0,1.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,14.0,1,1.0,1.0
42,778565,B8,42:778565:B8,1.0,1,1.0,1.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,17.0,1,1.0,1.0
42,780538,B2,42:780538:B2,0.0,1,0.0,0.0,1.0,0,1783605034.12126.04fe4a38__s01j_external_handscan_transfer,2.0,0,0.0,0.0
