stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,800,2.5532087549475975,5,9.242429678303958
B4,647,3.0123333651525255,6,10.74729410939233
B6,583,3.797336412173074,6,9.75775458516531
B8,318,4.380855221618728,8,9.102359427677307
