method,window_ns,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,ap_ci_low,ap_ci_high
1d_cnn,5.0,380,181,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
1d_cnn,10.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
1d_cnn,15.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
1d_cnn,20.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
1d_cnn,30.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
gradient_boosted_trees,5.0,380,181,0.9974874371859296,0.995049504950495,1.0,0.9945054945054945,0.9888888888888889,1.0
gradient_boosted_trees,10.0,380,190,0.9973684210526316,0.9947368421052631,1.0,0.9947643979057592,0.9895833333333334,1.0
gradient_boosted_trees,15.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosted_trees,20.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0
gradient_boosted_trees,30.0,380,190,0.9973130193905818,0.9946814404432133,1.0,0.9973684210526316,0.9947368421052631,1.0
late_fusion_phase_cnn_new,5.0,380,181,0.9995557899997224,0.9994437646011792,0.9997781721384206,0.999517995764184,0.9993839222710743,0.9997687326549494
late_fusion_phase_cnn_new,10.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
late_fusion_phase_cnn_new,15.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
late_fusion_phase_cnn_new,20.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
late_fusion_phase_cnn_new,30.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
mlp,5.0,380,181,0.9972236874982647,0.995772610968962,0.9990017746228926,0.9970140171970063,0.9955195784322497,0.998947500889764
mlp,10.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
mlp,15.0,380,190,0.9999445983379501,0.9998891966759003,1.0,0.9999451754385965,0.999890350877193,1.0000000000000002
mlp,20.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
mlp,30.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
ridge,5.0,380,181,0.9974180293733863,0.995452528837622,0.9989987762821225,0.9967454995746724,0.9942599735791049,0.9989310237203495
ridge,10.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
ridge,15.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
ridge,20.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
ridge,30.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
traditional_phase_template,5.0,380,181,0.9997778949998611,0.9997775058404716,0.9997781721384206,0.9997609107013643,0.9997530559328314,0.9997687326549494
traditional_phase_template,10.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
traditional_phase_template,15.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
traditional_phase_template,20.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
traditional_phase_template,30.0,380,190,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
