method,mean_average_precision,mean_roc_auc
1d_cnn,1.0,1.0
traditional_phase_template,0.9999521821402728,0.9999555789999721
late_fusion_phase_cnn_new,0.9999035991528368,0.9999111579999445
mlp,0.9993918385271205,0.9994336571672429
ridge,0.9993490999149344,0.9994836058746772
gradient_boosted_trees,0.9973276626927771,0.9984337755258286
