target,stratum,n_positive,n,rate
s16_baseline_excursion,B2,26927,579424,0.046472013585906004
s16_baseline_excursion,B4,3161,36116,0.08752353527522427
s16_baseline_excursion,B6,1297,17945,0.07227640011145166
s16_baseline_excursion,B8,718,7252,0.09900717043574186
s16_baseline_excursion,all,32103,640737,0.05010324048712654
s16_adaptive_lowering,B2,53274,579424,0.09194303308112885
s16_adaptive_lowering,B4,6701,36116,0.18554103444456752
s16_adaptive_lowering,B6,2974,17945,0.1657286152131513
s16_adaptive_lowering,B8,1215,7252,0.1675399889685604
s16_adaptive_lowering,all,64164,640737,0.10014093145861719
p09_dropout_delayed_peak,B2,37433,579424,0.06460381344231513
p09_dropout_delayed_peak,B4,14008,36116,0.3878613356960904
p09_dropout_delayed_peak,B6,6839,17945,0.38110894399554196
p09_dropout_delayed_peak,B8,2898,7252,0.3996138996138996
p09_dropout_delayed_peak,all,61178,640737,0.0954806730374553
p07_saturation_boundary,B2,64329,579424,0.11102232561992599
p07_saturation_boundary,B4,32,36116,0.0008860338907963229
p07_saturation_boundary,B6,2,17945,0.00011145165784341042
p07_saturation_boundary,B8,1,7252,0.0001378929950358522
p07_saturation_boundary,all,64364,640737,0.10045307200926433
s03_timing_tail,B2,1861,579424,0.0032118103495885567
s03_timing_tail,B4,1888,36116,0.052275999556983054
s03_timing_tail,B6,1877,17945,0.10459738088604068
s03_timing_tail,B8,767,7252,0.10576392719249862
s03_timing_tail,all,6393,640737,0.009977572701436002
p04_charge_bias_tail,B2,48803,579424,0.08422674932346606
p04_charge_bias_tail,B4,10113,36116,0.2800143980507254
p04_charge_bias_tail,B6,3981,17945,0.22184452493730844
p04_charge_bias_tail,B8,1746,7252,0.2407611693325979
p04_charge_bias_tail,all,64643,640737,0.1008885080774171
