fold,target,heldout_runs,train_rows,fit_rows,test_rows,baseline_score_q95,adaptive_lowering_q90,delayed_dropout_q95,peak_sample_q95,saturation_boundary_q90,timing_tail_q90,charge_abs_q90
1,s16_baseline_excursion,"33,42,45,48,49,52",513588,12000,12000,4266.08596191406,61.0,0.9883755356073378,9.0,22.862955518686693,29.688000000000002,0.897852087020874
1,s16_adaptive_lowering,"33,42,45,48,49,52",513588,12000,12000,4266.08596191406,61.0,0.9883755356073378,9.0,22.862955518686693,29.688000000000002,0.897852087020874
1,p09_dropout_delayed_peak,"33,42,45,48,49,52",513588,12000,12000,4266.08596191406,61.0,0.9883755356073378,9.0,22.862955518686693,29.688000000000002,0.897852087020874
1,p07_saturation_boundary,"33,42,45,48,49,52",513588,12000,12000,4266.08596191406,61.0,0.9883755356073378,9.0,22.862955518686693,29.688000000000002,0.897852087020874
1,s03_timing_tail,"33,42,45,48,49,52",513588,12000,12000,4266.08596191406,61.0,0.9883755356073378,9.0,22.862955518686693,29.688000000000002,0.897852087020874
1,p04_charge_bias_tail,"33,42,45,48,49,52",513588,12000,12000,4266.08596191406,61.0,0.9883755356073378,9.0,22.862955518686693,29.688000000000002,0.897852087020874
2,s16_baseline_excursion,"35,37,39,44,56,58,63",512531,12000,12000,4198.009765625,53.5,0.9780468642711639,9.0,22.84624816625917,29.688000000000002,0.8899364471435547
2,s16_adaptive_lowering,"35,37,39,44,56,58,63",512531,12000,12000,4198.009765625,53.5,0.9780468642711639,9.0,22.84624816625917,29.688000000000002,0.8899364471435547
2,p09_dropout_delayed_peak,"35,37,39,44,56,58,63",512531,12000,12000,4198.009765625,53.5,0.9780468642711639,9.0,22.84624816625917,29.688000000000002,0.8899364471435547
2,p07_saturation_boundary,"35,37,39,44,56,58,63",512531,12000,12000,4198.009765625,53.5,0.9780468642711639,9.0,22.84624816625917,29.688000000000002,0.8899364471435547
2,s03_timing_tail,"35,37,39,44,56,58,63",512531,12000,12000,4198.009765625,53.5,0.9780468642711639,9.0,22.84624816625917,29.688000000000002,0.8899364471435547
2,p04_charge_bias_tail,"35,37,39,44,56,58,63",512531,12000,12000,4198.009765625,53.5,0.9780468642711639,9.0,22.84624816625917,29.688000000000002,0.8899364471435547
3,s16_baseline_excursion,"31,50,51,57,60,61",513082,12000,12000,4178.699755859371,53.0,0.980313086509699,9.0,22.82224545930842,20.156000000000006,0.8933969497680667
3,s16_adaptive_lowering,"31,50,51,57,60,61",513082,12000,12000,4178.699755859371,53.0,0.980313086509699,9.0,22.82224545930842,20.156000000000006,0.8933969497680667
3,p09_dropout_delayed_peak,"31,50,51,57,60,61",513082,12000,12000,4178.699755859371,53.0,0.980313086509699,9.0,22.82224545930842,20.156000000000006,0.8933969497680667
3,p07_saturation_boundary,"31,50,51,57,60,61",513082,12000,12000,4178.699755859371,53.0,0.980313086509699,9.0,22.82224545930842,20.156000000000006,0.8933969497680667
3,s03_timing_tail,"31,50,51,57,60,61",513082,12000,12000,4178.699755859371,53.0,0.980313086509699,9.0,22.82224545930842,20.156000000000006,0.8933969497680667
3,p04_charge_bias_tail,"31,50,51,57,60,61",513082,12000,12000,4178.699755859371,53.0,0.980313086509699,9.0,22.82224545930842,20.156000000000006,0.8933969497680667
4,s16_baseline_excursion,"32,34,36,41,47,59,64",510559,12000,12000,4187.0902832031215,53.5,1.002138686180114,9.0,22.85460845267202,29.688000000000002,0.897105598449707
4,s16_adaptive_lowering,"32,34,36,41,47,59,64",510559,12000,12000,4187.0902832031215,53.5,1.002138686180114,9.0,22.85460845267202,29.688000000000002,0.897105598449707
4,p09_dropout_delayed_peak,"32,34,36,41,47,59,64",510559,12000,12000,4187.0902832031215,53.5,1.002138686180114,9.0,22.85460845267202,29.688000000000002,0.897105598449707
4,p07_saturation_boundary,"32,34,36,41,47,59,64",510559,12000,12000,4187.0902832031215,53.5,1.002138686180114,9.0,22.85460845267202,29.688000000000002,0.897105598449707
4,s03_timing_tail,"32,34,36,41,47,59,64",510559,12000,12000,4187.0902832031215,53.5,1.002138686180114,9.0,22.85460845267202,29.688000000000002,0.897105598449707
4,p04_charge_bias_tail,"32,34,36,41,47,59,64",510559,12000,12000,4187.0902832031215,53.5,1.002138686180114,9.0,22.85460845267202,29.688000000000002,0.897105598449707
5,s16_baseline_excursion,"40,46,53,54,55,62,65",513188,12000,12000,4375.5151611328065,63.5,1.0336097955703731,9.0,22.85477904296193,29.688000000000002,0.909312057495117
5,s16_adaptive_lowering,"40,46,53,54,55,62,65",513188,12000,12000,4375.5151611328065,63.5,1.0336097955703731,9.0,22.85477904296193,29.688000000000002,0.909312057495117
5,p09_dropout_delayed_peak,"40,46,53,54,55,62,65",513188,12000,12000,4375.5151611328065,63.5,1.0336097955703731,9.0,22.85477904296193,29.688000000000002,0.909312057495117
5,p07_saturation_boundary,"40,46,53,54,55,62,65",513188,12000,12000,4375.5151611328065,63.5,1.0336097955703731,9.0,22.85477904296193,29.688000000000002,0.909312057495117
5,s03_timing_tail,"40,46,53,54,55,62,65",513188,12000,12000,4375.5151611328065,63.5,1.0336097955703731,9.0,22.85477904296193,29.688000000000002,0.909312057495117
5,p04_charge_bias_tail,"40,46,53,54,55,62,65",513188,12000,12000,4375.5151611328065,63.5,1.0336097955703731,9.0,22.85477904296193,29.688000000000002,0.909312057495117
