fold,target,heldout_runs,amplitude_only_auc,run_only_auc,stave_only_auc,shuffled_label_auc
1,s16_baseline_excursion,"33,42,45,48,49,52",0.7388911988604399,0.5,0.5156481065956671,0.4965443688644298
1,s16_adaptive_lowering,"33,42,45,48,49,52",0.7865573709952731,0.5,0.522641150210084,0.5021751083245799
1,p09_dropout_delayed_peak,"33,42,45,48,49,52",0.8075838691568521,0.5,0.6223382502319388,0.4718191296420397
1,p07_saturation_boundary,"33,42,45,48,49,52",0.9910112055369892,0.5,0.5271748960028938,0.42947252836712346
1,s03_timing_tail,"33,42,45,48,49,52",0.7428613199665832,0.5,0.8824366471734894,0.6324255082149819
1,p04_charge_bias_tail,"33,42,45,48,49,52",0.7546371177812352,0.5,0.5460795610522591,0.41020010264651885
2,s16_baseline_excursion,"35,37,39,44,56,58,63",0.6932388412106956,0.5,0.5122651813463073,0.622250545677698
2,s16_adaptive_lowering,"35,37,39,44,56,58,63",0.7302197816159439,0.5,0.5233441082461715,0.3551436631793935
2,p09_dropout_delayed_peak,"35,37,39,44,56,58,63",0.7639686753337158,0.5,0.634385366927231,0.6484614967513932
2,p07_saturation_boundary,"35,37,39,44,56,58,63",0.9899731857774889,0.5,0.5425713898525467,0.7482349410012503
2,s03_timing_tail,"35,37,39,44,56,58,63",0.6971280818559928,0.5,0.8285919874568207,0.46233544419618144
2,p04_charge_bias_tail,"35,37,39,44,56,58,63",0.6811280586024167,0.5,0.5507118294178441,0.29817706649296716
3,s16_baseline_excursion,"31,50,51,57,60,61",0.7834071055256931,0.5,0.5773182648599038,0.4438953379659576
3,s16_adaptive_lowering,"31,50,51,57,60,61",0.7911450194577415,0.5,0.578466077444977,0.3691817778034446
3,p09_dropout_delayed_peak,"31,50,51,57,60,61",0.8069215087749582,0.5,0.6824070151310994,0.550902544227605
3,p07_saturation_boundary,"31,50,51,57,60,61",0.9891863010182478,0.5,0.5847089911463167,0.48302207353070853
3,s03_timing_tail,"31,50,51,57,60,61",0.7695185413099315,0.5,0.8106545644263699,0.46695205479452057
3,p04_charge_bias_tail,"31,50,51,57,60,61",0.7270157722646239,0.5,0.6391993205366638,0.7212029760670021
4,s16_baseline_excursion,"32,34,36,41,47,59,64",0.7172300970959599,0.5,0.5252057961286939,0.5271560129960811
4,s16_adaptive_lowering,"32,34,36,41,47,59,64",0.7566982227178738,0.5,0.5443319930493122,0.5074664198914862
4,p09_dropout_delayed_peak,"32,34,36,41,47,59,64",0.7894093383151818,0.5,0.6492661805101368,0.46286713297353554
4,p07_saturation_boundary,"32,34,36,41,47,59,64",0.9906956260731401,0.5,0.5602966761285596,0.4797914655247108
4,s03_timing_tail,"32,34,36,41,47,59,64",0.7506633737751562,0.5,0.8038336810051311,0.3915993302322608
4,p04_charge_bias_tail,"32,34,36,41,47,59,64",0.7133906741558245,0.5,0.5680249947817846,0.5552441466666416
5,s16_baseline_excursion,"40,46,53,54,55,62,65",0.7526716218345983,0.5,0.54673558823978,0.5237433717850298
5,s16_adaptive_lowering,"40,46,53,54,55,62,65",0.7553857739702952,0.5,0.5415514400778142,0.5927485437847424
5,p09_dropout_delayed_peak,"40,46,53,54,55,62,65",0.8295198645659225,0.5,0.6930375700947173,0.24661229300165438
5,p07_saturation_boundary,"40,46,53,54,55,62,65",0.994095154261565,0.5,0.5537850424618757,0.37230817336155275
5,s03_timing_tail,"40,46,53,54,55,62,65",0.7567810474855567,0.5,0.8056493426801596,0.6816859351916871
5,p04_charge_bias_tail,"40,46,53,54,55,62,65",0.7425963287798378,0.5,0.5838183522571975,0.4598663596995718
