n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8223964252582471,0.8332728513197409,0.17584908449499995
400,5,15,0.795563490145895,0.8109627173857996,0.18776680191737466
300,4,20,0.7753839774967859,0.7926057616499099,0.19401155824743924
