method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,brier,brier_ci_low,brier_ci_high,ece,ece_ci_low,ece_ci_high,fixed_95_clean_rejection,fixed_95_clean_rejection_ci_low,fixed_95_clean_rejection_ci_high,accepted_injected_count,accepted_injected_coverage,accepted_delay_bias_samples,accepted_delay_rmse_samples,accepted_secondary_scale_bias,accepted_secondary_scale_rmse,notes
MLP,0.9013724454944352,0.8732420187830156,0.9249109002944165,0.8983183784950621,0.8637576404887141,0.9242014343738743,0.1301079507013655,0.10980135982707485,0.15063988515232724,0.06490397426010601,0.05132949107875002,0.09369468570005798,0.6234887737478411,0.5245993106992238,0.7062154062065529,361,0.6234887737478411,0.21476510067114093,1.503909893059738,-0.01071630734905965,0.21751537045046881,Small regularized multilayer perceptron on the same shape-only feature table.
gradient-boosted trees,0.8548835017196583,0.8365064594081525,0.8783098301135407,0.8602560213190953,0.8377726047610334,0.8880454370142543,0.1586077548372987,0.14570396061558735,0.16948325750927326,0.052628287310290095,0.04524837568552481,0.0869218469119281,0.4525043177892919,0.3841834161803904,0.5954471774539831,262,0.4525043177892919,0.3094170403587444,1.4030715824471864,0.018246175364784633,0.22170019602131913,Histogram gradient-boosted trees on the same shape-only feature table.
ridge,0.8373289663257178,0.821599669438134,0.8613815565964724,0.8193104186915685,0.7971411378877784,0.8487737387965965,0.18618287873184738,0.18268585012326388,0.19009771270997253,0.11651477426111981,0.10770382922953833,0.15006871571563662,0.4438687392055268,0.4059882157038555,0.5038515321872609,257,0.4438687392055268,0.25888324873096447,1.4995769284925016,-0.034437509105655476,0.22571748412383927,L2 ridge linear classifier on normalized waveform-shape features.
fit-plus-shape-residual ExtraTrees,0.8355496493567314,0.8185636037520294,0.8622715867682172,0.8402020707809406,0.8279460882540646,0.8594475940339853,0.17305191988253926,0.16665799283790156,0.17889844956974893,0.08256258916638842,0.06993588885199059,0.13273666428987246,0.46286701208981,0.39098133532221824,0.5102635463435635,268,0.46286701208981,0.3360995850622407,1.4475619795529664,0.04008859523221153,0.21459937161952433,New calibration architecture: ExtraTrees over fit variables plus out-of-fold shape RF score/residual interaction.
shape-only RF,0.8223964252582471,0.7992719762482474,0.8463770828968612,0.8332728513197409,0.8121902159620008,0.8610402781387453,0.17584908449499995,0.16183209305413515,0.1932332148253996,0.05292793254420121,0.040978394009454105,0.08813543312318885,0.41968911917098445,0.3576140441747752,0.4717512077294686,243,0.41968911917098445,0.37073170731707317,1.5109357462408164,0.01996708421907171,0.22260333428644882,"Best params={'n_estimators': 500, 'max_depth': 7, 'min_samples_leaf': 8}; strict shape features only."
channel-attention CNN,0.8192762818390351,0.8142718462476415,0.8446843143951832,0.8196140644569495,0.7991609171884876,0.8453842968423496,0.17710103077066103,0.17333228325144914,0.17986419503727963,0.057867361261883285,0.047977198033259325,0.11741885647104564,0.4058721934369603,0.3386454183266932,0.48609781796408297,235,0.4058721934369603,0.33678756476683935,1.5252622300661356,-0.007826242984015132,0.22133418057959098,New architecture: channel-attention CNN on normalized waveform tensors.
1D-CNN,0.7316438025181884,0.7146148255655714,0.7617966084954654,0.7364639897666333,0.7151907737145722,0.7705737015127899,0.21536642200305964,0.2004138806509197,0.23562289811516385,0.0668627561611598,0.042697470581033486,0.1524273049595007,0.3005181347150259,0.2273389198401235,0.36249243886877186,174,0.3005181347150259,0.30666666666666664,1.446835627614047,0.02397249764636024,0.22331956832077696,Convolutional net on four amplitude-normalized 18-sample waveforms.
fit-output ExtraTrees calibration,0.7312724278951561,0.7157347185303701,0.7531891885765265,0.7514400056007443,0.7317794648700022,0.7767706367075804,0.21607454005390878,0.2121809123782861,0.21937198101389452,0.07091007379406108,0.06070812754785035,0.08892314190194392,0.30569948186528495,0.24467494089834516,0.34944661312274716,177,0.30569948186528495,-0.05649717514124294,0.8956896153275697,-0.00907454347476043,0.1151137875524766,Nonlinear ExtraTrees calibration layer over bounded-fit variables only.
fit-output logistic calibration,0.6528601811830892,0.6407458621763702,0.6723829873455027,0.6752944928078166,0.6430627834144376,0.7127779272223438,0.23013834313221068,0.22589283581669284,0.23542177800417646,0.0426479748595178,0.023609309943673,0.09144305888926732,0.20725388601036268,0.12700735294117646,0.2901313997821351,120,0.20725388601036268,0.2627118644067797,1.1461061565290966,0.04608758808643468,0.16070708913373405,Logistic calibration layer over bounded-fit variables only.
bounded two-pulse fit isotonic,0.607549494244439,0.5947470196809186,0.6230596572096904,0.6328208840983969,0.6011524737049699,0.6579241014655948,0.23942880587121507,0.23430688940605757,0.24657473355793857,0.024957887751345983,0.015221923161454536,0.04330933258646201,0.153713298791019,0.08491100323624597,0.20219498548562284,89,0.153713298791019,-0.1797752808988764,0.7031230493106524,0.03307155800922097,0.10797040695565546,Strong traditional constrained template fit; scalar score chosen from fit outputs on training runs only and calibrated by fold-local isotonic regression.
