method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
1D-CNN,2,high,60,30,0.7322222222222223,0.6883824235952319,0.1,0.2577777777777779,False,1.6363636363636365,2.467976720090587,0.2666666666666667
1D-CNN,2,low,82,41,0.6103509815585961,0.613427947979577,0.14634146341463414,0.11481261154074962,False,2.230769230769231,2.8419928002940256,0.36585365853658536
1D-CNN,2,mid,76,38,0.6966759002770083,0.7185652871184394,0.18421052631578946,0.23337950138504154,False,1.3125,2.091650066335189,0.1578947368421053
1D-CNN,3,high,92,46,0.7878071833648393,0.7845698866748688,0.30434782608695654,0.3256143667296787,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
1D-CNN,3,low,94,47,0.6419194205522861,0.6601164806342569,0.14893617021276595,0.14350384789497506,False,1.3142857142857143,2.138089935299395,0.25531914893617025
1D-CNN,3,mid,90,45,0.7333333333333334,0.7541397015723497,0.3111111111111111,0.21679012345679016,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
1D-CNN,4,high,74,37,0.8407596785975165,0.8415543196718984,0.3783783783783784,0.42403214024835656,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
1D-CNN,4,low,68,34,0.7240484429065743,0.775838557001183,0.3235294117647059,0.19290657439446357,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
1D-CNN,4,mid,66,33,0.7557392102846647,0.7566948117227179,0.2727272727272727,0.2846648301193755,False,0.17391304347826086,1.285369173834303,0.303030303030303
1D-CNN,5,high,82,41,0.8340273646638905,0.8320848062972934,0.5609756097560976,0.3640690065437239,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
1D-CNN,5,low,78,39,0.6587771203155818,0.718913808320077,0.2564102564102564,0.10716633793556862,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
1D-CNN,5,mid,72,36,0.7399691358024691,0.7624040102656211,0.3333333333333333,0.2654320987654321,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
1D-CNN,6,high,88,44,0.8558884297520661,0.8823941909451942,0.5454545454545454,0.4757231404958678,False,-0.95,1.70293863659264,0.09090909090909094
1D-CNN,6,low,74,37,0.7304601899196494,0.7109822451519041,0.1891891891891892,0.26077428780131484,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
1D-CNN,6,mid,62,31,0.6951092611862644,0.7521110075515728,0.3225806451612903,0.2034339229968783,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
MLP,2,high,60,30,0.9544444444444444,0.9622255551689913,0.8333333333333334,0.48,True,1.6363636363636365,2.467976720090587,0.2666666666666667
MLP,2,low,82,41,0.7305175490779298,0.7687549114864952,0.2926829268292683,0.23497917906008325,False,2.230769230769231,2.8419928002940256,0.36585365853658536
MLP,2,mid,76,38,0.885387811634349,0.9118842272508371,0.631578947368421,0.4220914127423822,False,1.3125,2.091650066335189,0.1578947368421053
MLP,3,high,92,46,0.9664461247637052,0.9167434245422006,0.9347826086956522,0.5042533081285445,True,0.3157894736842105,1.3377121081198773,0.17391304347826086
MLP,3,low,94,47,0.8361249434133092,0.8545985084165556,0.48936170212765956,0.33770937075599816,False,1.3142857142857143,2.138089935299395,0.25531914893617025
MLP,3,mid,90,45,0.9412345679012346,0.9262352345209937,0.6444444444444445,0.4246913580246914,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
MLP,4,high,74,37,0.9488677867056245,0.9620868122021031,0.8918918918918919,0.5321402483564646,True,0.3333333333333333,1.1902380714238083,0.3513513513513513
MLP,4,low,68,34,0.944636678200692,0.9271799817218587,0.8235294117647058,0.4134948096885812,True,-0.10714285714285714,1.3228756555322954,0.17647058823529416
MLP,4,mid,66,33,0.9182736455463728,0.9086143448013615,0.6060606060606061,0.44719926538108357,False,0.17391304347826086,1.285369173834303,0.303030303030303
MLP,5,high,82,41,0.9851279000594884,0.9853182529666568,0.9024390243902439,0.5151695419393219,True,0.03225806451612903,0.7405316311773545,0.24390243902439024
MLP,5,low,78,39,0.8349769888231426,0.8711675970528546,0.5384615384615384,0.2833662064431295,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
MLP,5,mid,72,36,0.9351851851851852,0.9414516685862251,0.75,0.4606481481481482,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
MLP,6,high,88,44,0.9426652892561984,0.9365223157646353,0.6590909090909091,0.5625,False,-0.95,1.70293863659264,0.09090909090909094
MLP,6,low,74,37,0.7742878013148283,0.7455284445824655,0.35135135135135137,0.3046018991964937,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
MLP,6,mid,62,31,0.931321540062435,0.9375969445873679,0.7741935483870968,0.43964620187304887,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
bounded two-pulse fit isotonic,2,high,60,30,0.6061111111111112,0.66953032809216,0.26666666666666666,0.1316666666666667,False,1.6363636363636365,2.467976720090587,0.2666666666666667
bounded two-pulse fit isotonic,2,low,82,41,0.5520523497917906,0.5954825532013398,0.1951219512195122,0.05651397977394412,False,2.230769230769231,2.8419928002940256,0.36585365853658536
bounded two-pulse fit isotonic,2,mid,76,38,0.6907894736842106,0.7386209800764946,0.2894736842105263,0.22749307479224384,False,1.3125,2.091650066335189,0.1578947368421053
bounded two-pulse fit isotonic,3,high,92,46,0.6632797731568998,0.7014200644389844,0.34782608695652173,0.20108695652173914,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
bounded two-pulse fit isotonic,3,low,94,47,0.5536441828881846,0.5885226267779616,0.1276595744680851,0.055228610230873554,False,1.3142857142857143,2.138089935299395,0.25531914893617025
bounded two-pulse fit isotonic,3,mid,90,45,0.6392592592592593,0.6934429708643015,0.26666666666666666,0.12271604938271607,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
bounded two-pulse fit isotonic,4,high,74,37,0.6128560993425858,0.6511733845325176,0.13513513513513514,0.1961285609934258,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
bounded two-pulse fit isotonic,4,low,68,34,0.5817474048442907,0.5955126101430007,0.08823529411764706,0.0506055363321799,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
bounded two-pulse fit isotonic,4,mid,66,33,0.6179981634527089,0.7037702245048102,0.30303030303030304,0.14692378328741962,False,0.17391304347826086,1.285369173834303,0.303030303030303
bounded two-pulse fit isotonic,5,high,82,41,0.7052349791790601,0.6809857962278161,0.0975609756097561,0.23527662105889352,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
bounded two-pulse fit isotonic,5,low,78,39,0.5476660092044707,0.5314595422789223,0.07692307692307693,-0.0039447731755424265,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
bounded two-pulse fit isotonic,5,mid,72,36,0.6242283950617284,0.6392567096399384,0.16666666666666666,0.1496913580246914,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
bounded two-pulse fit isotonic,6,high,88,44,0.5834194214876034,0.5865459508142625,0.11363636363636363,0.20325413223140504,False,-0.95,1.70293863659264,0.09090909090909094
bounded two-pulse fit isotonic,6,low,74,37,0.5745069393718042,0.5998712621362097,0.24324324324324326,0.10482103725346958,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
bounded two-pulse fit isotonic,6,mid,62,31,0.5967741935483871,0.5952297374843194,0.06451612903225806,0.10509885535900104,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
channel-attention CNN,2,high,60,30,0.7677777777777778,0.768084134226689,0.4,0.29333333333333333,False,1.6363636363636365,2.467976720090587,0.2666666666666667
channel-attention CNN,2,low,82,41,0.6787626412849496,0.6826304337041462,0.14634146341463414,0.18322427126710306,False,2.230769230769231,2.8419928002940256,0.36585365853658536
channel-attention CNN,2,mid,76,38,0.7520775623268698,0.7888460830546363,0.42105263157894735,0.28878116343490307,False,1.3125,2.091650066335189,0.1578947368421053
channel-attention CNN,3,high,92,46,0.8478260869565216,0.8181131763721569,0.45652173913043476,0.38563327032136097,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
channel-attention CNN,3,low,94,47,0.7501131733816206,0.7050981470199339,0.1276595744680851,0.2516976007243096,False,1.3142857142857143,2.138089935299395,0.25531914893617025
channel-attention CNN,3,mid,90,45,0.8281481481481482,0.825293782355739,0.4222222222222222,0.31160493827160496,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
channel-attention CNN,4,high,74,37,0.8962746530314097,0.886359105677915,0.5135135135135135,0.47954711468224975,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
channel-attention CNN,4,low,68,34,0.8217993079584774,0.8473970130244051,0.5,0.2906574394463667,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
channel-attention CNN,4,mid,66,33,0.8879706152433425,0.9063111112865149,0.5757575757575758,0.4168962350780533,False,0.17391304347826086,1.285369173834303,0.303030303030303
channel-attention CNN,5,high,82,41,0.9440809042236765,0.9548464489742752,0.926829268292683,0.47412254610350996,True,0.03225806451612903,0.7405316311773545,0.24390243902439024
channel-attention CNN,5,low,78,39,0.7639710716633794,0.8177541702521356,0.5384615384615384,0.21236028928336625,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
channel-attention CNN,5,mid,72,36,0.8796296296296297,0.8869421131666815,0.5833333333333334,0.4050925925925926,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
channel-attention CNN,6,high,88,44,0.9132231404958677,0.9199948738152348,0.7954545454545454,0.5330578512396693,False,-0.95,1.70293863659264,0.09090909090909094
channel-attention CNN,6,low,74,37,0.7472607742878012,0.709914666904063,0.2702702702702703,0.27757487216946664,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
channel-attention CNN,6,mid,62,31,0.8064516129032258,0.815388137391656,0.3225806451612903,0.3147762747138397,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
fit-output ExtraTrees calibration,2,high,60,30,0.6722222222222222,0.714429059912103,0.23333333333333334,0.19777777777777772,False,1.6363636363636365,2.467976720090587,0.2666666666666667
fit-output ExtraTrees calibration,2,low,82,41,0.58982748364069,0.5827104988310686,0.04878048780487805,0.09428911362284353,False,2.230769230769231,2.8419928002940256,0.36585365853658536
fit-output ExtraTrees calibration,2,mid,76,38,0.783240997229917,0.8083677202809104,0.42105263157894735,0.31994459833795025,False,1.3125,2.091650066335189,0.1578947368421053
fit-output ExtraTrees calibration,3,high,92,46,0.833648393194707,0.821437047640473,0.5,0.3714555765595463,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
fit-output ExtraTrees calibration,3,low,94,47,0.6437301946582163,0.6903620461825835,0.2127659574468085,0.14531462200090528,False,1.3142857142857143,2.138089935299395,0.25531914893617025
fit-output ExtraTrees calibration,3,mid,90,45,0.7158024691358025,0.7460089213850777,0.3333333333333333,0.19925925925925925,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
