method,clean_acceptance_mean,false_positive_rate_mean,injected_rejection_mean,fallback_fraction_mean,matched_strata_mean,runs
gradient boosted trees,0.9531983377942145,0.04680166220578554,0.5948694781733591,1.0,31.714285714285715,7
mlp,0.9519073068280882,0.04809269317191184,0.5843191247258208,1.0,31.714285714285715,7
random forest s07h,0.9516596113813763,0.04834038861862366,0.5008481993502966,1.0,31.714285714285715,7
residual tcn fusion,0.9512236171832003,0.048776382816799795,0.4297028572588319,1.0,31.714285714285715,7
ridge logistic,0.9526634529075257,0.047336547092474306,0.389498160618102,1.0,31.714285714285715,7
cnn 1d,0.9482826242418739,0.051717375758126086,0.26906028836447055,1.0,31.714285714285715,7
traditional timing template reference,0.9171180953025793,0.08288190469742082,0.10860413571055896,1.0,31.714285714285715,7
transparent P02 morphology,0.9565514255569763,0.043448574443023816,0.038338170608016274,1.0,31.714285714285715,7
