method,heldout_run,veto_fraction,timing_sigma68_delta_ns,charge_logamp_delta,baseline_final_fraction_delta,topology_n_downstream_delta
transparent P02 morphology,58,0.027027027027026973,-0.07402830389427306,0.02048520948313204,0.03296590231182771,0.006756756756756577
transparent P02 morphology,59,0.08433734939759041,-0.06369654716610174,0.04372144309635306,0.07673682758207552,0.004850982878883858
transparent P02 morphology,60,0.0490654205607477,-0.04082830448589736,0.030396613972058617,0.05602942868425355,0.003266435509426291
transparent P02 morphology,61,0.02471169686985175,-0.0355420532960653,0.022750939986742935,0.0332228455864891,0.005657531501847668
transparent P02 morphology,62,0.05714285714285716,-0.041259634303311254,0.015276947957138631,0.055342485026516425,-0.004184704184704291
transparent P02 morphology,63,0.061855670103092786,-0.09832712822334311,0.0285047110941532,0.06284632134580484,0.0028888637136059714
transparent P02 morphology,65,0.0,0.0,0.0,0.0,0.0
traditional timing template reference,58,0.18918918918918914,-0.09014847894139599,0.0414973337304545,-0.1890382783269504,0.023423423423423184
traditional timing template reference,59,0.014457831325301207,0.006314722959297359,-0.0020492836970840145,-0.013588742017066252,-0.0016024980116062792
traditional timing template reference,60,0.030373831775700966,0.003549165813800048,-0.005023121677318443,-0.030843834726618682,-0.00019704988176982852
traditional timing template reference,61,0.10214168039538718,0.012380607266053834,-0.007937784581335983,-0.07523630323579958,0.0054622674304369845
traditional timing template reference,62,0.030952380952380953,0.008217837705301267,0.00032607337349332965,-0.03231719070585248,0.0035275535275536285
traditional timing template reference,63,0.046391752577319534,0.010562529521225272,-0.00885532299446723,-0.046381599860437495,-0.0019225410977985469
traditional timing template reference,65,0.16666666666666663,0.0693358648060386,0.023438841512847475,-0.17277537418434907,0.014814814814815058
random forest s07h,58,0.027027027027026973,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.006756756756756577
random forest s07h,59,0.028915662650602414,0.0032552439351615226,-0.008944318773445481,-0.005957879528771942,-0.003252713085593051
random forest s07h,60,0.02336448598130836,-0.0017326506982378032,0.0030724983589580646,-0.0015285367119819981,0.0024258820372939915
random forest s07h,61,0.1449752883031301,0.014119643109348323,0.008015221835686148,-0.027987920302430705,0.014481022623026973
random forest s07h,62,0.02857142857142858,0.010900568320303394,-0.013130459153019913,-0.007412849290264922,-0.004481792717086819
random forest s07h,63,0.0670103092783505,-0.014335562378792854,-0.021712743146164115,-0.0019107892974173368,-0.0065216153101324
random forest s07h,65,0.01851851851851849,0.005794685130530497,0.005837466452381257,0.0010413603383125358,0.0013976240391335715
ridge logistic,58,0.0,0.0,0.0,0.0,0.0
ridge logistic,59,0.026506024096385583,0.009022003195965134,-0.004590331062667374,-0.010339808476937912,-0.0013241083144457377
ridge logistic,60,0.04672897196261683,-0.0011621980851481695,0.007751135462001457,-0.0027451862794680565,0.004970679860729188
ridge logistic,61,0.11202635914332781,-0.040693168999719864,0.030795138225596652,0.021727370613572335,0.012461297234184876
ridge logistic,62,0.021428571428571463,0.004417237492821524,-5.8146913575640724e-05,-0.0022005153578012193,0.0009210983663536787
ridge logistic,63,0.08762886597938147,-0.001453896205587779,-0.020018145137719934,-0.014465397553536763,-2.9122255227331806e-05
ridge logistic,65,0.03703703703703709,0.005806997191723062,0.008669025919440188,0.002464706042885026,0.002849002849003135
gradient boosted trees,58,0.05405405405405406,-0.06513094145293608,-0.044001180377369664,-0.01712461550093898,-0.014671814671814776
gradient boosted trees,59,0.014457831325301207,0.0025777890772038514,-0.005691910551854029,-0.002620314439146121,-0.0016024980116062792
gradient boosted trees,60,0.02336448598130836,-0.00258040273807314,-0.002156341656793792,-0.0016656273725240561,3.353753968626805e-05
gradient boosted trees,61,0.1466227347611203,0.009736838677477877,0.0237164271459136,-0.03489742378399248,0.02279073613505256
gradient boosted trees,62,0.01904761904761909,0.010300820246044617,-0.0076347430022059015,0.0014447252495844443,-0.004576976421636569
gradient boosted trees,63,0.05154639175257736,-0.01512810710749124,-0.011749306484011512,-0.003234637204327123,-0.0003361721201251555
gradient boosted trees,65,0.01851851851851849,0.005794685130530497,0.005837466452381257,0.0010413603383125358,0.0013976240391335715
mlp,58,0.0,0.0,0.0,0.0,0.0
mlp,59,0.031325301204819245,0.0002797989099811993,-0.010160555250373626,0.002087845344189737,-0.005190912905352896
mlp,60,0.028037383177570097,-0.009029425737648977,0.0038589615791186915,0.0028108666855542336,0.001482746225736964
mlp,61,0.1795716639209226,-0.027129621723820385,0.04798960454223078,-0.01527522832564937,0.03334259608450285
mlp,62,0.014285714285714235,0.009169506616718337,-0.008225568675952033,-0.0016221265013213748,-0.0034161490683231044
mlp,63,0.046391752577319534,-0.012302714752188804,-0.01763702050049254,0.0015663124368395231,-0.007327946503203897
mlp,65,0.03703703703703709,0.005806997191723062,0.008669025919440188,0.002464706042885026,0.002849002849003135
cnn 1d,58,0.027027027027026973,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.006756756756756577
cnn 1d,59,0.028915662650602414,0.005202683543436892,-0.017740654044564153,-0.015088024877359357,-0.005734102663756957
cnn 1d,60,0.11448598130841126,0.00474510408736406,-0.08518203827139992,0.010139897271949957,-0.045465193697137085
cnn 1d,61,0.014827018121911006,0.0028324248953623954,-0.010273450896149505,-0.0043099374128430235,-0.003997399348734998
cnn 1d,62,0.050000000000000044,0.007424402359833104,-0.02945527014220506,0.007487887859234904,-0.016165413533834716
cnn 1d,63,0.10824742268041232,-0.0027486169143083883,-0.054931766649151115,0.013937391368631813,-0.027918479232464932
cnn 1d,65,0.01851851851851849,0.005794685130530497,0.005837466452381257,0.0010413603383125358,0.0013976240391335715
residual tcn fusion,58,0.027027027027026973,-0.07402830389427306,0.005320173630144254,-0.013107636028643635,0.006756756756756577
residual tcn fusion,59,0.031325301204819245,0.005235919065153638,-0.017284262935972627,-0.01495621530606156,-0.005190912905352896
residual tcn fusion,60,0.03504672897196259,-0.01662502833598256,-0.005511545360035619,-0.005666967520072827,-0.0011597384082731033
residual tcn fusion,61,0.08566721581548598,0.006732289797185986,-0.009717308803828928,-0.015231253329299747,0.001941315285631795
residual tcn fusion,62,0.042857142857142816,0.009000181725567047,-0.02189923358763579,-0.007658187201352473,-0.008066808813077309
residual tcn fusion,63,0.08247422680412375,0.0057394754199920905,-0.03198737941202445,-0.008960473278722542,-0.012915556585196164
residual tcn fusion,65,0.03703703703703709,0.011589370261061105,0.005852433799135248,-0.00026273300553561474,0.002849002849003135
