candidate,roc_auc,average_precision
d_t_ns,0.5228795064626052,0.5985692979605869
abs_c_t_ns,0.4972839293500789,0.5148549341145214
max_downstream_late_fraction,0.5431695565807678,0.5372038359781368
max_downstream_tail_fraction,0.5356834857693487,0.5323082220822806
min_downstream_tail_fraction,0.511456549006519,0.5094267018989543
min_downstream_late_fraction,0.5117187138312131,0.5086679430065789
max_downstream_area_over_peak,0.5796073449217005,0.6361591270244698
min_downstream_area_over_peak,0.5063209177383843,0.5109600202808728
max_downstream_peak_sample,0.6156579691108468,0.5801377821203534
min_downstream_peak_sample,0.5013400013996478,0.5034578039010018
max_downstream_max_down_step,0.49975829156819795,0.5000169714158818
min_downstream_max_down_step,0.522945182250311,0.5214607455724432
max_downstream_final_fraction,0.532992824112704,0.5363627468647637
min_downstream_final_fraction,0.5031535144621314,0.5056845446279665
matched_secondary_template,0.5581168275364582,0.5605563129086982
