n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8604485333304623,0.873343286005585,0.15526064483725818
400,5,15,0.8239154612647435,0.8425034629719038,0.1720589480643822
300,4,20,0.8016529842108947,0.8218523120806095,0.18186091298136406
