method,heldout_run,clean_acceptance,false_positive_rate,injected_rejection,fallback_fraction,matched_strata
transparent P02 morphology,58,0.972972972972973,0.02702702702702703,0.0,1.0,37
transparent P02 morphology,59,0.9156626506024096,0.08433734939759036,0.08433734939759036,1.0,29
transparent P02 morphology,60,0.9509345794392523,0.04906542056074766,0.04672897196261682,1.0,29
transparent P02 morphology,61,0.9752883031301482,0.02471169686985173,0.023064250411861616,1.0,26
transparent P02 morphology,62,0.9428571428571428,0.05714285714285714,0.05238095238095238,1.0,28
transparent P02 morphology,63,0.9381443298969072,0.061855670103092786,0.061855670103092786,1.0,36
transparent P02 morphology,65,1.0,0.0,0.0,1.0,37
traditional timing template reference,58,0.8108108108108109,0.1891891891891892,0.21621621621621623,1.0,37
traditional timing template reference,59,0.9855421686746988,0.014457831325301205,0.01927710843373494,1.0,29
traditional timing template reference,60,0.969626168224299,0.030373831775700934,0.030373831775700934,1.0,29
traditional timing template reference,61,0.8978583196046128,0.10214168039538715,0.20922570016474465,1.0,26
traditional timing template reference,62,0.969047619047619,0.030952380952380953,0.0380952380952381,1.0,28
traditional timing template reference,63,0.9536082474226805,0.04639175257731959,0.061855670103092786,1.0,36
traditional timing template reference,65,0.8333333333333334,0.16666666666666666,0.18518518518518517,1.0,37
random forest s07h,58,0.972972972972973,0.02702702702702703,0.5675675675675675,1.0,37
random forest s07h,59,0.9710843373493976,0.02891566265060241,0.4891566265060241,1.0,29
random forest s07h,60,0.9766355140186916,0.02336448598130841,0.5584112149532711,1.0,29
random forest s07h,61,0.8550247116968699,0.14497528830313014,0.6705107084019769,1.0,26
random forest s07h,62,0.9714285714285714,0.02857142857142857,0.5095238095238095,1.0,28
random forest s07h,63,0.9329896907216495,0.06701030927835051,0.4329896907216495,1.0,36
random forest s07h,65,0.9814814814814815,0.018518518518518517,0.2777777777777778,1.0,37
ridge logistic,58,1.0,0.0,0.40540540540540543,1.0,37
ridge logistic,59,0.9734939759036144,0.02650602409638554,0.3469879518072289,1.0,29
ridge logistic,60,0.9532710280373832,0.04672897196261682,0.4602803738317757,1.0,29
ridge logistic,61,0.8879736408566722,0.11202635914332784,0.556836902800659,1.0,26
ridge logistic,62,0.9785714285714285,0.02142857142857143,0.32142857142857145,1.0,28
ridge logistic,63,0.9123711340206185,0.08762886597938144,0.37628865979381443,1.0,36
ridge logistic,65,0.9629629629629629,0.037037037037037035,0.25925925925925924,1.0,37
gradient boosted trees,58,0.9459459459459459,0.05405405405405406,0.5405405405405406,1.0,37
gradient boosted trees,59,0.9855421686746988,0.014457831325301205,0.6024096385542169,1.0,29
gradient boosted trees,60,0.9766355140186916,0.02336448598130841,0.6144859813084113,1.0,29
gradient boosted trees,61,0.8533772652388797,0.14662273476112025,0.7924217462932455,1.0,26
gradient boosted trees,62,0.9809523809523809,0.01904761904761905,0.5976190476190476,1.0,28
gradient boosted trees,63,0.9484536082474226,0.05154639175257732,0.5721649484536082,1.0,36
gradient boosted trees,65,0.9814814814814815,0.018518518518518517,0.4444444444444444,1.0,37
mlp,58,1.0,0.0,0.5405405405405406,1.0,37
mlp,59,0.9686746987951808,0.03132530120481928,0.5710843373493976,1.0,29
mlp,60,0.9719626168224299,0.028037383177570093,0.633177570093458,1.0,29
mlp,61,0.8204283360790774,0.17957166392092258,0.8401976935749588,1.0,26
mlp,62,0.9857142857142858,0.014285714285714285,0.5071428571428571,1.0,28
mlp,63,0.9536082474226805,0.04639175257731959,0.5721649484536082,1.0,36
mlp,65,0.9629629629629629,0.037037037037037035,0.42592592592592593,1.0,37
cnn 1d,58,0.972972972972973,0.02702702702702703,0.2702702702702703,1.0,37
cnn 1d,59,0.9710843373493976,0.02891566265060241,0.21204819277108433,1.0,29
cnn 1d,60,0.8855140186915887,0.11448598130841121,0.4462616822429907,1.0,29
cnn 1d,61,0.985172981878089,0.014827018121911038,0.10378912685337727,1.0,26
cnn 1d,62,0.95,0.05,0.30714285714285716,1.0,28
cnn 1d,63,0.8917525773195877,0.10824742268041238,0.3402061855670103,1.0,36
cnn 1d,65,0.9814814814814815,0.018518518518518517,0.2037037037037037,1.0,37
residual tcn fusion,58,0.972972972972973,0.02702702702702703,0.43243243243243246,1.0,37
residual tcn fusion,59,0.9686746987951808,0.03132530120481928,0.3614457831325301,1.0,29
residual tcn fusion,60,0.9649532710280374,0.035046728971962614,0.49065420560747663,1.0,29
residual tcn fusion,61,0.914332784184514,0.085667215815486,0.5090609555189456,1.0,26
residual tcn fusion,62,0.9571428571428572,0.04285714285714286,0.4880952380952381,1.0,28
residual tcn fusion,63,0.9175257731958762,0.08247422680412371,0.4484536082474227,1.0,36
residual tcn fusion,65,0.9629629629629629,0.037037037037037035,0.2777777777777778,1.0,37
