run,raw_events,selected_pulses,parent_control_events,parent_clean_dt_lt3,parent_gross_dt_gt50,parent_gross_dt_gt51
50,44804,35217,0,0,0,0
58,34141,16781,201,37,2,2
59,42303,21377,2161,415,14,13
60,36074,17029,2025,428,17,16
61,36535,18965,2319,607,25,25
62,37584,19089,2154,420,7,7
63,37030,18817,1045,194,9,9
65,38424,13038,251,54,0,0
