method,heldout_run,threshold,clean_efficiency,tail_rejection,n_clean,n_tail
traditional q_template score,58,0.3410187691450119,0.972972972972973,0.0,37,2
traditional q_template score,59,0.33650223240256305,0.9349397590361446,0.23076923076923078,415,13
traditional q_template score,60,0.3395657643675804,0.9439252336448598,0.3125,428,16
traditional q_template score,61,0.36180950775742526,0.9818780889621087,0.36,607,25
traditional q_template score,62,0.33332314193248735,0.9261904761904762,0.2857142857142857,420,7
traditional q_template score,63,0.33794093132019043,0.9278350515463918,0.0,194,9
traditional q_template score,65,0.34105104207992554,0.9814814814814815,,54,0
q_template-only RF,58,0.5015535071359203,0.9459459459459459,0.0,37,2
q_template-only RF,59,0.4902565041700674,0.9301204819277108,0.7692307692307693,415,13
q_template-only RF,60,0.5234714562082724,0.969626168224299,0.75,428,16
q_template-only RF,61,0.5261673828819218,0.9654036243822076,0.76,607,25
q_template-only RF,62,0.5045969260341472,0.9523809523809523,0.5714285714285714,420,7
q_template-only RF,63,0.4933869323039277,0.9278350515463918,0.4444444444444444,194,9
q_template-only RF,65,0.4937800173038004,0.8888888888888888,,54,0
