method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,notes
traditional q_template score,0.7122325341582884,0.6176942900521918,0.7517260655557306,0.15756723598456213,0.0758816841018755,0.2810142934112365,Train-run-selected q-template aggregate score.
q_template-only RF,0.8980471771075019,0.8627372883466579,0.9210227822168278,0.36288372802914687,0.205059221878055,0.49278798236207005,"RF params={'n_estimators': 500, 'max_depth': 5, 'min_samples_leaf': 8}; q-template aggregate features only."
