method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,brier,brier_ci_low,brier_ci_high,notes
traditional fold-selected timing/template,0.6068992157880451,0.5994003522911483,0.619684323416509,0.5709912382427026,0.5624133820575187,0.5838678850114767,0.23961032381060451,0.2369707202991258,0.2418733341362224,"Fold-local best signed timing, curvature, shape-summary, or matched-template score."
direct D_t/curvature cross-check,0.5292237524646448,0.5143855904050341,0.5367771410024631,0.5813185052106651,0.5660573042280712,0.5979529940105173,0.24427832905942096,0.24081990638816747,0.24785018077825152,Not label-defining here; target is injected two-pulse truth.
all-three shape-only RF,0.8231496147547586,0.8015859876857544,0.8462481354783762,0.8357305376580653,0.8123956790810588,0.8621014012946675,0.17661708717657268,0.1635152951008876,0.19012872352498442,"Best params={'n_estimators': 500, 'max_depth': 7, 'min_samples_leaf': 8}; excludes timing, run/event ids, injection params, amplitudes, and topology flags."
