n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8221175214248854,0.8358897593182552,0.17724225037541674
400,5,15,0.794483669956837,0.8092043142351041,0.1896211727506096
300,4,20,0.7765965380129519,0.7920494990559317,0.19348236555687437
